Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,3.464616,3.606029,3.429263,3.429263,1.871426,1400
2000-10-03,3.429263,3.641382,3.429263,3.641382,1.987185,11200
2000-10-04,3.499969,3.499969,3.358556,3.358556,1.832840,2000
2000-10-05,3.393909,3.393909,3.358556,3.393909,1.852133,2000
2000-10-06,3.464616,3.606029,3.429263,3.606029,1.967892,7800
2000-10-09,3.676735,3.676735,3.606029,3.676735,2.006478,24900
2000-10-10,3.676735,3.818148,3.606029,3.676735,2.006478,105400
2000-10-11,3.747442,3.818148,3.606029,3.606029,1.967892,20500
2000-10-12,3.747442,3.747442,3.287850,3.323203,1.813547,59100
2000-10-13,3.393909,3.464616,3.393909,3.393909,1.852133,3600
2000-10-16,3.535322,3.535322,3.217143,3.358556,1.832840,18700
2000-10-17,3.287850,3.287850,3.040377,3.217143,1.755668,113200
2000-10-18,3.217143,3.287850,3.005024,3.287850,1.794254,11200
2000-10-19,3.287850,3.358556,3.252496,3.323203,1.813547,56000
2000-10-20,3.323203,3.323203,3.323203,3.323203,1.813547,500
2000-10-23,3.252496,3.606029,3.252496,3.606029,1.967892,43000
2000-10-24,3.676735,3.818148,3.676735,3.818148,2.083650,5400
2000-10-25,3.818148,3.888855,3.747442,3.747442,2.045064,13500
2000-10-26,3.818148,3.853501,3.747442,3.747442,2.045064,7400
2000-10-27,3.782795,3.782795,3.782795,3.782795,2.064357,200
2000-10-30,3.782795,3.782795,3.606029,3.606029,1.967892,5400
2000-10-31,3.535322,3.535322,3.393909,3.429263,1.871426,8200
2000-11-01,3.499969,3.499969,3.499969,3.499969,1.910012,1600
2000-11-02,3.429263,3.499969,3.252496,3.323203,1.813547,8200
2000-11-03,3.393909,3.464616,3.323203,3.393909,1.852133,201300
2000-11-06,3.323203,3.358556,3.323203,3.358556,1.832840,3000
2000-11-07,3.358556,3.570676,3.358556,3.464616,1.890719,256100
2000-11-08,3.535322,3.712088,3.535322,3.676735,2.006478,149700
2000-11-09,3.535322,3.676735,3.535322,3.570676,1.948598,31600
2000-11-10,3.535322,3.535322,3.535322,3.535322,1.929305,2000
2000-11-13,3.464616,3.464616,3.323203,3.393909,1.852133,2400
2000-11-14,3.393909,3.393909,3.323203,3.393909,1.852133,26900
2000-11-15,3.323203,3.323203,3.252496,3.252496,1.774961,2400
2000-11-16,3.323203,3.323203,3.252496,3.252496,1.774961,1800
2000-11-17,3.181790,3.181790,3.181790,3.181790,1.736375,1400
2000-11-20,2.969671,2.969671,2.792905,2.792905,1.524151,17900
2000-11-21,2.828258,2.828258,2.792905,2.828258,1.543444,14700
2000-11-22,2.828258,2.898964,2.828258,2.828258,1.543444,476200
2000-11-24,2.757551,2.757551,2.757551,2.757551,1.504858,500
2000-11-27,2.828258,2.828258,2.722198,2.792905,1.524151,2600
2000-11-28,2.863611,2.863611,2.792905,2.828258,1.543444,22100
2000-11-29,3.111084,3.111084,2.828258,2.828258,1.543444,97600
