Date,Open,High,Low,Close,Adj Close,Volume
1983-12-30,1.154125,1.154125,1.149471,1.149471,0.275852,69100
1984-01-03,1.156452,1.158779,1.154125,1.154125,0.276969,141600
1984-01-04,1.154125,1.158779,1.154125,1.158779,0.278086,53100
1984-01-05,1.168086,1.172740,1.163432,1.163432,0.279202,260100
1984-01-06,1.163432,1.177394,1.158779,1.172740,0.281436,208900
1984-01-09,1.179720,1.182047,1.177394,1.177394,0.282553,63900
1984-01-10,1.189028,1.191355,1.186701,1.186701,0.284787,141600
1984-01-11,1.198335,1.205316,1.191355,1.200662,0.288137,799600
1984-01-12,1.209970,1.214623,1.205316,1.205316,0.289254,346000
1984-01-13,1.226258,1.237892,1.214623,1.233238,0.295954,778200
1984-01-16,1.233238,1.242546,1.233238,1.233238,0.295954,230500
1984-01-17,1.233238,1.251853,1.228585,1.247200,0.299305,112000
1984-01-18,1.247200,1.251853,1.247200,1.247200,0.299305,69100
1984-01-19,1.247200,1.247200,1.233238,1.237892,0.297071,80100
1984-01-20,1.237892,1.247200,1.237892,1.237892,0.297071,120100
1984-01-23,1.237892,1.237892,1.214623,1.223931,0.293721,219600
1984-01-24,1.205316,1.214623,1.196008,1.205316,0.289254,98700
1984-01-25,1.205316,1.214623,1.196008,1.196008,0.287020,123000
1984-01-26,1.172740,1.177394,1.168086,1.177394,0.282553,227500
1984-01-27,1.177394,1.177394,1.177394,1.177394,0.282553,149800
1984-01-30,1.177394,1.196008,1.172740,1.172740,0.281436,2344200
1984-01-31,1.154125,1.163432,1.144817,1.158779,0.278086,587400
1984-02-01,1.121549,1.149471,1.098280,1.107588,0.265801,270300
1984-02-02,1.119222,1.126203,1.112241,1.121549,0.269151,195600
1984-02-03,1.121549,1.126203,1.107588,1.112241,0.266918,206100
1984-02-06,1.098280,1.107588,1.088973,1.098280,0.263567,77200
1984-02-07,1.093626,1.098280,1.084319,1.088973,0.261333,179100
1984-02-08,1.093626,1.098280,1.084319,1.084319,0.260217,182100
1984-02-09,1.079665,1.098280,1.075011,1.098280,0.263567,375400
1984-02-10,1.112241,1.112241,1.107588,1.107588,0.265801,28800
1984-02-13,1.098280,1.107588,1.088973,1.088973,0.261333,88200
1984-02-14,1.098280,1.107588,1.084319,1.107588,0.265801,85300
1984-02-15,1.107588,1.107588,1.102934,1.102934,0.264684,168300
1984-02-16,1.102934,1.102934,1.098280,1.098280,0.263567,39400
1984-02-17,1.093626,1.093626,1.093626,1.093626,0.262450,47700
1984-02-21,1.084319,1.084319,1.079665,1.079665,0.259100,23700
1984-02-22,1.075011,1.075011,1.061050,1.061050,0.254633,254200
1984-02-23,1.065704,1.070358,1.056397,1.061050,0.254633,88200
1984-02-24,1.075011,1.079665,1.070358,1.075011,0.257983,50200
1984-02-27,1.075011,1.079665,1.075011,1.079665,0.259100,21000
1984-02-28,1.075011,1.075011,1.075011,1.075011,0.257983,7200
1984-02-29,1.084319,1.084319,1.079665,1.079665,0.259100,12700
1984-03-01,1.079665,1.088973,1.075011,1.079665,0.259100,106900
1984-03-02,1.079665,1.084319,1.079665,1.084319,0.260217,131100
1984-03-05,1.088973,1.088973,1.084319,1.084319,0.260217,31600
1984-03-06,1.088973,1.093626,1.088973,1.093626,0.262450,77200
1984-03-07,1.093626,1.093626,1.084319,1.084319,0.260217,85300
