Date,Open,High,Low,Close,Adj Close,Volume
2002-08-02,1.019145,1.066450,1.010797,1.055319,0.351377,7828300
2002-08-05,1.039319,1.050449,0.999666,1.000362,0.333078,4956200
2002-08-06,1.003840,1.053232,0.989927,1.045580,0.348134,6641000
2002-08-07,1.078276,1.120711,1.076885,1.120016,0.372918,3007000
2002-08-08,1.280018,1.293931,1.250800,1.259148,0.419243,8733900
2002-08-09,1.206973,1.213930,1.116537,1.116537,0.371760,2271100
2002-08-12,1.112363,1.112363,1.001753,1.010797,0.336552,5249400
2002-08-13,0.960013,1.001753,0.939143,0.964883,0.321265,5994200
2002-08-14,0.969057,0.987840,0.907839,0.955144,0.318022,3691300
2002-08-15,0.966970,0.980883,0.918969,0.918969,0.305978,5284000
2002-08-16,0.931491,0.987840,0.931491,0.977405,0.325434,2343000
2002-08-19,0.976014,1.026101,0.975318,0.994796,0.331225,4395700
2002-08-20,1.012188,1.017753,1.003144,1.008710,0.335858,4640000
2002-08-21,1.012188,1.035145,1.008710,1.022623,0.340490,14150400
2002-08-22,1.010101,1.033058,0.994101,1.033058,0.343964,7503400
2002-08-23,1.026101,1.046971,1.019145,1.034449,0.344428,1788000
2002-08-26,1.046971,1.086624,1.046971,1.086624,0.361800,7149800
2002-08-27,1.101233,1.147842,1.095667,1.124189,0.374307,5203500
2002-08-28,1.113059,1.113059,1.095667,1.103320,0.367359,1658600
2002-08-29,1.071319,1.133929,1.053928,1.124885,0.375012,1497600
2002-08-30,1.142277,1.185408,1.142277,1.172190,0.390782,2230800
2002-09-03,1.151320,1.190973,1.133929,1.154799,0.384984,4795200
2002-09-04,1.113059,1.140885,1.113059,1.120016,0.373388,3096100
2002-09-05,1.078276,1.078276,1.049754,1.057406,0.352516,1900000
2002-09-06,1.057406,1.057406,1.027493,1.046275,0.348805,1215900
2002-09-09,1.046275,1.074798,1.045580,1.063667,0.354603,2452000
2002-09-10,1.067145,1.071319,1.057406,1.069928,0.356690,367800
2002-09-11,1.102624,1.120016,1.097754,1.113059,0.371069,405200
2002-09-12,1.095667,1.110276,1.095667,1.105407,0.368518,1000300
2002-09-13,1.088711,1.095667,1.087319,1.093580,0.364575,3375000
2002-09-16,1.067145,1.068537,1.026797,1.026797,0.342311,4686100
2002-09-17,1.033058,1.040015,0.991318,0.996188,0.332107,4930400
2002-09-18,0.959318,0.959318,0.928709,0.932883,0.311002,6350600
2002-09-19,0.944013,0.944709,0.907839,0.907839,0.302653,2190400
2002-09-20,0.925230,0.939143,0.905752,0.937752,0.312626,3768800
2002-09-23,0.869577,0.873056,0.837577,0.855664,0.285259,9866600
2002-09-24,0.841055,0.841751,0.787489,0.800707,0.266938,6497200
2002-09-25,0.804185,0.824359,0.788881,0.797228,0.265778,3237000
2002-09-26,0.782620,0.782620,0.754793,0.765228,0.255110,2302500
2002-09-27,0.739489,0.739489,0.688705,0.699140,0.233502,4424400
2002-09-30,0.681749,0.747836,0.672705,0.736706,0.246048,3110500
2002-10-01,0.744358,0.833403,0.740184,0.833403,0.278343,4413000
2002-10-02,0.838273,0.876534,0.817403,0.832012,0.277879,8685000
2002-10-03,0.820881,0.876534,0.802794,0.876534,0.292749,3199600
2002-10-04,0.876534,0.891143,0.852186,0.852881,0.284849,3104800
2002-10-07,0.829229,0.829229,0.768706,0.779837,0.260454,3366300
2002-10-08,0.772880,0.793055,0.751315,0.772880,0.258130,3662500
2002-10-09,0.723488,0.723488,0.692184,0.708184,0.236522,2917900
2002-10-10,0.706792,0.733923,0.702618,0.702618,0.234664,3366300
2002-10-11,0.730445,0.749228,0.714445,0.742271,0.247907,4424400
2002-10-14,0.713053,0.717227,0.682444,0.695662,0.232340,5824400
2002-10-15,0.702618,0.713053,0.689401,0.698444,0.233269,5536900
2002-10-16,0.691488,0.702618,0.683140,0.689401,0.230249,3093200
2002-10-17,0.696357,0.768706,0.696357,0.745054,0.248836,5082700
2002-10-18,0.752010,0.776359,0.742271,0.758271,0.253251,5516800
2002-10-21,0.742967,0.757576,0.730445,0.751315,0.250927,2972600
2002-10-22,0.733923,0.769402,0.726967,0.761750,0.254413,1894400
2002-10-23,0.786098,0.823664,0.786098,0.822272,0.274626,7515000
2002-10-24,0.841751,0.893925,0.841055,0.854273,0.285314,17551400
2002-10-25,0.847316,0.900882,0.825055,0.900882,0.300881,5611600
2002-10-28,0.892534,0.892534,0.799315,0.834794,0.278808,5810000
2002-10-29,0.815316,0.848707,0.800011,0.832012,0.277879,5539800
2002-10-30,0.859142,0.925230,0.854273,0.916187,0.306400,13931800
2002-10-31,0.928709,0.953057,0.907143,0.925230,0.309425,14179000
2002-11-01,0.911317,0.939143,0.909926,0.929404,0.310821,3067300
2002-11-04,0.953057,0.977405,0.897404,0.907839,0.303609,1227300
