Date,Open,High,Low,Close,Adj Close,Volume
1993-06-11,2.500000,2.833333,2.416667,2.708333,2.043959,1391400
1993-06-14,2.708333,2.833333,2.666667,2.791667,2.106850,169200
1993-06-15,2.833333,2.833333,2.666667,2.791667,2.106850,155100
1993-06-16,2.833333,2.833333,2.666667,2.708333,2.043959,359100
1993-06-17,2.833333,2.833333,2.500000,2.666667,2.012513,355800
1993-06-18,2.666667,2.666667,2.500000,2.583333,1.949622,83100
1993-06-21,2.666667,2.750000,2.583333,2.750000,2.075405,167100
1993-06-22,2.750000,2.750000,2.666667,2.750000,2.075405,180000
1993-06-23,2.833333,2.833333,2.666667,2.833333,2.138295,134700
1993-06-24,2.666667,2.916667,2.666667,2.916667,2.201186,90900
1993-06-25,2.916667,2.916667,2.750000,2.916667,2.201186,27900
1993-06-28,2.916667,3.000000,2.750000,3.000000,2.264078,111000
1993-06-29,2.916667,3.166667,2.916667,3.000000,2.264078,198300
1993-06-30,3.166667,3.166667,2.958333,3.000000,2.264078,163200
1993-07-01,3.083333,3.083333,2.750000,3.000000,2.264078,127500
1993-07-02,3.000000,3.000000,3.000000,3.000000,2.264078,900
1993-07-06,2.750000,3.000000,2.583333,2.833333,2.138295,45600
1993-07-07,2.666667,2.833333,2.625000,2.833333,2.138295,17100
1993-07-08,2.750000,2.833333,2.583333,2.604167,1.965345,35700
1993-07-09,2.833333,2.833333,2.583333,2.750000,2.075405,9000
1993-07-12,2.833333,2.833333,2.583333,2.583333,1.949622,99000
1993-07-13,2.833333,2.833333,2.583333,2.833333,2.138295,24300
1993-07-14,2.583333,2.833333,2.583333,2.833333,2.138295,9000
1993-07-15,2.666667,2.833333,2.583333,2.833333,2.138295,83700
1993-07-16,2.583333,2.833333,2.583333,2.833333,2.138295,53100
1993-07-19,2.833333,2.833333,2.708333,2.833333,2.138295,57000
1993-07-20,2.625000,2.833333,2.625000,2.791667,2.106850,87000
1993-07-21,2.791667,2.833333,2.583333,2.791667,2.106850,84900
1993-07-22,2.833333,2.833333,2.583333,2.750000,2.075405,67500
1993-07-23,2.583333,2.833333,2.583333,2.833333,2.138295,46500
1993-07-26,2.583333,2.833333,2.583333,2.583333,1.949622,60900
1993-07-27,2.583333,2.833333,2.583333,2.833333,2.138295,126300
1993-07-28,2.833333,2.833333,2.583333,2.833333,2.138295,60600
1993-07-29,2.791667,2.833333,2.791667,2.833333,2.138295,22800
1993-07-30,2.635417,2.833333,2.635417,2.791667,2.106850,15900
1993-08-02,2.625000,2.833333,2.583333,2.666667,2.012513,77700
1993-08-03,2.666667,2.833333,2.666667,2.833333,2.138295,9300
1993-08-04,2.666667,2.833333,2.666667,2.666667,2.012513,45300
1993-08-05,2.666667,3.083333,2.666667,3.020833,2.279800,197700
1993-08-06,2.927083,3.083333,2.916667,3.083333,2.326968,20400
1993-08-09,3.083333,3.166667,2.916667,3.000000,2.264078,160500
1993-08-10,3.083333,3.250000,3.000000,3.083333,2.326968,108000
1993-08-11,3.083333,3.250000,3.083333,3.083333,2.326968,180000
1993-08-12,3.000000,3.250000,3.000000,3.250000,2.452750,401100
1993-08-13,3.083333,3.250000,3.083333,3.166667,2.389860,105900
1993-08-16,3.250000,3.250000,3.083333,3.250000,2.452750,79500
1993-08-17,3.416667,3.666667,3.250000,3.500000,2.641424,219000
1993-08-18,3.666667,3.666667,3.416667,3.458333,2.609978,80400
1993-08-19,3.666667,3.666667,3.416667,3.666667,2.767205,77700
1993-08-20,3.666667,3.666667,3.416667,3.666667,2.767205,64200
1993-08-23,3.416667,3.666667,3.416667,3.666667,2.767205,87000
1993-08-24,3.416667,3.625000,3.333333,3.333333,2.515641,137700
1993-08-25,3.333333,3.375000,3.333333,3.375000,2.547087,46800
1993-08-26,3.500000,3.500000,3.333333,3.333333,2.515641,1200
1993-08-27,3.416667,3.500000,3.333333,3.333333,2.515641,21600
1993-08-30,3.500000,3.500000,3.500000,3.500000,2.641424,600
1993-08-31,3.333333,3.500000,3.333333,3.458333,2.609978,125100
1993-09-01,3.333333,3.666667,3.333333,3.666667,2.767205,502500
1993-09-02,3.500000,3.666667,3.500000,3.666667,2.767205,176700
1993-09-03,3.750000,3.791667,3.666667,3.791667,2.861542,16500
1993-09-07,3.833333,3.916667,3.666667,3.916667,2.955879,160800
1993-09-08,3.833333,3.875000,3.750000,3.875000,2.924433,25500
1993-09-09,3.875000,3.916667,3.750000,3.833333,2.892988,135000
1993-09-10,3.750000,4.250000,3.750000,4.000000,3.018770,366600
1993-09-13,4.250000,4.250000,4.000000,4.083333,3.081661,26700
1993-09-14,4.250000,4.250000,4.083333,4.083333,3.081661,13500
1993-09-15,4.250000,4.250000,4.000000,4.083333,3.081661,81600
1993-09-16,4.125000,4.166667,4.000000,4.166667,3.144552,36000
1993-09-17,4.083333,4.166667,4.000000,4.166667,3.144552,41400
1993-09-20,4.041667,4.166667,4.000000,4.000000,3.018770,59100
1993-09-21,4.166667,4.166667,4.000000,4.000000,3.018770,139500
1993-09-22,4.000000,4.166667,4.000000,4.000000,3.018770,92400
1993-09-23,4.166667,4.208333,4.000000,4.083333,3.081661,279300
1993-09-24,4.125000,4.166667,4.000000,4.041667,3.050215,111000
1993-09-27,4.250000,4.250000,4.083333,4.166667,3.144552,54600
1993-09-28,4.083333,4.458333,4.083333,4.458333,3.364671,198000
1993-09-29,4.500000,4.500000,4.250000,4.500000,3.396116,27300
1993-09-30,4.750000,4.750000,4.750000,4.750000,3.584790,204600
1993-10-01,4.750000,4.750000,4.500000,4.750000,3.584790,46500
1993-10-04,4.666667,4.750000,4.500000,4.500000,3.396116,57600
1993-10-05,4.666667,4.750000,4.500000,4.750000,3.584790,38700
1993-10-06,4.750000,4.750000,4.500000,4.500000,3.396116,3600
1993-10-07,4.750000,4.750000,4.500000,4.750000,3.584790,19200
1993-10-08,4.750000,4.750000,4.500000,4.750000,3.584790,28200
1993-10-11,4.750000,4.750000,4.750000,4.750000,3.584790,1500
1993-10-12,4.750000,4.750000,4.500000,4.750000,3.584790,27600
1993-10-13,4.750000,5.250000,4.666667,5.250000,3.962137,152100
1993-10-14,5.250000,5.250000,5.000000,5.166667,3.899245,317700
1993-10-15,5.250000,5.333333,5.000000,5.333333,4.025026,96300
1993-10-18,5.333333,5.333333,5.166667,5.333333,4.025026,27300
1993-10-19,5.250000,5.333333,5.250000,5.333333,4.025026,7500
1993-10-20,5.333333,5.333333,5.166667,5.208333,3.930690,114300
1993-10-21,5.166667,5.333333,5.083333,5.333333,4.025026,131700
1993-10-22,5.208333,5.333333,5.083333,5.208333,3.930690,109800
1993-10-25,5.333333,5.416667,5.166667,5.416667,4.087917,69900
1993-10-26,5.416667,5.583333,5.250000,5.500000,4.150810,46500
1993-10-27,5.583333,5.583333,5.333333,5.541667,4.182254,10800
1993-10-28,5.583333,5.583333,5.333333,5.583333,4.213700,27600
1993-10-29,5.583333,5.583333,5.333333,5.583333,4.213700,33900
1993-11-01,5.583333,5.583333,5.333333,5.583333,4.213700,1800
1993-11-02,5.583333,5.583333,5.333333,5.583333,4.213700,4200
1993-11-03,5.583333,5.583333,5.333333,5.583333,4.213700,49200
1993-11-04,5.333333,5.541667,5.333333,5.541667,4.182254,52800
1993-11-05,5.333333,5.583333,5.333333,5.333333,4.025026,57900
1993-11-08,5.333333,5.583333,5.333333,5.583333,4.213700,6600
1993-11-09,5.583333,5.583333,5.333333,5.333333,4.025026,15300
1993-11-10,5.583333,5.583333,5.416667,5.416667,4.087917,4200
1993-11-11,5.333333,5.583333,4.833333,5.250000,3.962137,136800
1993-11-12,5.250000,5.250000,5.166667,5.208333,3.930690,37800
1993-11-15,5.250000,5.250000,5.250000,5.250000,3.962137,2100
1993-11-16,5.083333,5.166667,4.666667,5.041667,3.804907,67200
