Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,20.450001,35.889999,20.030001,23.430000,23.430000,5179500
2020-07-09,27.969999,28.000000,24.799999,25.990000,25.990000,2728300
2020-07-10,24.309999,25.264999,23.350000,24.500000,24.500000,829100
2020-07-13,23.290001,23.476000,19.820000,19.820000,19.820000,1369300
2020-07-14,19.209999,19.454000,17.000000,17.530001,17.530001,678800
2020-07-15,17.559999,19.340000,17.559999,19.000000,19.000000,465200
2020-07-16,17.799999,18.780001,17.610001,17.959999,17.959999,222700
2020-07-17,18.080000,18.900000,17.799999,17.799999,17.799999,260700
2020-07-20,17.700001,18.049999,17.620001,17.639999,17.639999,134200
2020-07-21,17.950001,17.990000,17.209999,17.469999,17.469999,131300
2020-07-22,17.000000,17.000000,15.830000,16.020000,16.020000,926600
2020-07-23,16.049999,16.500000,15.260000,15.360000,15.360000,149500
2020-07-24,14.200000,14.200000,13.304000,13.560000,13.560000,341600
2020-07-27,13.560000,14.770000,13.560000,14.070000,14.070000,244800
2020-07-28,14.060000,14.180000,13.600000,13.690000,13.690000,115900
2020-07-29,13.910000,18.299999,13.705000,18.080000,18.080000,970700
2020-07-30,16.799999,17.350000,15.300000,15.650000,15.650000,393900
2020-07-31,15.980000,17.100000,15.730000,15.880000,15.880000,214100
2020-08-03,15.650000,15.690000,14.610000,14.740000,14.740000,232000
2020-08-04,15.000000,15.480000,15.000000,15.030000,15.030000,116200
2020-08-05,15.030000,15.660000,15.030000,15.430000,15.430000,52600
2020-08-06,15.430000,15.430000,14.930000,15.160000,15.160000,50900
2020-08-07,14.800000,15.400000,14.190000,15.040000,15.040000,210300
2020-08-10,14.910000,15.304000,14.600000,14.980000,14.980000,92600
2020-08-11,14.930000,14.930000,14.500000,14.500000,14.500000,113600
2020-08-12,14.740000,15.260000,14.680000,14.840000,14.840000,37900
2020-08-13,14.775000,14.960000,14.360000,14.720000,14.720000,42500
2020-08-14,14.540000,14.880000,14.490000,14.600000,14.600000,28400
2020-08-17,14.860000,14.860000,14.560000,14.600000,14.600000,47900
2020-08-18,14.600000,15.760000,14.560000,15.180000,15.180000,152900
2020-08-19,15.565000,15.720000,14.800000,14.940000,14.940000,39500
2020-08-20,14.850000,15.190000,14.710000,15.180000,15.180000,31300
2020-08-21,14.940000,15.135000,14.700000,14.930000,14.930000,47700
2020-08-24,15.130000,15.130000,14.690000,14.880000,14.880000,51400
2020-08-25,14.800000,15.170000,14.650000,15.100000,15.100000,48100
2020-08-26,16.120001,16.415001,14.602000,15.050000,15.050000,311700
2020-08-27,15.050000,15.050000,13.400000,13.400000,13.400000,417500
2020-08-28,13.810000,13.970000,13.600000,13.830000,13.830000,54000
2020-08-31,13.730000,13.900000,13.510000,13.710000,13.710000,95400
2020-09-01,13.510000,13.720000,13.050000,13.050000,13.050000,230300
2020-09-02,13.100000,13.170000,11.660000,11.960000,11.960000,316100
2020-09-03,12.000000,12.400000,11.220000,11.530000,11.530000,236900
2020-09-04,11.270000,11.963000,10.600000,11.850000,11.850000,174000
2020-09-08,11.680000,12.100000,11.200000,12.040000,12.040000,66600
2020-09-09,11.960000,11.980000,11.320000,11.450000,11.450000,73100
