Date,Open,High,Low,Close,Adj Close,Volume
1999-10-01,14.000000,14.250000,14.000000,14.125000,9.443309,3162400
1999-10-04,14.125000,14.125000,14.000000,14.000000,9.359736,533400
1999-10-05,14.000000,14.125000,14.000000,14.125000,9.443309,270600
1999-10-06,14.125000,14.875000,14.125000,14.875000,9.944719,205400
1999-10-07,14.875000,14.875000,14.062500,14.125000,9.443309,214200
1999-10-08,14.187500,14.187500,14.062500,14.062500,9.401518,65600
1999-10-11,14.062500,14.125000,14.000000,14.062500,9.401518,77500
1999-10-12,14.062500,14.125000,14.000000,14.125000,9.443309,49200
1999-10-13,14.125000,14.375000,14.000000,14.062500,9.401518,49900
1999-10-14,14.000000,14.062500,13.250000,13.625000,9.109026,430900
1999-10-15,13.125000,13.187500,12.687500,13.062500,8.732969,158200
1999-10-18,13.000000,13.000000,12.500000,12.812500,8.565829,83800
1999-10-19,12.750000,13.250000,12.750000,13.250000,8.858324,58200
1999-10-20,13.375000,13.500000,13.125000,13.125000,8.774752,62600
1999-10-21,13.125000,13.437500,13.000000,13.437500,8.983672,98200
1999-10-22,13.375000,13.562500,13.312500,13.500000,9.025458,191200
1999-10-25,13.437500,13.937500,13.437500,13.937500,9.317947,153100
1999-10-26,13.812500,14.125000,13.812500,14.000000,9.359736,65600
1999-10-27,14.000000,14.187500,14.000000,14.062500,9.401518,100900
1999-10-28,14.187500,14.500000,14.125000,14.125000,9.443309,255300
1999-10-29,14.125000,15.250000,14.125000,15.250000,10.195429,123200
1999-11-01,15.000000,15.000000,14.625000,14.750000,9.861153,41800
1999-11-02,14.750000,14.875000,14.312500,14.750000,9.861153,66600
1999-11-03,14.687500,14.875000,14.687500,14.750000,9.861153,18500
1999-11-04,14.875000,15.125000,14.500000,14.937500,9.986503,72100
1999-11-05,15.000000,15.875000,14.875000,15.750000,10.529698,122900
1999-11-08,15.875000,17.375000,15.812500,16.625000,11.114686,240000
1999-11-09,16.750000,16.750000,16.125000,16.125000,10.780407,42400
1999-11-10,16.000000,16.125000,15.812500,16.062500,10.738626,59900
1999-11-11,16.062500,16.250000,16.062500,16.125000,10.780407,20000
1999-11-12,16.250000,18.500000,16.250000,18.000000,12.033946,248500
1999-11-15,18.187500,18.187500,17.500000,17.687500,11.825025,99200
1999-11-16,17.687500,17.687500,17.375000,17.437500,11.657885,95300
1999-11-17,17.687500,18.250000,17.250000,17.500000,11.699664,107900
1999-11-18,17.500000,17.500000,17.250000,17.250000,11.532532,67500
1999-11-19,17.250000,17.750000,17.187500,17.625000,11.783237,31200
1999-11-22,17.562500,17.875000,17.562500,17.812500,11.908592,36500
1999-11-23,17.812500,19.375000,17.812500,19.125000,12.786067,65500
1999-11-24,19.000000,19.000000,18.375000,18.562500,12.410003,53800
1999-11-26,18.500000,18.500000,18.375000,18.437500,12.326431,2600
1999-11-29,18.375000,18.375000,17.875000,18.125000,12.117516,20200
1999-11-30,18.187500,18.500000,18.187500,18.375000,12.284652,38100
1999-12-01,18.375000,18.625000,18.250000,18.562500,12.410003,43800
1999-12-02,18.562500,19.000000,18.562500,19.000000,12.702497,33200
1999-12-03,19.125000,19.375000,19.062500,19.187500,12.827853,62000
1999-12-06,19.187500,19.187500,18.250000,18.375000,12.284652,38200
1999-12-07,18.500000,19.000000,18.437500,18.625000,12.451790,112500
1999-12-08,18.500000,18.500000,18.000000,18.187500,12.159296,27700
1999-12-09,18.250000,18.375000,18.125000,18.250000,12.201082,15500
1999-12-10,18.125000,18.125000,17.625000,17.625000,11.783237,22400
1999-12-13,17.750000,18.000000,17.437500,17.437500,11.657885,44500
1999-12-14,17.250000,17.250000,17.062500,17.125000,11.448959,19400
1999-12-15,17.125000,17.125000,16.875000,17.125000,11.448959,11100
1999-12-16,17.062500,17.250000,16.812500,16.812500,11.240038,90700
1999-12-17,16.687500,17.250000,16.687500,17.125000,11.448959,37300
1999-12-20,17.000000,17.000000,16.812500,16.937500,11.323611,31300
1999-12-21,16.937500,17.062500,16.875000,17.000000,11.365395,11800
1999-12-22,17.125000,17.375000,17.125000,17.187500,11.490746,6300
1999-12-23,17.187500,17.250000,17.000000,17.125000,11.448959,3700
1999-12-27,17.062500,17.125000,17.062500,17.125000,11.448959,2400
1999-12-28,17.062500,17.625000,17.062500,17.375000,11.616104,65600
1999-12-29,17.437500,17.437500,17.125000,17.250000,11.532532,9600
1999-12-30,17.125000,17.375000,17.125000,17.312500,11.574316,5100
1999-12-31,17.250000,17.375000,17.187500,17.187500,11.490746,13000
2000-01-03,17.437500,17.500000,16.625000,16.625000,11.114686,64600
2000-01-04,16.625000,16.625000,15.625000,15.875000,10.613274,81900
2000-01-05,15.750000,15.750000,15.000000,15.750000,10.529698,38100
2000-01-06,15.750000,16.250000,15.750000,16.000000,10.696840,41200
2000-01-07,15.875000,16.250000,15.750000,15.875000,10.613274,34700
2000-01-10,16.500000,16.500000,16.000000,16.000000,10.696840,94200
2000-01-11,16.125000,16.875000,16.000000,16.437500,10.989335,39700
2000-01-12,16.500000,17.125000,16.500000,17.125000,11.448959,25100
2000-01-13,17.250000,17.500000,16.875000,16.937500,11.323611,62000
2000-01-14,17.000000,17.750000,16.875000,17.500000,11.699664,183100
2000-01-18,17.750000,18.250000,17.750000,18.000000,12.033946,77300
2000-01-19,18.000000,18.375000,17.937500,18.250000,12.201082,34500
2000-01-20,18.250000,18.250000,17.375000,17.500000,11.699664,42200
2000-01-21,17.437500,17.500000,17.250000,17.375000,11.616104,16000
2000-01-24,17.500000,17.500000,17.000000,17.125000,11.448959,10700
2000-01-25,17.125000,17.500000,17.062500,17.250000,11.532532,19200
2000-01-26,17.250000,17.500000,17.250000,17.437500,11.657885,16600
2000-01-27,17.437500,18.000000,17.437500,17.500000,11.699664,33600
2000-01-28,17.625000,17.625000,17.312500,17.375000,11.616104,3900
2000-01-31,17.125000,17.500000,17.125000,17.500000,11.699664,53900
2000-02-01,17.375000,17.750000,17.375000,17.750000,11.866808,15400
2000-02-02,18.000000,18.125000,17.875000,17.937500,11.992161,92700
2000-02-03,18.062500,18.125000,17.937500,18.000000,12.033946,35200
2000-02-04,18.125000,18.562500,18.125000,18.437500,12.326431,51500
2000-02-07,18.437500,18.562500,18.375000,18.500000,12.368221,25200
2000-02-08,18.500000,18.875000,18.500000,18.562500,12.410003,45300
2000-02-09,18.750000,18.750000,18.375000,18.375000,12.284652,9100
2000-02-10,18.500000,18.500000,17.875000,17.875000,11.950381,9700
2000-02-11,17.875000,18.000000,17.875000,17.937500,11.992161,24700
2000-02-14,18.062500,18.062500,17.875000,18.000000,12.033946,7100
2000-02-15,17.875000,18.000000,17.875000,17.875000,11.950381,4900
2000-02-16,17.875000,18.500000,17.875000,18.500000,12.368221,69000
2000-02-17,18.500000,18.687500,18.312500,18.375000,12.284652,28100
2000-02-18,18.375000,18.562500,18.375000,18.500000,12.368221,5000
2000-02-22,18.625000,18.812500,18.562500,18.562500,12.410003,10700
2000-02-23,18.562500,18.937500,18.562500,18.812500,12.577147,5700
2000-02-24,18.875000,19.125000,18.875000,19.000000,12.702497,61800
2000-02-25,19.000000,19.250000,19.000000,19.250000,12.869638,41400
2000-02-28,19.250000,20.125000,19.250000,20.125000,13.454621,35700
2000-02-29,21.750000,21.875000,21.625000,21.875000,14.624589,79900
2000-03-01,22.500000,22.750000,21.750000,21.750000,14.541013,140600
2000-03-02,22.000000,22.250000,22.000000,22.062500,14.749942,26600
2000-03-03,22.125000,22.125000,22.062500,22.125000,14.791731,17300
2000-03-06,22.062500,22.250000,22.062500,22.062500,14.749942,9900
2000-03-07,22.125000,22.125000,21.750000,22.000000,14.708153,26200
2000-03-08,22.000000,22.187500,22.000000,22.000000,14.708153,31700
2000-03-09,21.875000,22.000000,21.750000,22.000000,14.708153,7800
2000-03-10,22.000000,22.125000,21.937500,22.125000,14.791731,5200
2000-03-13,22.375000,23.125000,22.250000,22.875000,15.293141,27900
2000-03-14,22.875000,23.000000,22.875000,22.875000,15.293141,1300
2000-03-15,23.125000,24.125000,22.625000,24.125000,16.128830,29000
2000-03-16,24.125000,25.000000,24.125000,24.375000,16.295969,19500
2000-03-17,23.375000,24.750000,23.375000,24.750000,16.546675,73300
2000-03-20,24.000000,24.250000,23.875000,24.000000,16.045263,134700
2000-03-21,23.750000,24.000000,23.750000,24.000000,16.045263,172200
2000-03-22,23.750000,23.750000,22.625000,22.625000,15.126000,35900
2000-03-23,22.625000,22.625000,22.500000,22.500000,15.042432,1300
2000-03-24,22.500000,22.500000,22.375000,22.437500,15.000649,5600
2000-03-27,22.187500,22.187500,22.000000,22.062500,14.749942,19600
2000-03-28,22.062500,22.062500,19.750000,20.000000,13.371059,42600
2000-03-29,19.750000,19.875000,19.750000,19.750000,13.203915,77000
2000-03-30,19.812500,20.500000,19.812500,20.437500,13.663545,18700
2000-03-31,20.437500,20.437500,20.250000,20.250000,13.538196,23500
2000-04-03,20.250000,20.687500,20.250000,20.625000,13.788898,4000
2000-04-04,20.625000,20.875000,20.625000,20.750000,13.872462,77700
2000-04-05,20.750000,21.437500,20.625000,21.437500,14.332093,32700
2000-04-06,21.375000,22.437500,21.125000,22.375000,14.958861,12500
2000-04-07,22.250000,24.437500,22.250000,24.250000,16.212399,44500
2000-04-10,24.250000,24.250000,24.000000,24.000000,16.045263,16100
2000-04-11,24.125000,24.125000,24.000000,24.062500,16.087048,6300
2000-04-12,24.000000,24.000000,23.812500,23.875000,15.961694,3800
2000-04-13,23.750000,23.750000,23.375000,23.375000,15.627419,4900
2000-04-14,23.250000,23.250000,23.000000,23.000000,15.376711,10200
2000-04-17,22.875000,22.875000,22.375000,22.437500,15.000649,15500
2000-04-18,22.312500,22.312500,21.875000,21.937500,14.666369,2900
2000-04-19,21.812500,21.937500,21.000000,21.000000,14.039607,20400
2000-04-20,21.000000,21.156250,20.937500,21.125000,14.123175,78800
2000-04-24,21.062500,21.625000,21.000000,21.625000,14.457453,15100
2000-04-25,21.875000,24.500000,21.687500,24.000000,16.045263,74600
2000-04-26,24.250000,24.250000,23.812500,24.125000,16.128830,67700
2000-04-27,24.000000,24.375000,24.000000,24.312500,16.254183,12600
2000-04-28,24.500000,26.000000,24.375000,26.000000,17.382362,43100
2000-05-01,26.250000,26.500000,24.000000,24.000000,16.045263,97500
2000-05-02,24.125000,24.125000,23.750000,23.812500,15.919905,6100
2000-05-03,23.562500,24.375000,23.562500,24.250000,16.212399,23000
2000-05-04,24.000000,24.000000,23.625000,23.625000,15.794552,6300
2000-05-05,23.500000,23.875000,23.500000,23.687500,15.836333,6200
2000-05-08,23.562500,24.125000,23.500000,24.000000,16.045263,20400
2000-05-09,24.125000,24.375000,24.062500,24.375000,16.295969,19900
2000-05-10,24.500000,25.062500,24.375000,25.062500,16.755602,23400
2000-05-11,25.125000,25.750000,25.125000,25.250000,16.880957,30200
2000-05-12,25.000000,25.750000,24.875000,25.750000,17.215225,32300
2000-05-15,25.750000,26.500000,25.625000,25.750000,17.215225,73700
2000-05-16,25.812500,26.500000,25.625000,26.250000,17.549503,26100
2000-05-17,26.375000,26.500000,26.250000,26.375000,17.633072,5300
2000-05-18,26.375000,26.375000,26.062500,26.187500,17.507721,9400
2000-05-19,26.187500,26.187500,26.000000,26.125000,17.465939,38200
2000-05-22,26.000000,26.000000,25.812500,25.812500,17.257013,6700
2000-05-23,25.375000,25.375000,23.750000,23.750000,15.878125,63200
2000-05-24,23.250000,23.625000,23.000000,23.250000,15.543844,33100
2000-05-25,23.375000,23.500000,23.375000,23.375000,15.627419,12500
2000-05-26,23.375000,23.625000,23.250000,23.250000,15.543844,64800
2000-05-30,23.250000,23.250000,22.812500,23.250000,15.543844,89000
