Date,Open,High,Low,Close,Adj Close,Volume
2013-03-22,21.000000,25.000000,21.000000,22.030001,13.212600,314200
2013-03-25,22.090000,22.250000,21.170000,21.639999,12.978692,125000
2013-03-26,21.500000,21.799999,21.129999,21.280001,12.762780,602800
2013-03-27,21.280001,21.959999,21.129999,21.360001,12.810763,628600
2013-03-28,21.389999,21.719999,21.230000,21.260000,12.750785,408700
2013-04-01,21.639999,22.080000,21.590000,21.700001,13.014679,184300
2013-04-02,22.629999,23.680000,22.180000,22.549999,13.524470,590500
2013-04-03,22.900000,23.100000,22.600000,22.900000,13.734386,182000
2013-04-04,23.020000,23.400000,22.709999,22.750000,13.644421,111600
2013-04-05,22.629999,22.700001,22.330000,22.639999,13.578446,248200
2013-04-08,22.840000,22.840000,22.260000,22.480000,13.482487,117300
2013-04-09,22.750000,22.750000,22.129999,22.270000,13.356539,208100
2013-04-10,22.200001,22.430000,21.900000,21.900000,13.134630,184000
2013-04-11,22.200001,22.280001,21.750000,22.090000,13.248582,273600
2013-04-12,22.270000,22.270000,20.900000,21.110001,12.660821,964800
2013-04-15,21.639999,22.440001,21.280001,22.309999,13.380528,1701700
2013-04-16,22.010000,22.270000,21.760000,22.049999,13.224590,1170900
2013-04-17,22.040001,22.600000,21.809999,21.930000,13.152621,744900
2013-04-18,22.230000,22.230000,21.540001,21.690001,13.008677,481400
2013-04-19,21.790001,21.840000,21.450001,21.469999,12.876733,898500
2013-04-22,20.930000,21.340000,20.750000,21.040001,12.618838,1292700
2013-04-23,21.030001,21.270000,20.760000,21.110001,12.660821,1386800
2013-04-24,21.110001,21.260000,20.920000,21.010000,12.600846,776200
2013-04-25,21.100000,21.590000,21.059999,21.350000,12.804766,409800
2013-04-26,21.340000,21.340000,21.059999,21.150000,12.684813,879800
2013-04-29,21.240000,21.799999,21.200001,21.549999,12.924712,1353400
2013-04-30,21.549999,22.200001,21.230000,22.080000,13.242589,618000
2013-05-01,22.200001,22.690001,22.070000,22.520000,13.506477,490900
2013-05-02,22.410000,23.059999,22.410000,22.870001,13.716390,522100
2013-05-03,23.250000,23.620001,22.459999,22.500000,13.494485,374400
2013-05-06,22.500000,22.650000,22.430000,22.469999,13.476493,390100
2013-05-07,22.540001,22.680000,22.430000,22.680000,13.602434,433400
2013-05-08,22.760000,23.049999,22.760000,22.900000,13.734386,770900
2013-05-09,22.900000,22.900000,22.540001,22.549999,13.524470,274200
2013-05-10,22.700001,22.850000,22.500000,22.520000,13.506477,546300
2013-05-13,22.670000,22.730000,22.410000,22.549999,13.524470,171200
2013-05-14,22.450001,22.700001,22.430000,22.620001,13.566454,364000
2013-05-15,22.530001,22.740000,22.440001,22.639999,13.578446,534700
2013-05-16,22.799999,22.850000,22.559999,22.780001,13.662413,189300
2013-05-17,22.799999,22.799999,22.500000,22.570000,13.536467,227800
2013-05-20,22.590000,22.889999,22.490000,22.820000,13.686404,108400
2013-05-21,22.780001,23.760000,22.650000,23.639999,14.178201,458100
2013-05-22,23.549999,23.990000,23.110001,23.290001,13.968292,198700
2013-05-23,23.400000,23.459999,22.930000,23.270000,13.956292,102900
2013-05-24,23.270000,23.540001,22.770000,22.900000,13.734386,185400
2013-05-28,23.070000,23.360001,22.629999,22.870001,13.716390,214100
2013-05-29,22.809999,22.809999,22.129999,22.209999,13.395523,294000
2013-05-30,22.129999,22.219999,22.030001,22.090000,13.323153,294900
2013-05-31,21.940001,22.059999,21.410000,21.500000,12.967304,450500
2013-06-03,21.370001,21.379999,20.950001,21.160000,12.762238,453300
2013-06-04,21.040001,21.160000,20.879999,20.940001,12.629550,142400
2013-06-05,21.010000,21.070000,20.879999,20.900000,12.605426,200000
2013-06-06,20.879999,21.230000,20.879999,20.980000,12.653675,226000
2013-06-07,21.209999,21.290001,20.889999,21.100000,12.726053,179400
2013-06-10,21.040001,21.129999,20.879999,20.900000,12.605426,192200
2013-06-11,20.850000,21.290001,20.820000,20.980000,12.653675,104700
2013-06-12,21.000000,21.150000,20.900000,21.030001,12.683830,109700
2013-06-13,21.010000,21.340000,20.690001,21.230000,12.804456,262500
2013-06-14,21.330000,21.330000,20.820000,20.889999,12.599392,122200
2013-06-17,21.080000,21.420000,20.900000,20.910000,12.611459,104700
2013-06-18,21.000000,21.209999,20.790001,20.920000,12.617487,124100
2013-06-19,21.080000,21.080000,20.590000,20.600000,12.424485,120100
2013-06-20,20.600000,20.620001,20.000000,20.090000,12.116890,349700
2013-06-21,19.969999,20.459999,19.969999,20.080000,12.110858,71800
2013-06-24,19.900000,20.340000,19.070000,19.570000,11.803259,231100
2013-06-25,19.740000,20.059999,19.500000,20.030001,12.080705,133700
2013-06-26,20.040001,20.549999,20.010000,20.290001,12.237516,76300
2013-06-27,20.440001,20.450001,20.100000,20.219999,12.195295,173500
2013-06-28,20.150000,20.430000,20.000000,20.299999,12.243548,91000
2013-07-01,20.459999,20.500000,19.930000,20.129999,12.141014,147400
2013-07-02,20.250000,20.250000,20.020000,20.110001,12.128953,93300
2013-07-03,20.100000,20.200001,20.000000,20.120001,12.134986,47600
2013-07-05,20.049999,20.450001,19.500000,20.340000,12.267673,131900
2013-07-08,20.559999,20.559999,20.129999,20.290001,12.237516,71200
2013-07-09,20.230000,20.379999,20.200001,20.280001,12.231487,67200
2013-07-10,20.379999,20.379999,19.950001,19.990000,12.056578,359300
2013-07-11,20.110001,20.520000,20.110001,20.520000,12.376235,141800
2013-07-12,20.370001,20.980000,20.200001,20.980000,12.653675,179900
2013-07-15,20.969999,21.340000,20.559999,21.070000,12.707954,83500
2013-07-16,21.190001,21.459999,20.730000,21.350000,12.876834,97400
2013-07-17,21.490000,21.490000,20.809999,20.820000,12.557175,70300
2013-07-18,20.750000,21.080000,20.750000,20.950001,12.635581,183500
2013-07-19,20.950001,21.049999,20.790001,20.900000,12.605426,113800
2013-07-22,20.790001,21.049999,20.709999,20.870001,12.587330,65200
2013-07-23,20.850000,21.120001,20.629999,21.000000,12.665741,146900
2013-07-24,20.969999,21.280001,20.830000,21.280001,12.834614,148000
2013-07-25,21.160000,21.400000,21.030001,21.170000,12.768270,65300
2013-07-26,21.260000,21.400000,21.129999,21.280001,12.834614,32200
2013-07-29,21.120001,21.450001,21.049999,21.309999,12.852711,40300
2013-07-30,21.450001,21.450001,20.950001,21.139999,12.750177,47200
2013-07-31,21.070000,21.150000,20.670000,20.809999,12.551143,40900
2013-08-01,20.930000,20.930000,20.350000,20.370001,12.285769,59900
2013-08-02,20.420000,20.650000,20.360001,20.510000,12.370206,46800
2013-08-05,21.480000,21.480000,20.559999,20.650000,12.454645,19800
2013-08-06,20.730000,20.920000,20.250000,20.330000,12.261640,69300
2013-08-07,20.430000,20.469999,20.090000,20.200001,12.183231,104000
2013-08-08,20.400000,20.549999,20.000000,20.270000,12.225451,306500
2013-08-09,20.400000,20.480000,20.240000,20.400000,12.303857,126500
2013-08-12,20.250000,20.690001,20.230000,20.410000,12.309893,83400
2013-08-13,20.370001,20.719999,20.370001,20.540001,12.388298,60900
2013-08-14,20.459999,20.790001,20.459999,20.700001,12.484797,43500
2013-08-15,20.650000,20.740000,20.350000,20.379999,12.291799,24600
2013-08-16,20.379999,20.400000,20.209999,20.250000,12.213387,44900
2013-08-19,20.340000,20.450001,20.100000,20.230000,12.201326,33000
2013-08-20,20.340000,20.590000,20.200001,20.500000,12.364177,21400
2013-08-21,20.360001,20.540001,20.090000,20.100000,12.122919,14800
2013-08-22,20.240000,20.240000,20.010000,20.010000,12.068640,28200
2013-08-23,20.000000,20.320000,20.000000,20.080000,12.110858,114600
2013-08-26,20.100000,20.340000,19.760000,19.799999,11.941978,150100
2013-08-27,19.760000,19.840000,19.200001,19.389999,11.694700,143600
2013-08-28,19.040001,19.480000,18.820000,18.930000,11.566388,216600
2013-08-29,18.959999,19.290001,18.900000,19.049999,11.639709,154900
2013-08-30,19.040001,19.549999,18.820000,19.120001,11.682477,56700
2013-09-03,19.250000,19.430000,18.940001,18.940001,11.572495,294400
2013-09-04,19.070000,19.309999,18.990000,18.990000,11.603048,128700
2013-09-05,19.100000,19.299999,19.100000,19.170000,11.713030,29600
2013-09-06,19.350000,19.530001,19.200001,19.230000,11.749690,43100
2013-09-09,19.250000,19.459999,18.920000,19.120001,11.682477,88300
2013-09-10,19.120001,19.170000,18.850000,18.860001,11.523615,53300
2013-09-11,18.860001,19.250000,18.799999,19.190001,11.725249,61900
2013-09-12,19.309999,19.370001,19.030001,19.299999,11.792457,46100
2013-09-13,19.290001,19.459999,19.160000,19.250000,11.761910,32600
2013-09-16,19.440001,19.680000,19.209999,19.290001,11.786350,79200
2013-09-17,19.260000,19.540001,19.260000,19.370001,11.835230,54500
