Date,Open,High,Low,Close,Adj Close,Volume
2019-09-12,25.000000,25.000000,25.000000,25.000000,24.698631,0
2019-09-13,24.959999,24.959999,24.900000,24.920000,24.619595,5730
2019-09-16,24.959999,24.959999,24.950001,24.950001,24.649235,260
2019-09-17,25.000000,25.000000,24.985001,24.991100,24.689838,1500
2019-09-18,25.000000,25.000000,24.959999,24.990700,24.689444,215
2019-09-19,25.020000,25.040001,24.956100,24.956100,24.655262,4674
2019-09-20,25.020000,25.030001,24.970100,25.012600,24.711079,1409
2019-09-23,25.030600,25.030600,25.023399,25.023399,24.721748,450
2019-09-24,25.030001,25.030001,25.019699,25.019699,24.718092,100
2019-09-25,25.020000,25.020000,24.959999,25.017200,24.715624,1301
2019-09-26,25.042000,25.042000,24.985500,24.985500,24.684305,341
2019-09-27,25.010000,25.020000,24.973400,24.973400,24.672352,970
2019-09-30,25.000099,25.030001,25.000099,25.028299,24.726589,1642
2019-10-01,24.980000,25.002100,24.980000,25.002100,24.700706,310
2019-10-02,24.950001,24.950001,24.888800,24.888800,24.588772,700
2019-10-03,24.900000,24.939899,24.900000,24.937700,24.637083,2230
2019-10-04,24.962799,25.004999,24.962799,25.004999,24.703571,3340
2019-10-07,24.939501,24.939501,24.939501,24.939501,24.638863,54
2019-10-08,24.920000,24.920000,24.854500,24.854500,24.554886,3800
2019-10-09,24.990000,24.990000,24.949100,24.949100,24.648346,2121
2019-10-10,24.969999,24.980000,24.964800,24.964800,24.663855,1223
2019-10-11,25.110001,25.110001,25.065201,25.071501,24.769270,2825
2019-10-14,25.100000,25.100000,25.100000,25.100000,24.797428,103
2019-10-15,25.134300,25.134300,25.089001,25.089001,24.786560,483
2019-10-16,25.090000,25.140200,25.090000,25.140200,24.837141,100
2019-10-17,25.154200,25.154200,25.154200,25.154200,24.850971,95
2019-10-18,25.145000,25.145000,25.145000,25.145000,24.841883,95
2019-10-21,25.100000,25.100000,25.084999,25.084999,24.883545,630
2019-10-22,25.094999,25.094999,25.094999,25.094999,24.893465,96
2019-10-23,25.136999,25.136999,25.125601,25.125601,24.923819,3256
2019-10-24,25.130100,25.164700,25.130100,25.164700,24.962605,123
2019-10-25,25.180300,25.200001,25.180300,25.200001,24.997623,1175
2019-10-28,25.216700,25.216700,25.216700,25.216700,25.014187,68
2019-10-29,25.174999,25.174999,25.174999,25.174999,24.972822,79
2019-10-30,25.169901,25.180000,25.120001,25.165001,24.962904,1783
