Date,Open,High,Low,Close,Adj Close,Volume
1993-09-20,3.111111,3.277778,3.111111,3.277778,1.766494,345000
1993-09-21,3.277778,3.277778,3.055556,3.083333,1.661703,2133900
1993-09-22,3.111111,3.222222,3.111111,3.138889,1.691643,1621800
1993-09-23,3.222222,3.222222,3.111111,3.222222,1.736554,223500
1993-09-24,3.222222,3.277778,3.166667,3.222222,1.736554,244800
1993-09-27,3.222222,3.277778,3.166667,3.250000,1.751524,135000
1993-09-28,3.166667,3.333333,3.166667,3.333333,1.796435,330600
1993-09-29,3.166667,3.388889,3.166667,3.333333,1.796435,154200
1993-09-30,3.333333,3.500000,3.333333,3.500000,1.886256,146100
1993-10-01,3.388889,3.666667,3.388889,3.555556,1.916197,93900
1993-10-04,3.666667,3.666667,3.500000,3.500000,1.886256,50400
1993-10-05,3.666667,3.666667,3.444444,3.444444,1.856316,149400
1993-10-06,3.611111,3.611111,3.444444,3.611111,1.946138,52200
1993-10-07,3.611111,3.611111,3.333333,3.333333,1.796435,43200
1993-10-08,3.500000,3.500000,3.333333,3.388889,1.826376,14700
1993-10-11,3.333333,3.388889,3.333333,3.388889,1.826376,54000
1993-10-12,3.388889,3.444444,3.333333,3.444444,1.856316,61200
1993-10-13,3.444444,3.444444,3.333333,3.444444,1.856316,43500
1993-10-14,3.444444,3.500000,3.333333,3.388889,1.826376,160500
1993-10-15,3.444444,3.500000,3.388889,3.444444,1.856316,51300
1993-10-18,3.555556,3.555556,3.555556,3.555556,1.916197,23700
1993-10-19,3.555556,3.555556,3.555556,3.555556,1.916197,300
1993-10-20,3.555556,3.555556,3.444444,3.555556,1.916197,58800
1993-10-21,3.555556,3.555556,3.444444,3.444444,1.856316,19200
1993-10-22,3.444444,3.555556,3.444444,3.555556,1.916197,113700
1993-10-25,3.500000,3.500000,3.388889,3.444444,1.856316,19200
1993-10-26,3.500000,3.611111,3.500000,3.527778,1.901227,129600
1993-10-27,3.611111,3.611111,3.444444,3.611111,1.946138,26100
1993-10-28,3.611111,3.611111,3.555556,3.555556,1.916197,29100
1993-10-29,3.611111,3.611111,3.611111,3.611111,1.946138,3000
1993-11-01,3.444444,3.611111,3.444444,3.472222,1.871287,11100
1993-11-02,3.611111,3.611111,3.500000,3.611111,1.946138,9000
1993-11-03,3.500000,3.611111,3.500000,3.611111,1.946138,8400
1993-11-04,3.611111,3.611111,3.500000,3.500000,1.886256,27900
1993-11-05,3.444444,3.555556,3.444444,3.555556,1.916197,12600
1993-11-08,3.555556,3.555556,3.555556,3.555556,1.916197,9000
1993-11-09,3.611111,3.611111,3.500000,3.500000,1.886256,66600
1993-11-10,3.500000,3.500000,3.500000,3.500000,1.886256,0
1993-11-11,3.500000,3.500000,3.500000,3.500000,1.886256,0
1993-11-12,3.444444,3.444444,3.444444,3.444444,1.856316,4500
1993-11-15,3.611111,3.666667,3.444444,3.555556,1.916197,74100
1993-11-16,3.666667,3.722222,3.555556,3.722222,2.006018,54300
1993-11-17,3.777778,3.777778,3.777778,3.777778,2.035959,900
1993-11-18,3.777778,3.777778,3.777778,3.777778,2.035959,0
1993-11-19,3.555556,3.777778,3.555556,3.777778,2.035959,10800
1993-11-22,3.666667,3.666667,3.638889,3.638889,1.961108,4800
1993-11-23,3.555556,3.611111,3.555556,3.611111,1.946138,10200
1993-11-24,3.555556,3.555556,3.555556,3.555556,1.916197,1800
1993-11-26,3.555556,3.555556,3.555556,3.555556,1.916197,0
1993-11-29,3.500000,3.500000,3.500000,3.500000,1.886256,300
1993-11-30,3.500000,3.611111,3.500000,3.611111,1.946138,2700
1993-12-01,3.555556,3.611111,3.527778,3.611111,1.946138,6300
1993-12-02,3.527778,3.527778,3.527778,3.527778,1.901227,11100
1993-12-03,3.500000,3.500000,3.500000,3.500000,1.886256,300
1993-12-06,3.500000,3.500000,3.444444,3.444444,1.856316,27000
1993-12-07,3.444444,3.444444,3.444444,3.444444,1.856316,6600
1993-12-08,3.500000,3.500000,3.500000,3.500000,1.886256,2700
1993-12-09,3.500000,3.500000,3.500000,3.500000,1.886256,2700
1993-12-10,3.333333,3.388889,3.333333,3.333333,1.796435,13500
1993-12-13,3.416667,3.416667,3.333333,3.333333,1.796435,1800
1993-12-14,3.333333,3.444444,3.277778,3.277778,1.766494,22800
1993-12-15,3.388889,3.388889,3.388889,3.388889,1.826376,900
1993-12-16,3.333333,3.388889,3.222222,3.222222,1.736554,17100
1993-12-17,3.222222,3.222222,3.222222,3.222222,1.736554,0
1993-12-20,3.222222,3.333333,3.222222,3.333333,1.796435,27900
1993-12-21,3.222222,3.388889,3.222222,3.388889,1.826376,900
1993-12-22,3.388889,3.388889,3.388889,3.388889,1.826376,0
1993-12-23,3.222222,3.222222,3.222222,3.222222,1.736554,6300
1993-12-27,3.388889,3.388889,3.388889,3.388889,1.826376,300
1993-12-28,3.222222,3.277778,3.222222,3.277778,1.766494,24600
1993-12-29,3.166667,3.222222,3.166667,3.222222,1.736554,6300
1993-12-30,3.166667,3.166667,3.166667,3.166667,1.706613,2700
1993-12-31,3.333333,3.333333,3.277778,3.277778,1.766494,7200
1994-01-03,3.388889,3.444444,3.388889,3.444444,1.856316,22500
1994-01-04,3.333333,3.333333,3.333333,3.333333,1.796435,30000
1994-01-05,3.500000,3.500000,3.416667,3.416667,1.841346,23400
1994-01-06,3.333333,3.416667,3.333333,3.333333,1.796435,25200
1994-01-07,3.361111,3.361111,3.361111,3.361111,1.811405,2100
1994-01-10,3.361111,3.361111,3.361111,3.361111,1.811405,0
1994-01-11,3.333333,3.333333,3.333333,3.333333,1.796435,1800
1994-01-12,3.333333,3.333333,3.333333,3.333333,1.796435,0
