Date,Open,High,Low,Close,Adj Close,Volume
1992-09-24,5.000000,5.200000,5.000000,5.050000,1.914192,3958200
1992-09-25,5.050000,5.200000,5.000000,5.100000,1.933144,1194000
1992-09-28,5.000000,5.050000,5.000000,5.050000,1.914192,163500
1992-09-29,5.000000,5.100000,5.000000,5.050000,1.914192,247500
1992-09-30,5.050000,5.100000,5.000000,5.000000,1.895239,365200
1992-10-01,5.000000,5.050000,5.000000,5.000000,1.895239,544700
1992-10-02,5.000000,5.050000,5.000000,5.000000,1.895239,477500
1992-10-05,5.000000,5.050000,4.950000,5.000000,1.895239,314200
1992-10-06,5.050000,5.050000,4.950000,4.950000,1.876287,127700
1992-10-07,5.050000,5.050000,4.950000,5.000000,1.895239,38500
1992-10-08,4.950000,5.050000,4.950000,5.000000,1.895239,20500
1992-10-09,5.050000,5.100000,4.950000,5.000000,1.895239,470000
1992-10-12,5.000000,5.000000,5.000000,5.000000,1.895239,32500
1992-10-13,5.000000,5.000000,5.000000,5.000000,1.895239,7000
1992-10-14,5.000000,5.050000,5.000000,5.050000,1.914192,143500
1992-10-15,5.000000,5.100000,5.000000,5.100000,1.933144,347500
1992-10-16,5.100000,5.100000,5.050000,5.050000,1.914192,50000
1992-10-19,5.100000,5.200000,5.050000,5.050000,1.914192,130000
1992-10-20,5.050000,5.200000,5.050000,5.100000,1.933144,159000
1992-10-21,5.200000,5.200000,5.100000,5.100000,1.933144,16500
1992-10-22,5.200000,5.200000,5.150000,5.150000,1.952097,46500
1992-10-23,5.100000,5.100000,5.100000,5.100000,1.933144,22700
1992-10-26,5.100000,5.200000,5.100000,5.200000,1.971048,254500
1992-10-27,5.200000,5.300000,5.150000,5.300000,2.008954,196200
1992-10-28,5.250000,5.400000,5.250000,5.350000,2.027906,125500
1992-10-29,5.300000,5.400000,5.300000,5.350000,2.027906,134200
1992-10-30,5.300000,5.400000,5.300000,5.300000,2.008954,118700
1992-11-02,5.300000,5.400000,5.300000,5.300000,2.008954,95000
1992-11-03,5.300000,5.350000,5.300000,5.300000,2.008954,46000
1992-11-04,5.400000,5.400000,5.400000,5.400000,2.046858,52500
1992-11-05,5.350000,5.350000,5.300000,5.300000,2.008954,12200
1992-11-06,5.300000,5.400000,5.300000,5.300000,2.008954,103000
1992-11-09,5.300000,5.350000,5.300000,5.350000,2.027906,16700
1992-11-10,5.300000,5.400000,5.300000,5.300000,2.008954,57500
1992-11-11,5.300000,5.400000,5.300000,5.300000,2.008954,55000
