Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,35.119999,35.119999,35.119999,35.119999,32.788078,100
2014-08-04,35.049999,35.049999,35.049999,35.049999,32.722717,400
2014-08-05,35.029999,35.029999,35.029999,35.029999,32.704063,700
2014-08-06,35.029999,35.029999,35.029999,35.029999,32.704063,0
2014-08-07,35.150002,35.150002,35.150002,35.150002,32.816082,300
2014-08-08,35.230000,35.230000,35.220001,35.220001,32.881424,1800
2014-08-11,35.839001,35.839001,35.658001,35.658001,33.290352,4400
2014-08-12,35.380001,35.380001,35.380001,35.380001,33.030792,600
2014-08-13,35.740002,35.740002,35.639999,35.639999,33.273537,34600
2014-08-14,35.759998,35.759998,35.759998,35.759998,33.385574,400
2014-08-15,35.669998,35.669998,35.459999,35.459999,33.105492,400
2014-08-18,36.150002,36.150002,36.150002,36.150002,33.749687,300
2014-08-19,36.308998,36.308998,36.265999,36.292999,33.883183,1400
2014-08-20,36.049999,36.110001,36.049999,36.110001,33.712337,40900
2014-08-21,35.990002,36.340000,35.990002,36.330002,33.917736,900
2014-08-22,36.209999,36.389999,36.080002,36.290001,33.880398,5900
2014-08-25,36.369999,36.389999,36.369999,36.389999,33.973724,1200
2014-08-26,36.610001,36.619999,36.590000,36.590000,34.160461,36300
2014-08-27,36.529999,36.540001,36.509998,36.509998,34.085785,1800
2014-08-28,36.349998,36.349998,36.241001,36.332001,33.919598,2800
2014-08-29,36.430000,36.430000,36.430000,36.430000,34.011082,300
2014-09-02,36.779999,36.779999,36.580002,36.740002,34.300514,4200
2014-09-03,36.612999,36.660000,36.490002,36.490002,34.067112,13500
2014-09-04,36.770000,36.840000,36.669998,36.669998,34.235146,4400
2014-09-05,36.380001,36.480000,36.290001,36.450001,34.029766,6500
2014-09-08,36.520000,36.520000,36.344002,36.344002,33.930786,1400
2014-09-09,36.220001,36.240002,36.165001,36.169998,33.768356,1800
2014-09-10,36.630001,36.630001,36.290001,36.290001,33.880398,800
2014-09-11,36.290001,36.290001,36.290001,36.290001,33.880398,0
2014-09-12,36.259998,36.259998,36.188999,36.188999,33.786102,400
2014-09-15,35.980000,36.080002,35.980000,36.080002,33.684334,1700
2014-09-16,35.830002,36.090000,35.830002,36.007000,33.660019,2900
2014-09-17,36.470001,36.470001,36.099998,36.099998,33.746948,700
2014-09-18,36.287998,36.330002,36.270000,36.270000,33.905880,1700
2014-09-19,35.860001,35.860001,35.860001,35.860001,33.522602,300
2014-09-22,35.520000,35.520000,35.419998,35.419998,33.111267,1700
2014-09-23,35.189999,35.189999,35.189999,35.189999,32.896290,300
2014-09-24,35.110001,35.250000,35.110001,35.243000,32.945812,1300
2014-09-25,35.243000,35.243000,35.243000,35.243000,32.945812,0
2014-09-26,35.060001,35.060001,35.060001,35.060001,32.774750,300
2014-09-29,34.924999,34.924999,34.924999,34.924999,32.648544,1000
2014-09-30,34.924999,34.924999,34.924999,34.924999,32.648544,0
2014-10-01,34.320000,34.320000,34.270000,34.270000,32.036243,1100
2014-10-02,34.459999,34.459999,34.459999,34.459999,32.213856,100
2014-10-03,34.820000,34.820000,34.700001,34.700001,32.438210,1200
2014-10-06,34.500000,34.500000,34.500000,34.500000,32.251244,300
2014-10-07,34.340000,34.340000,33.970001,33.970001,31.755802,4000
2014-10-08,34.270000,34.279999,34.270000,34.279999,32.045597,500
2014-10-09,34.279999,34.279999,34.279999,34.279999,32.045597,0
2014-10-10,33.830002,33.830002,33.490002,33.490002,31.307074,1400
2014-10-13,33.830002,33.830002,33.500000,33.500000,31.316427,400
2014-10-14,33.500000,33.500000,33.500000,33.500000,31.316427,0
2014-10-15,33.540001,34.029999,33.540001,33.914001,31.703449,4900
2014-10-16,34.180000,34.380001,34.180000,34.340000,32.101662,1300
2014-10-17,34.480000,34.490002,34.360001,34.360001,32.120384,2400
2014-10-20,34.430000,34.526001,34.419998,34.526001,32.275555,2900
2014-10-21,35.063999,35.099998,35.029999,35.029999,32.746723,103100
2014-10-22,35.369999,35.369999,35.009998,35.009998,32.728001,8800
2014-10-23,35.459999,35.490002,35.419998,35.490002,33.176731,3500
2014-10-24,35.330002,35.400002,35.327000,35.400002,33.092583,8000
2014-10-27,35.090000,35.360001,35.076000,35.360001,33.055187,2500
2014-10-28,35.860001,36.200001,35.844002,36.180000,33.821751,2500
2014-10-29,36.970001,36.970001,36.250000,36.480000,34.102184,1800
2014-10-30,36.380001,36.549999,36.360001,36.549999,34.167622,2500
2014-10-31,37.910000,37.910000,37.090000,37.189999,34.765911,2600
2014-11-03,37.740002,37.740002,37.040001,37.049999,34.635029,2000
2014-11-04,36.980000,37.080002,36.980000,37.080002,34.663078,3600
2014-11-05,37.259998,37.259998,37.259998,37.259998,34.831367,600
2014-11-06,37.180000,37.320000,37.180000,37.320000,34.887436,3300
2014-11-07,37.320000,37.320000,37.320000,37.320000,34.887436,0
2014-11-10,37.419998,37.430000,37.419998,37.430000,34.990269,1900
2014-11-11,37.639999,37.650002,37.590000,37.590000,35.139843,1800
2014-11-12,37.859001,37.919998,37.859001,37.919998,35.448341,800
2014-11-13,37.660000,37.660000,37.660000,37.660000,35.205296,200
2014-11-14,37.490002,37.512001,37.490002,37.509998,35.065056,2000
2014-11-17,37.389999,37.389999,37.220001,37.220001,34.793961,3500
2014-11-18,37.348999,37.348999,37.291000,37.291000,34.860332,700
2014-11-19,37.019001,37.020000,36.779999,36.779999,34.382629,900
2014-11-20,37.089001,37.129002,37.089001,37.129002,34.708900,1400
2014-11-21,37.519001,37.519001,37.220001,37.340000,34.906139,1300
2014-11-24,37.508999,37.630001,37.508999,37.630001,35.177219,1700
2014-11-25,37.706001,37.706001,37.610001,37.630001,35.177219,4500
2014-11-26,37.660000,37.730000,37.660000,37.730000,35.270714,4300
2014-11-28,37.730000,37.730000,37.730000,37.730000,35.270714,0
2014-12-01,36.918999,36.919998,36.700001,36.700001,34.307850,4800
2014-12-02,37.020000,37.070000,37.000000,37.070000,34.653732,1500
2014-12-03,37.450001,37.509998,37.330002,37.450001,35.008961,3700
2014-12-04,37.379002,37.380001,37.209999,37.279999,34.850044,1700
