Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,15.700000,15.700000,15.100000,15.620000,15.620000,32400
2020-10-30,15.350000,15.350000,14.970000,15.150000,15.150000,49900
2020-11-02,15.340000,15.444000,15.300000,15.380000,15.380000,15900
2020-11-03,15.700000,15.720000,15.460000,15.593000,15.593000,50200
2020-11-04,15.540000,15.540000,14.940000,15.216000,15.216000,17600
2020-11-05,16.000000,16.520000,16.000000,16.510000,16.510000,56700
2020-11-06,16.900000,16.900000,16.580000,16.660000,16.660000,58200
2020-11-09,18.000000,18.504999,16.719999,16.840000,16.840000,175500
2020-11-10,16.920000,16.948000,16.370001,16.500000,16.500000,148900
2020-11-11,16.719999,17.120001,16.700001,17.066000,17.066000,32600
2020-11-12,17.230000,17.230000,16.860001,16.900999,16.900999,110600
2020-11-13,17.030001,17.100000,16.870001,16.950001,16.950001,42600
2020-11-16,17.000000,17.139999,16.900000,17.076000,17.076000,88000
2020-11-17,17.090000,17.230000,16.969999,17.230000,17.230000,42700
2020-11-18,17.410000,17.469999,17.270000,17.270000,17.270000,71400
2020-11-19,17.400000,17.639999,17.400000,17.605000,17.605000,33000
2020-11-20,17.700001,18.018999,17.700001,17.858000,17.858000,87600
2020-11-23,18.129999,18.559999,18.120001,18.546000,18.546000,44300
2020-11-24,18.900000,18.959999,18.500000,18.830000,18.830000,233200
2020-11-25,18.620001,18.938999,18.549999,18.889999,18.889999,137800
2020-11-27,19.120001,19.465000,19.100000,19.179001,19.179001,42800
2020-11-30,19.600000,19.680000,18.900000,19.000000,19.000000,121000
2020-12-01,19.209999,19.360001,18.830000,18.846001,18.846001,71000
2020-12-02,18.510000,18.600000,18.180000,18.450001,18.450001,84500
2020-12-03,18.580000,18.625000,18.299999,18.334000,18.334000,70800
2020-12-04,18.400000,18.660000,18.400000,18.551001,18.551001,14000
2020-12-07,18.790001,18.895000,18.650000,18.670000,18.670000,27200
2020-12-08,18.850000,19.389999,18.840000,19.334999,19.334999,36100
2020-12-09,20.000000,20.000000,18.650000,18.753000,18.753000,98100
2020-12-10,18.799999,19.059999,18.559999,18.930000,18.930000,38900
2020-12-11,18.930000,19.288000,18.879999,19.021999,19.021999,43300
