Date,Open,High,Low,Close,Adj Close,Volume
2013-05-22,25.110001,25.280001,24.870001,24.900000,21.415499,90200
2013-05-23,24.879999,24.879999,24.650000,24.820000,21.346684,151800
2013-05-24,24.680000,24.870001,24.680000,24.820000,21.346684,63100
2013-05-28,25.110001,25.209999,24.969999,25.030001,21.527306,36300
2013-05-29,24.870001,24.910000,24.740000,24.840000,21.363903,59400
2013-05-30,24.870001,24.969999,24.870001,24.900000,21.415499,50300
2013-05-31,24.959999,24.959999,24.600000,24.600000,21.157484,29700
2013-06-03,24.590000,24.770000,24.440001,24.670000,21.217678,18100
2013-06-04,24.760000,24.840000,24.510000,24.639999,21.191879,31900
2013-06-05,24.559999,24.559999,24.290001,24.290001,20.890854,17900
2013-06-06,24.280001,24.420000,24.150000,24.420000,21.002666,68300
2013-06-07,24.629999,24.790001,24.490000,24.790001,21.320881,39500
2013-06-10,24.840000,24.840000,24.719999,24.740000,21.277882,37700
2013-06-11,24.549999,24.709999,24.510000,24.540001,21.105865,34800
2013-06-12,24.719999,24.719999,24.350000,24.389999,20.976856,25200
2013-06-13,24.350000,24.670000,24.320000,24.670000,21.217678,34900
2013-06-14,24.620001,24.719999,24.480000,24.540001,21.105865,21900
2013-06-17,24.730000,24.820000,24.549999,24.709999,21.252081,37700
2013-06-18,24.730000,24.940001,24.730000,24.879999,21.398291,66200
2013-06-19,24.910000,24.980000,24.570000,24.570000,21.131678,76500
2013-06-20,24.340000,24.410000,23.940001,24.000000,20.641445,81900
2013-06-21,24.120001,24.299999,23.809999,24.080000,20.710241,66700
2013-06-24,23.799999,23.950001,23.600000,23.809999,20.510401,45300
2013-06-25,23.990000,24.000000,23.790001,23.950001,20.630995,51400
2013-06-26,23.850000,24.219999,23.850000,24.180000,20.829123,80200
2013-06-27,24.309999,24.379999,24.240000,24.309999,20.941101,24700
2013-06-28,24.209999,24.379999,24.150000,24.170000,20.820513,41900
2013-07-01,24.490000,24.549999,24.370001,24.389999,21.010015,47500
2013-07-02,24.350000,24.549999,24.190001,24.320000,20.949720,34500
2013-07-03,24.139999,24.430000,24.139999,24.340000,20.966948,18900
2013-07-05,24.520000,24.600000,24.330000,24.600000,21.190926,32900
2013-07-08,24.700001,24.760000,24.639999,24.690001,21.268436,72200
2013-07-09,24.900000,24.950001,24.820000,24.889999,21.440725,41200
2013-07-10,24.889999,24.959999,24.830000,24.850000,21.406277,95000
2013-07-11,25.219999,25.290001,25.150000,25.270000,21.768078,32000
2013-07-12,25.250000,25.420000,25.180000,25.250000,21.750845,29700
2013-07-15,25.309999,25.360001,25.240000,25.320000,21.811140,42000
2013-07-16,25.219999,25.260000,25.160000,25.209999,21.716377,52800
2013-07-17,25.309999,25.320000,25.160000,25.209999,21.716377,123300
2013-07-18,25.309999,25.389999,25.250000,25.330000,21.819765,33000
2013-07-19,25.469999,25.469999,25.160000,25.270000,21.768078,10900
2013-07-22,25.270000,25.320000,25.190001,25.200001,21.740459,49000
2013-07-23,25.299999,25.389999,25.170000,25.240000,21.774965,42800
2013-07-24,25.350000,25.370001,25.110001,25.160000,21.705956,42600
2013-07-25,25.129999,25.219999,25.049999,25.209999,21.749092,46200
2013-07-26,25.160000,25.219999,24.980000,25.209999,21.749092,30700
2013-07-29,25.190001,25.230000,25.070000,25.160000,21.705956,27800
2013-07-30,25.270000,25.379999,25.190001,25.260000,21.792223,66000
2013-07-31,25.299999,25.410000,25.219999,25.219999,21.757713,68500
2013-08-01,25.500000,25.590000,25.440001,25.559999,22.051035,140800
2013-08-02,25.510000,25.610001,25.450001,25.590000,22.076929,38200
2013-08-05,25.580000,25.639999,25.549999,25.600000,22.085552,88400
2013-08-06,25.959999,28.660000,25.379999,25.440001,21.947510,44600
2013-08-07,25.400000,25.430000,25.260000,25.400000,21.913000,38200
2013-08-08,25.530001,25.590000,25.379999,25.510000,22.007906,21100
2013-08-09,25.520000,25.540001,25.340000,25.410000,21.921635,25300
2013-08-12,25.410000,25.480000,25.340000,25.450001,21.956144,52500
2013-08-13,25.490000,25.549999,25.299999,25.510000,22.007906,46800
2013-08-14,25.480000,25.510000,25.379999,25.400000,21.913000,57400
2013-08-15,25.209999,25.219999,24.969999,25.030001,21.593803,88300
2013-08-16,25.030001,25.059999,24.900000,24.959999,21.533411,47200
2013-08-19,24.980000,25.049999,24.879999,24.879999,21.464394,38200
2013-08-20,24.900000,25.040001,24.820000,24.950001,21.524792,40300
2013-08-21,24.910000,24.980000,24.750000,24.799999,21.395378,23400
2013-08-22,24.900000,25.200001,24.889999,25.000000,21.567921,22900
2013-08-23,25.090000,25.120001,25.000000,25.120001,21.671438,17500
2013-08-26,25.120001,25.180000,24.990000,25.000000,21.600592,37300
2013-08-27,24.790001,24.790001,24.570000,24.600000,21.254992,47200
2013-08-28,24.580000,24.709999,24.580000,24.629999,21.280907,71200
2013-08-29,24.590000,24.790001,24.590000,24.690001,21.332745,28100
2013-08-30,24.730000,24.730000,24.530001,24.580000,21.237701,14400
2013-09-03,24.629999,24.830000,24.580000,24.650000,21.298185,21300
2013-09-04,24.520000,24.900000,24.520000,24.850000,21.470991,14700
2013-09-05,24.879999,24.940001,24.840000,24.840000,21.462349,56400
2013-09-06,24.969999,25.000000,24.620001,24.830000,21.453712,26400
2013-09-09,24.969999,25.180000,24.969999,25.150000,21.730196,74300
2013-09-10,25.559999,25.559999,25.160000,25.330000,21.885729,31200
2013-09-11,25.219999,25.360001,25.200001,25.330000,21.885729,29100
2013-09-12,25.330000,25.440001,25.309999,25.340000,21.894367,10500
2013-09-13,25.410000,25.450001,25.320000,25.450001,21.989416,15400
2013-09-16,25.740000,25.740000,25.540001,25.570000,22.093086,32300
2013-09-17,25.620001,25.700001,25.600000,25.680000,22.188131,26500
2013-09-18,25.670000,25.980000,25.570000,25.959999,22.430058,32200
2013-09-19,26.020000,26.030001,25.910000,25.950001,22.421417,46400
2013-09-20,26.030001,26.030001,25.719999,25.740000,22.239965,16300
2013-09-23,25.770000,25.770000,25.549999,25.670000,22.212280,27600
2013-09-24,25.600000,25.730000,25.530001,25.559999,22.117098,14500
2013-09-25,25.730000,25.730000,25.440001,25.459999,22.030571,18300
2013-09-26,25.559999,25.639999,25.469999,25.540001,22.099789,32900
2013-09-27,25.400000,25.459999,25.389999,25.410000,21.987295,11400
2013-09-30,25.209999,25.370001,25.209999,25.290001,21.883469,25200
