Date,Open,High,Low,Close,Adj Close,Volume
2007-11-09,3.980654,4.174583,3.832655,4.118446,3.702441,2102000
2007-11-12,4.082722,4.126101,4.036791,4.115894,3.700149,385000
2007-11-13,4.095480,4.248583,4.095480,4.248583,3.819434,125700
2007-11-14,4.248583,4.248583,4.212859,4.235824,3.807963,756600
2007-11-15,4.238376,4.240928,4.154170,4.184790,3.762085,104900
2007-11-16,4.166928,4.210307,4.159273,4.205204,3.780436,52800
2007-11-19,4.172031,4.194997,4.164377,4.164377,3.743733,8500
2007-11-20,4.172031,4.172031,4.120997,4.143963,3.725381,58300
2007-11-21,4.149066,4.149066,4.095480,4.098032,3.684091,19800
2007-11-23,4.108239,4.110791,4.080170,4.103136,3.688678,20900
2007-11-26,4.108239,4.120997,4.095480,4.108239,3.693265,30100
2007-11-27,4.108239,4.143963,4.085274,4.105688,3.690973,84400
2007-11-28,4.128653,4.146514,4.108239,4.108239,3.693265,35400
2007-11-29,4.133756,4.159273,4.120997,4.159273,3.739145,53600
2007-11-30,4.197549,4.210307,4.161825,4.210307,3.785025,16600
2007-12-03,4.210307,4.210307,4.205204,4.210307,3.785025,6200
2007-12-04,4.210307,4.212859,4.184790,4.210307,3.785025,11300
2007-12-05,4.212859,4.212859,4.082722,4.120997,3.704736,27700
2007-12-06,4.123549,4.138859,4.120997,4.126101,3.709323,29700
2007-12-07,4.120997,4.156722,4.069963,4.098032,3.684091,33500
2007-12-10,4.110791,4.143963,4.110791,4.133756,3.716204,81000
2007-12-11,4.133756,4.133756,4.031688,4.095480,3.681796,145300
2007-12-12,4.082722,4.108239,4.018929,4.018929,3.612978,80100
2007-12-13,3.993412,4.021481,3.891345,3.893896,3.500574,71600
2007-12-14,3.904103,3.980654,3.893896,3.980654,3.578568,88500
2007-12-17,3.980654,4.003619,3.980654,3.985757,3.583156,25600
2007-12-18,3.995964,3.995964,3.705070,3.705070,3.330821,102100
2007-12-19,3.766311,3.766311,3.580037,3.580037,3.218418,115000
