Date,Open,High,Low,Close,Adj Close,Volume
2004-05-26,20.000000,20.010000,20.000000,20.010000,6.534683,217900
2004-05-27,20.000000,20.010000,20.000000,20.010000,6.534683,89600
2004-05-28,20.000000,20.010000,20.000000,20.010000,6.534683,80500
2004-06-01,20.000000,20.010000,20.000000,20.000000,6.531413,96200
2004-06-02,20.010000,20.010000,20.000000,20.010000,6.534683,46200
2004-06-03,20.000000,20.010000,20.000000,20.010000,6.534683,56800
2004-06-04,20.010000,20.010000,20.000000,20.010000,6.534683,30300
2004-06-07,20.000000,20.010000,20.000000,20.010000,6.534683,34200
2004-06-08,20.000000,20.150000,20.000000,20.049999,6.547744,85700
2004-06-09,20.080000,20.129999,20.000000,20.000000,6.531413,32000
2004-06-10,20.030001,20.049999,20.000000,20.020000,6.537944,37200
2004-06-14,20.000000,20.040001,20.000000,20.000000,6.531413,21000
2004-06-15,20.049999,20.049999,20.000000,20.020000,6.537944,23300
2004-06-16,20.030001,20.040001,20.000000,20.020000,6.537944,26100
2004-06-17,20.010000,20.049999,20.010000,20.049999,6.547744,16300
2004-06-18,20.030001,20.080000,20.030001,20.080000,6.557539,12100
2004-06-21,20.080000,20.080000,20.000000,20.049999,6.547744,64600
2004-06-22,20.049999,20.049999,20.000000,20.010000,6.534683,41100
2004-06-23,20.020000,20.020000,20.000000,20.010000,6.534683,20200
2004-06-24,20.010000,20.010000,20.000000,20.010000,6.534683,48000
2004-06-25,20.000000,20.010000,20.000000,20.000000,6.531413,242400
2004-06-28,20.000000,20.010000,20.000000,20.010000,6.534683,173700
2004-06-29,20.000000,20.010000,20.000000,20.000000,6.531413,179700
2004-06-30,20.010000,20.010000,20.000000,20.010000,6.534683,42300
2004-07-01,20.000000,20.070000,20.000000,20.059999,6.551007,73900
2004-07-02,20.059999,20.299999,20.059999,20.150000,6.580395,77500
2004-07-06,20.139999,20.200001,20.110001,20.120001,6.570601,25400
2004-07-07,20.200001,20.250000,20.139999,20.200001,6.596726,80000
2004-07-08,20.200001,20.299999,20.160000,20.200001,6.596726,48800
2004-07-09,20.200001,20.200001,20.040001,20.070000,6.554271,31800
2004-07-12,20.100000,20.100000,19.700001,19.760000,6.453036,66300
2004-07-13,19.790001,19.930000,19.790001,19.840000,6.479159,30500
2004-07-14,19.820000,19.840000,19.780001,19.799999,6.466098,26400
2004-07-15,19.780001,19.780001,19.600000,19.639999,6.413847,40600
2004-07-16,19.700001,19.700001,19.580000,19.580000,6.394255,24500
2004-07-19,19.600000,19.680000,19.520000,19.620001,6.407313,29000
2004-07-20,19.580000,19.580000,19.260000,19.340000,6.315880,82300
2004-07-21,19.400000,19.500000,19.299999,19.340000,6.315880,57800
2004-07-22,19.170000,19.500000,19.170000,19.400000,6.335470,78400
2004-07-23,19.500000,19.500000,19.400000,19.500000,6.368124,38200
2004-07-26,19.450001,19.450001,19.240000,19.270000,6.293016,87500
2004-07-27,19.209999,19.400000,19.209999,19.330000,6.312608,52000
2004-07-28,19.350000,19.500000,19.280001,19.280001,6.296284,48000
2004-07-29,19.320000,19.690001,19.320000,19.600000,6.400782,49100
2004-07-30,19.650000,19.750000,19.580000,19.670000,6.423645,28500
2004-08-02,19.480000,19.639999,19.450001,19.570000,6.419705,22500
2004-08-03,19.629999,19.870001,19.520000,19.830000,6.505002,41600
2004-08-04,19.740000,19.850000,19.580000,19.680000,6.455797,38400
2004-08-05,19.740000,19.740000,19.510000,19.559999,6.416424,19300
2004-08-06,19.610001,19.690001,19.469999,19.670000,6.452512,91700
2004-08-09,19.600000,19.750000,19.500000,19.500000,6.396741,51200
2004-08-10,19.549999,19.629999,19.450001,19.580000,6.422992,30300
2004-08-11,19.580000,19.639999,19.450001,19.549999,6.413147,40400
2004-08-12,19.600000,19.750000,19.500000,19.600000,6.429552,44600
2004-08-13,19.549999,19.809999,19.510000,19.570000,6.419705,34900
2004-08-16,19.850000,19.850000,19.400000,19.469999,6.386902,46400
2004-08-17,19.549999,19.650000,19.410000,19.500000,6.396741,36000
2004-08-18,19.650000,19.680000,19.450001,19.490000,6.393469,30700
2004-08-19,19.450001,19.540001,19.260000,19.320000,6.337701,68600
2004-08-20,19.299999,19.420000,19.270000,19.420000,6.370502,48500
2004-08-23,19.379999,19.540001,19.330000,19.400000,6.363939,40600
2004-08-24,19.440001,19.469999,19.219999,19.469999,6.386902,57700
2004-08-25,19.469999,19.490000,19.250000,19.350000,6.347540,32100
2004-08-26,19.260000,19.440001,19.219999,19.219999,6.304893,61800
2004-08-27,19.219999,19.360001,19.129999,19.250000,6.314733,63500
2004-08-30,19.330000,19.330000,19.129999,19.250000,6.314733,46300
2004-08-31,19.160000,19.360001,19.150000,19.360001,6.350823,76000
2004-09-01,19.360001,19.400000,19.270000,19.270000,6.350163,38500
2004-09-02,19.280001,19.430000,19.250000,19.299999,6.360046,36900
2004-09-03,19.260000,19.450001,19.260000,19.450001,6.409477,31800
2004-09-07,19.410000,19.480000,19.320000,19.320000,6.366641,33000
2004-09-08,19.440001,19.440001,19.270000,19.430000,6.402887,71000
2004-09-09,19.440001,19.459999,19.299999,19.459999,6.412772,59500
2004-09-10,19.490000,19.530001,19.330000,19.450001,6.409477,73200
2004-09-13,19.459999,19.490000,19.280001,19.299999,6.360046,78500
2004-09-14,19.260000,19.400000,19.260000,19.280001,6.353456,49200
2004-09-15,19.280001,19.400000,19.260000,19.280001,6.353456,51200
2004-09-16,19.270000,19.410000,19.230000,19.299999,6.360046,53700
2004-09-17,19.350000,19.360001,19.240000,19.270000,6.350163,24300
2004-09-20,19.299999,19.379999,19.250000,19.350000,6.376525,46400
2004-09-21,19.299999,19.389999,19.180000,19.200001,6.327091,70500
2004-09-22,19.299999,19.350000,19.209999,19.299999,6.360046,48400
2004-09-23,19.299999,19.340000,19.200001,19.200001,6.327091,54900
2004-09-24,19.290001,19.299999,19.160000,19.240000,6.340275,67800
2004-09-27,19.260000,19.320000,19.100000,19.120001,6.300729,79500
2004-09-28,19.180000,19.379999,19.170000,19.230000,6.336978,69500
2004-09-29,19.299999,19.350000,19.230000,19.270000,6.350163,34200
2004-09-30,19.250000,19.340000,19.250000,19.340000,6.373230,42400
2004-10-01,19.230000,19.420000,19.230000,19.410000,6.425537,45500
2004-10-04,19.410000,19.410000,19.250000,19.350000,6.405673,42800
2004-10-05,19.350000,19.389999,19.250000,19.389999,6.418916,57300
2004-10-06,19.350000,19.370001,19.250000,19.260000,6.375875,60300
2004-10-07,19.260000,19.280001,19.160000,19.219999,6.362633,39700
2004-10-08,19.250000,19.260000,19.150000,19.209999,6.359327,34100
2004-10-11,19.209999,19.209999,18.750000,18.920000,6.263319,175300
2004-10-12,18.920000,19.059999,18.860001,18.990000,6.286496,37100
2004-10-13,19.049999,19.049999,18.990000,19.020000,6.296426,30700
2004-10-14,19.020000,19.080000,18.959999,19.080000,6.316287,39400
