Date,Open,High,Low,Close,Adj Close,Volume
2010-09-28,20.000000,20.010000,20.000000,20.000000,8.567625,579600
2010-09-29,20.000000,20.010000,20.000000,20.010000,8.571915,68400
2010-09-30,20.040001,20.120001,20.000000,20.110001,8.614747,87500
2010-10-01,20.120001,20.200001,20.090000,20.150000,8.631884,50200
2010-10-04,20.150000,20.180000,20.000000,20.000000,8.567625,73100
2010-10-05,20.049999,20.200001,20.010000,20.150000,8.631884,90500
2010-10-06,20.180000,20.190001,20.030001,20.080000,8.601899,37700
2010-10-07,20.049999,20.110001,20.049999,20.080000,8.601899,16800
2010-10-08,20.100000,20.100000,20.010000,20.020000,8.576196,31900
2010-10-11,20.080000,20.150000,20.000000,20.040001,8.584757,44200
2010-10-12,20.049999,20.320000,20.030001,20.280001,8.687572,29200
2010-10-13,20.250000,20.250000,20.000000,20.030001,8.580473,48900
2010-10-14,20.049999,20.250000,20.010000,20.059999,8.593330,46200
2010-10-15,20.160000,20.180000,20.040001,20.100000,8.610464,41800
2010-10-18,20.139999,20.200001,20.070000,20.139999,8.627604,33900
2010-10-19,20.139999,20.200001,20.040001,20.180000,8.644737,44900
2010-10-20,20.190001,20.190001,20.020000,20.020000,8.576196,34300
2010-10-21,20.480000,20.480000,20.020000,20.030001,8.580473,39900
2010-10-22,20.090000,20.190001,20.020000,20.020000,8.576196,44500
2010-10-25,20.049999,20.150000,20.020000,20.049999,8.589045,85400
2010-10-26,20.090000,20.150000,20.049999,20.120001,8.619031,44000
2010-10-27,20.090000,20.129999,20.000000,20.010000,8.571915,94400
2010-10-28,20.010000,20.040001,20.000000,20.000000,8.567625,78000
2010-10-29,20.000000,20.049999,20.000000,20.010000,8.571915,63200
2010-11-01,20.000000,20.020000,20.000000,20.000000,8.567625,620400
2010-11-02,20.010000,20.010000,20.000000,20.000000,8.567625,227800
2010-11-03,20.010000,20.070000,20.000000,20.049999,8.589045,103800
2010-11-04,20.030001,20.190001,20.010000,20.020000,8.576196,115900
2010-11-05,20.070000,20.139999,20.020000,20.059999,8.593330,73300
2010-11-08,20.090000,20.139999,19.879999,20.139999,8.627604,124500
2010-11-09,20.090000,20.100000,20.010000,20.100000,8.610464,99500
2010-11-10,20.139999,20.139999,20.000000,20.030001,8.580473,79800
2010-11-11,20.010000,20.120001,20.010000,20.049999,8.589045,69500
2010-11-12,20.049999,20.070000,19.559999,19.639999,8.413409,28000
2010-11-15,19.700001,19.879999,18.620001,18.969999,8.126393,86000
2010-11-16,18.250000,18.980000,17.730000,18.820000,8.062138,317000
2010-11-17,18.900000,19.110001,18.740000,19.010000,8.143533,133800
2010-11-18,19.500000,19.500000,18.809999,18.900000,8.096404,163100
2010-11-19,19.100000,19.230000,18.959999,19.230000,8.237774,94900
2010-11-22,19.400000,19.400000,18.760000,19.000000,8.139247,162900
2010-11-23,19.020000,19.070000,18.510000,18.850000,8.074989,154600
2010-11-24,19.000000,19.180000,18.700001,19.110001,8.186369,88800
2010-11-26,19.120001,19.190001,19.030001,19.100000,8.182088,22000
2010-11-29,19.100000,19.100000,18.700001,18.770000,8.040717,136600
2010-11-30,18.799999,19.270000,18.650000,19.270000,8.254909,29200
2010-12-01,19.190001,19.190001,18.770000,18.950001,8.174667,135200
2010-12-02,19.000000,19.459999,18.559999,19.340000,8.342908,243400
2010-12-03,19.250000,19.280001,18.990000,19.100000,8.239381,97400
2010-12-06,19.150000,19.160000,18.770000,18.780001,8.101337,134900
2010-12-07,18.809999,18.969999,18.600000,18.820000,8.118589,180500
2010-12-08,18.670000,18.910000,18.400000,18.760000,8.092710,234000
2010-12-09,18.670000,18.900000,18.400000,18.629999,8.036630,195300
2010-12-10,18.709999,18.709999,18.260000,18.559999,8.006433,238400
2010-12-13,18.520000,18.540001,18.250000,18.410000,7.941723,202100
2010-12-14,18.379999,18.559999,18.290001,18.299999,7.894272,216100
2010-12-15,18.379999,18.420000,18.049999,18.200001,7.851139,277400
2010-12-16,18.290001,18.360001,18.010000,18.209999,7.855450,271400
2010-12-17,18.230000,18.290001,18.040001,18.160000,7.833876,201900
2010-12-20,18.260000,18.379999,17.950001,18.049999,7.786424,354300
2010-12-21,18.700001,18.700001,18.010000,18.120001,7.816626,230700
2010-12-22,18.150000,18.340000,18.049999,18.180000,7.842508,204000
2010-12-23,18.270000,18.639999,18.139999,18.629999,8.036630,174600
2010-12-27,18.700001,18.730000,18.299999,18.410000,7.941723,192900
2010-12-28,18.500000,18.570000,18.170000,18.280001,7.885645,281800
2010-12-29,18.200001,18.410000,18.000000,18.260000,7.935188,290900
2010-12-30,18.180000,18.379999,18.110001,18.120001,7.874352,245800
2010-12-31,18.110001,18.270000,18.090000,18.170000,7.896076,321000
2011-01-03,18.250000,18.250000,17.959999,18.049999,7.843929,202800
