Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,6.500000,6.750000,5.780000,6.600000,6.600000,3342200
2020-10-29,6.800000,6.800000,6.010000,6.570000,6.570000,1232600
2020-10-30,6.780000,6.840000,6.450000,6.700000,6.700000,460600
2020-11-02,6.950000,6.950000,6.530000,6.860000,6.860000,441100
2020-11-03,6.800000,6.950000,6.560000,6.950000,6.950000,327600
2020-11-04,6.900000,6.950000,6.750000,6.950000,6.950000,321900
2020-11-05,7.000000,7.080000,6.830000,7.030000,7.030000,597700
2020-11-06,7.030000,7.060000,6.960000,7.010000,7.010000,529100
2020-11-09,6.900000,6.970000,6.570000,6.770000,6.770000,339300
2020-11-10,6.800000,6.940000,6.550000,6.780000,6.780000,115900
2020-11-11,6.660000,6.880000,6.510000,6.550000,6.550000,131900
2020-11-12,6.540000,6.690000,6.470000,6.620000,6.620000,139400
2020-11-13,6.750000,6.840000,6.575000,6.680000,6.680000,160900
2020-11-16,6.780000,6.990000,6.620000,6.760000,6.760000,248100
2020-11-17,6.870000,6.920000,6.620000,6.780000,6.780000,248100
2020-11-18,6.800000,6.910000,6.400000,6.460000,6.460000,332500
2020-11-19,6.400000,6.620000,6.160000,6.320000,6.320000,321600
2020-11-20,6.330000,6.530000,6.210000,6.400000,6.400000,167100
2020-11-23,6.600000,6.710000,6.200000,6.350000,6.350000,463900
2020-11-24,6.400000,6.480000,5.950000,6.080000,6.080000,620500
2020-11-25,6.400000,6.430000,6.180000,6.330000,6.330000,328000
2020-11-27,6.410000,6.740000,6.350000,6.720000,6.720000,287200
2020-11-30,6.740000,6.850000,6.630000,6.850000,6.850000,252000
2020-12-01,7.000000,7.370000,6.830000,7.130000,7.130000,393900
2020-12-02,7.200000,7.530000,7.010000,7.070000,7.070000,576100
2020-12-03,7.000000,7.410000,6.990000,7.210000,7.210000,123300
2020-12-04,7.230000,7.500000,7.100000,7.160000,7.160000,176600
2020-12-07,7.160000,7.480000,7.050000,7.090000,7.090000,351700
2020-12-08,7.190000,7.190000,6.970000,7.010000,7.010000,258400
2020-12-09,7.190000,7.280000,6.720000,6.810000,6.810000,145000
2020-12-10,6.840000,7.140000,6.840000,6.980000,6.980000,188700
2020-12-11,7.090000,7.680000,7.040000,7.520000,7.520000,465100
