Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,17.500000,17.950001,16.750000,16.799999,16.772736,14423200
2020-03-04,17.340000,17.750000,17.100000,17.750000,17.721193,8290000
2020-03-05,17.700001,17.719999,17.150000,17.450001,17.421680,7298700
2020-03-06,17.139999,17.280001,16.230000,17.010000,16.982393,5631300
2020-03-09,15.870000,16.320000,15.860000,16.200001,16.173710,2120300
2020-03-10,16.650000,16.990000,16.200001,16.650000,16.622978,3672900
2020-03-11,16.450001,16.629999,16.250000,16.520000,16.493189,1879800
2020-03-12,15.650000,16.420000,15.470000,16.200001,16.173710,1515700
2020-03-13,16.650000,17.250000,16.120001,16.700001,16.672899,2599700
2020-03-16,16.400000,16.400000,14.650000,14.650000,14.626225,2199800
2020-03-17,14.700000,15.510000,14.650000,15.460000,15.434911,1406800
2020-03-18,15.100000,15.330000,14.140000,14.500000,14.476467,2868500
2020-03-19,14.420000,15.550000,14.420000,15.320000,15.295136,847900
2020-03-20,15.400000,15.960000,15.400000,15.690000,15.664536,815500
2020-03-23,15.560000,15.930000,14.231000,14.670000,14.646193,828700
2020-03-24,14.710000,15.230000,14.160000,14.710000,14.686128,1842700
2020-03-25,14.750000,15.205000,13.900000,14.090000,14.067133,920600
2020-03-26,14.110000,15.230000,13.800000,15.160000,15.135397,1189800
2020-03-27,15.000000,15.135000,14.400000,14.960000,14.935721,552600
2020-03-30,14.960000,15.100000,14.500000,14.870000,14.845867,829300
2020-03-31,14.710000,15.250000,13.940000,15.050000,15.025577,1328600
2020-04-01,14.690000,15.110000,13.740000,13.740000,13.717701,1079400
2020-04-02,13.750000,14.500000,13.000000,13.140000,13.118675,1366400
2020-04-03,13.230000,13.390000,11.920000,12.650000,12.629470,1419200
2020-04-06,12.770000,12.940000,11.940000,12.530000,12.509665,1197000
2020-04-07,12.850000,13.340000,12.270000,13.260000,13.238481,377700
2020-04-08,13.320000,13.970000,13.140000,13.720000,13.697735,595700
2020-04-09,13.740000,15.710000,13.610000,15.370000,15.345056,1720300
2020-04-13,15.190000,15.310000,14.500000,15.130000,15.105446,182900
2020-04-14,15.410000,15.990000,15.040000,15.400000,15.375007,779300
2020-04-15,15.340000,15.340000,14.310000,14.860000,14.835884,678900
2020-04-16,14.760000,15.250000,14.760000,15.020000,14.995625,221300
2020-04-17,15.380000,15.390000,14.980000,15.080000,15.065557,1042000
2020-04-20,15.030000,15.740000,14.860000,15.390000,15.375261,550600
2020-04-21,15.140000,15.350000,14.780000,15.210000,15.195433,642200
2020-04-22,15.360000,15.660000,14.990000,15.370000,15.355279,590500
2020-04-23,15.350000,15.870000,15.280000,15.460000,15.445193,430600
2020-04-24,15.520000,15.720000,15.040000,15.180000,15.165462,834300
2020-04-27,15.400000,15.540000,14.950000,15.270000,15.255376,571800
2020-04-28,15.500000,15.500000,15.240000,15.390000,15.375261,548000
2020-04-29,15.480000,16.969999,15.480000,16.690001,16.674017,367200
2020-04-30,17.000000,17.709999,16.629999,17.299999,17.283430,1681700
2020-05-01,17.139999,18.219999,16.740000,17.540001,17.523203,1389000
2020-05-04,17.379999,17.750000,17.180000,17.250000,17.233479,760100
2020-05-05,17.290001,17.660000,16.879999,17.049999,17.033669,333000
2020-05-06,17.170000,17.340000,16.910000,17.190001,17.173538,625400
2020-05-07,17.410000,17.670000,16.959999,17.090000,17.073633,495400
2020-05-08,17.389999,17.499001,17.100000,17.209999,17.193516,156600
2020-05-11,17.240000,17.639999,17.180000,17.549999,17.533190,883800
2020-05-12,18.000000,19.000000,17.510000,17.580000,17.563162,950700
2020-05-13,17.879999,17.957001,17.540001,17.840000,17.822914,290900
2020-05-14,17.809999,17.809999,17.020000,17.629999,17.613113,706500
2020-05-15,17.570000,17.850000,17.430000,17.650000,17.633097,80200
2020-05-18,17.959999,18.280001,17.780001,17.780001,17.762972,101000
2020-05-19,17.959999,17.990000,17.610001,17.780001,17.762972,577000
2020-05-20,17.620001,18.059999,17.379999,17.400000,17.383335,165200
2020-05-21,17.450001,17.730000,17.030001,17.250000,17.233479,178500
2020-05-22,17.309999,17.709999,17.090000,17.690001,17.673058,90600
2020-05-26,17.990000,18.535000,17.620001,18.080000,18.062685,524700
2020-05-27,18.440001,18.450001,17.820000,18.260000,18.242512,1143800
2020-05-28,18.350000,19.080000,18.059999,19.080000,19.061728,956700
2020-05-29,19.100000,19.350000,18.559999,19.170000,19.151642,274100
2020-06-01,19.000000,20.969999,19.000000,20.230000,20.210625,845900
2020-06-02,20.540001,20.815001,19.360001,19.400000,19.381420,832700
2020-06-03,19.410000,19.790001,19.080000,19.129999,19.111677,409500
2020-06-04,19.100000,19.230000,18.670000,18.799999,18.781994,261600
2020-06-05,19.000000,19.570000,18.930000,19.250000,19.231564,382200
2020-06-08,19.950001,20.490000,19.379999,20.129999,20.110722,503700
2020-06-09,19.870001,20.020000,19.309999,19.430000,19.411392,499700
2020-06-10,19.190001,19.340000,18.950001,19.150000,19.131659,324000
2020-06-11,18.600000,18.707001,17.850000,17.850000,17.832905,525700
2020-06-12,18.400000,18.750000,17.795000,18.100000,18.082664,709000
2020-06-15,17.940001,18.450001,17.430000,18.389999,18.372387,1439200
2020-06-16,18.879999,19.030001,18.500000,18.520000,18.502264,474400
2020-06-17,18.549999,18.695000,18.290001,18.459999,18.442320,540400
2020-06-18,18.379999,18.750000,18.160000,18.430000,18.412350,486500
2020-06-19,18.660000,18.719999,18.150000,18.379999,18.362396,884100
2020-06-22,18.170000,18.559999,17.780001,17.889999,17.872864,311000
2020-06-23,17.920000,18.180000,17.780001,18.000000,17.982761,326000
2020-06-24,19.180000,19.639999,17.969999,18.370001,18.352407,1589700
2020-06-25,18.459999,18.959999,18.340000,18.719999,18.702070,1937900
2020-06-26,18.889999,18.889999,18.299999,18.530001,18.512255,1010500
2020-06-29,18.170000,18.750000,18.170000,18.750000,18.732042,681500
2020-06-30,18.670000,18.889999,18.420000,18.770000,18.752024,483400
2020-07-01,18.870001,19.110001,18.490000,18.950001,18.931852,1434200
2020-07-02,19.010000,19.139999,18.549999,18.850000,18.831947,435800
2020-07-06,19.170000,19.450001,18.680000,18.959999,18.941841,586400
2020-07-07,18.850000,19.250000,18.850000,19.150000,19.131659,830400
2020-07-08,19.200001,19.280001,18.670000,18.799999,18.781994,393900
2020-07-09,18.850000,19.000000,18.570000,18.670000,18.652121,434800
2020-07-10,18.780001,18.860001,18.570000,18.799999,18.781994,763900
2020-07-13,18.910000,19.150000,18.760000,18.820000,18.801975,322500
2020-07-14,18.709999,18.930000,18.690001,18.930000,18.911871,276800
2020-07-15,19.110001,19.400000,18.969999,19.250000,19.231564,805400
2020-07-16,19.120001,19.809999,19.049999,19.580000,19.561247,1024500
2020-07-17,19.600000,20.450001,19.510000,20.020000,20.011047,1012900
2020-07-20,19.990000,20.180000,19.670000,19.790001,19.781151,805300
2020-07-21,19.969999,20.000000,19.450001,19.650000,19.641212,597300
2020-07-22,19.559999,20.080000,19.540001,19.980000,19.971064,509300
2020-07-23,19.980000,20.500000,19.850000,20.250000,20.240944,403500
2020-07-24,20.260000,20.860001,20.250000,20.540001,20.530815,780400
2020-07-27,21.070000,21.200001,20.549999,21.100000,21.090565,1443700
2020-07-28,21.209999,21.450001,20.680000,21.330000,21.320461,1058000
2020-07-29,21.340000,21.559999,21.129999,21.440001,21.430412,409800
2020-07-30,21.360001,21.730000,21.190001,21.620001,21.610332,429800
2020-07-31,21.780001,21.889999,21.389999,21.600000,21.590340,1072200
2020-08-03,21.580000,22.120001,21.280001,21.780001,21.770260,582900
2020-08-04,21.740000,22.420000,21.610001,22.400000,22.389982,652300
2020-08-05,22.430000,22.590000,22.209999,22.559999,22.549910,666100
2020-08-06,22.650000,23.270000,20.270000,22.110001,22.100113,1846600
2020-08-07,22.170000,22.290001,21.450001,21.559999,21.550358,606300
2020-08-10,21.580000,21.629999,19.937000,20.490000,20.480837,1461300
2020-08-11,20.650000,20.910000,20.170000,20.780001,20.770708,1091100
2020-08-12,20.900000,21.219999,20.309999,20.320000,20.310913,1251700
2020-08-13,21.400000,22.115000,21.020000,21.580000,21.570349,3381200
2020-08-14,21.500000,21.620001,21.120001,21.379999,21.370438,1045400
2020-08-17,21.170000,21.650000,20.985001,21.230000,21.220505,1570400
2020-08-18,19.900000,20.299999,18.750000,19.480000,19.471289,12927400
2020-08-19,19.930000,20.469999,17.570000,18.410000,18.401766,8734500
2020-08-20,18.250000,19.459999,17.889999,19.360001,19.351343,2826700
2020-08-21,19.260000,19.450001,18.950001,19.320000,19.311359,970800
2020-08-24,19.299999,19.430000,18.320000,19.000000,18.991503,1684300
2020-08-25,18.910000,19.080000,18.480000,18.700001,18.691637,1491800
2020-08-26,18.580000,19.100000,18.459999,18.570000,18.561695,1779400
