Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,25.000000,26.250000,18.709999,19.459999,19.459999,40101500
2020-07-16,19.010000,20.400000,19.000000,19.750000,19.750000,6203100
2020-07-17,20.000000,21.600000,19.850000,21.299999,21.299999,4958500
2020-07-20,21.170000,21.610001,20.350000,20.990000,20.990000,2750900
2020-07-21,21.010000,21.240000,20.100000,20.900000,20.900000,5355400
2020-07-22,21.200001,22.219999,20.760000,21.980000,21.980000,2230900
2020-07-23,22.180000,22.400000,20.299999,21.030001,21.030001,1926300
2020-07-24,20.340000,20.750000,18.750000,19.780001,19.780001,4509600
2020-07-27,19.900000,20.469999,19.900000,20.100000,20.100000,885900
2020-07-28,20.020000,20.469999,18.879999,19.049999,19.049999,2177100
2020-07-29,18.940001,19.125000,17.240000,17.510000,17.510000,4186400
2020-07-30,17.200001,18.090000,17.200001,18.000000,18.000000,1278200
2020-07-31,17.830000,18.250000,17.730000,17.750000,17.750000,725300
2020-08-03,17.820000,18.485001,17.180000,18.290001,18.290001,915400
2020-08-04,18.139999,18.500000,17.750000,17.850000,17.850000,1049000
2020-08-05,18.000000,18.190001,17.320000,17.450001,17.450001,1103500
2020-08-06,17.500000,17.590000,16.820000,16.969999,16.969999,1112500
2020-08-07,16.900000,17.459999,16.400000,17.250000,17.250000,847400
2020-08-10,17.350000,17.719999,16.850000,17.480000,17.480000,1229800
2020-08-11,17.700001,17.827000,15.380000,15.470000,15.470000,2718000
2020-08-12,15.730000,16.000000,15.232000,15.840000,15.840000,1059600
2020-08-13,15.930000,15.995000,15.140000,15.710000,15.710000,1010400
2020-08-14,15.750000,16.908001,15.710000,16.820000,16.820000,1739500
2020-08-17,17.100000,19.270000,17.100000,19.190001,19.190001,1917100
2020-08-18,19.400000,19.500000,18.100000,19.030001,19.030001,890200
2020-08-19,19.090000,19.430000,18.681000,19.020000,19.020000,979000
2020-08-20,18.010000,18.240000,16.615000,17.030001,17.030001,2818700
2020-08-21,17.000000,17.610001,15.860000,15.970000,15.970000,1533800
2020-08-24,16.049999,16.107000,14.686000,15.510000,15.510000,2117900
2020-08-25,15.520000,15.520000,14.260000,14.300000,14.300000,1905400
2020-08-26,14.490000,14.580000,13.880000,13.960000,13.960000,1919200
2020-08-27,13.970000,13.983000,12.910000,13.600000,13.600000,2839300
2020-08-28,13.520000,13.800000,13.160000,13.430000,13.430000,1980000
2020-08-31,13.460000,14.210000,13.390000,13.910000,13.910000,1970000
2020-09-01,13.920000,14.050000,13.120000,13.670000,13.670000,1329600
2020-09-02,13.640000,14.360000,13.500000,14.300000,14.300000,1493700
2020-09-03,14.300000,14.480000,13.350000,13.855000,13.855000,1550100
2020-09-04,13.780000,13.860000,13.270000,13.390000,13.390000,898500
2020-09-08,13.280000,13.400000,12.750000,13.070000,13.070000,1114000
2020-09-09,13.160000,13.430000,12.935000,12.950000,12.950000,457300
2020-09-10,13.670000,13.670000,13.280000,13.500000,13.500000,793500
2020-09-11,13.480000,13.680000,12.770000,12.770000,12.770000,692200
2020-09-14,12.880000,13.200000,12.825000,12.840000,12.840000,1071600
2020-09-15,13.140000,13.200000,12.320000,12.530000,12.530000,776400
2020-09-16,12.570000,12.770000,12.400000,12.530000,12.530000,1270800
2020-09-17,12.410000,13.990000,12.220000,13.545000,13.545000,2114400
2020-09-18,13.480000,14.025000,13.200000,13.880000,13.880000,4688700
2020-09-21,13.670000,13.950000,13.013000,13.320000,13.320000,520700
2020-09-22,13.360000,14.060000,13.055000,13.950000,13.950000,832400
2020-09-23,14.000000,14.640000,13.810000,14.080000,14.080000,885100
2020-09-24,13.610000,13.990000,13.110000,13.430000,13.430000,590700
2020-09-25,13.570000,13.970000,13.450000,13.790000,13.790000,357700
2020-09-28,13.930000,14.060000,13.380000,13.480000,13.480000,316200
2020-09-29,13.480000,13.590000,13.110000,13.290000,13.290000,916600
2020-09-30,13.370000,13.500000,12.885000,13.025000,13.025000,545400
2020-10-01,13.260000,13.910000,13.210000,13.720000,13.720000,1172200
2020-10-02,13.710000,14.990000,13.610000,14.640000,14.640000,1184800
2020-10-05,14.920000,15.300000,14.780000,15.010000,15.010000,1300800
2020-10-06,15.000000,15.177000,13.910000,14.000000,14.000000,1262800
2020-10-07,14.150000,14.290000,13.700000,14.060000,14.060000,544000
2020-10-08,14.110000,14.270000,13.480000,13.590000,13.590000,570300
2020-10-09,13.850000,13.996000,13.130000,13.340000,13.340000,478900
2020-10-12,13.510000,13.700000,12.920000,13.010000,13.010000,684500
2020-10-13,12.940000,13.132000,12.500000,12.660000,12.660000,851600
2020-10-14,12.760000,12.800000,12.460000,12.460000,12.460000,592300
2020-10-15,12.560000,12.560000,12.050000,12.250000,12.250000,795100
2020-10-16,12.350000,12.465000,12.020000,12.060000,12.060000,999700
2020-10-19,12.090000,12.560000,11.550000,12.060000,12.060000,2015100
2020-10-20,12.130000,12.360000,11.610000,11.780000,11.780000,942300
2020-10-21,11.750000,11.759000,11.250000,11.330000,11.330000,1994600
2020-10-22,11.320000,11.700000,11.200000,11.590000,11.590000,926300
2020-10-23,11.440000,12.040000,11.070000,11.980000,11.980000,1456600
2020-10-26,11.900000,12.000000,11.080000,11.260000,11.260000,642000
2020-10-27,11.490000,11.490000,11.135000,11.180000,11.180000,372100
2020-10-28,11.030000,11.100000,10.620000,10.670000,10.670000,811100
2020-10-29,10.740000,10.870000,10.110000,10.430000,10.430000,1472700
2020-10-30,10.410000,10.530000,10.020000,10.360000,10.360000,981700
2020-11-02,10.550000,10.680000,10.130000,10.470000,10.470000,575100
2020-11-03,10.520000,11.510000,10.520000,11.500000,11.500000,877000
2020-11-04,11.640000,12.060000,11.510000,11.590000,11.590000,831300
2020-11-05,11.650000,11.840000,11.380000,11.680000,11.680000,404600
2020-11-06,11.680000,12.440000,11.595000,12.150000,12.150000,582300
2020-11-09,12.590000,13.120000,12.240000,12.850000,12.850000,1076700
2020-11-10,12.810000,13.070000,12.318000,13.050000,13.050000,681200
2020-11-11,13.100000,13.670000,13.050000,13.330000,13.330000,1469500
2020-11-12,11.850000,12.033000,10.780000,11.110000,11.110000,4545800
2020-11-13,11.180000,11.580000,10.850000,11.480000,11.480000,2138600
2020-11-16,11.950000,11.950000,10.900000,11.080000,11.080000,1142500
2020-11-17,11.090000,11.520000,10.790000,11.350000,11.350000,936900
2020-11-18,11.610000,11.800000,11.070000,11.780000,11.780000,880100
2020-11-19,11.640000,12.130000,11.560000,12.020000,12.020000,465100
2020-11-20,12.020000,12.160000,11.580000,11.630000,11.630000,464900
2020-11-23,11.650000,11.700000,11.010000,11.020000,11.020000,1292000
2020-11-24,11.200000,11.370000,10.910000,10.950000,10.950000,1282600
2020-11-25,11.000000,11.165000,10.950000,11.030000,11.030000,558400
2020-11-27,11.250000,11.290000,11.050000,11.130000,11.130000,383000
2020-11-30,11.130000,11.191000,10.510000,10.540000,10.540000,1696800
2020-12-01,10.650000,10.730000,10.050000,10.050000,10.050000,1904400
2020-12-02,10.110000,10.770000,10.010000,10.750000,10.750000,1990900
2020-12-03,10.800000,11.230000,10.620000,11.160000,11.160000,1500900
2020-12-04,11.210000,11.890000,11.210000,11.870000,11.870000,1375100
2020-12-07,11.790000,12.420000,11.650000,12.040000,12.040000,896400
2020-12-08,12.070000,12.640000,11.900000,12.500000,12.500000,872000
2020-12-09,12.690000,12.950000,11.810000,12.250000,12.250000,1680800
2020-12-10,11.980000,13.805000,11.840000,13.720000,13.720000,1261600
2020-12-11,13.680000,13.940000,13.020000,13.290000,13.290000,1028600
