Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,13.150000,13.600000,13.150000,13.430000,10.339550,28900
2019-03-04,13.420000,13.540000,12.600000,13.460000,10.362643,110300
2019-03-05,13.300000,13.408000,12.510000,13.155000,10.127832,111700
2019-03-06,12.920000,13.250000,12.850000,12.850000,9.893016,72200
2019-03-07,12.850000,12.999000,12.600000,12.780000,9.839124,92700
2019-03-08,12.880000,13.570000,12.750000,12.950000,9.970004,70000
2019-03-11,12.870000,13.244000,12.780000,13.160000,10.131681,56300
2019-03-12,13.200000,13.460000,12.750000,13.000000,10.008499,85300
2019-03-13,13.000000,13.149000,12.760000,12.950000,9.970004,142300
2019-03-14,12.820000,13.040000,12.802000,12.980000,9.993101,73600
2019-03-15,12.910000,13.100000,12.830000,12.850000,9.893016,108600
2019-03-18,12.950000,13.000000,12.770000,12.830000,9.877618,160700
2019-03-19,12.860000,13.050000,12.850000,12.900000,9.931512,123300
2019-03-20,12.930000,13.126000,12.770000,12.920000,9.946906,178400
2019-03-21,12.830000,13.000000,12.700000,12.940000,10.044715,123500
2019-03-22,12.930000,12.930000,12.750000,12.850000,9.974854,54500
2019-03-25,13.000000,13.000000,12.620000,12.760000,9.904989,105400
2019-03-26,12.770000,12.950000,12.750000,12.920000,10.029188,94300
2019-03-27,12.840000,13.050000,12.840000,12.990000,10.083529,56800
2019-03-28,12.950000,13.040000,12.890000,13.000000,10.091292,37400
2019-03-29,12.940000,13.086000,12.850000,12.920000,10.029188,51400
2019-04-01,12.950000,13.100000,12.900000,12.980000,10.075766,60700
2019-04-02,12.910000,12.982000,12.860000,12.950000,10.052480,73000
2019-04-03,12.990000,13.190000,12.980000,13.020000,10.106818,47500
2019-04-04,13.020000,13.120000,12.930000,12.980000,10.075766,68900
2019-04-05,12.970000,13.210000,12.950000,13.200000,10.246543,50800
2019-04-08,13.060000,13.237000,12.950000,13.130000,10.192203,72500
2019-04-09,13.070000,13.130000,12.810000,12.900000,10.013665,108600
