Date,Open,High,Low,Close,Adj Close,Volume
2013-07-24,700.000000,713.299988,631.400024,669.900024,669.900024,15800
2013-07-25,654.500000,667.099976,632.099976,650.299988,650.299988,2500
2013-07-26,644.000000,649.599976,631.400024,649.599976,649.599976,500
2013-07-29,640.500000,657.299988,630.700012,641.200012,641.200012,100
2013-07-30,634.200012,663.599976,634.200012,655.200012,655.200012,300
2013-07-31,664.299988,695.099976,647.500000,695.099976,695.099976,300
2013-08-01,700.700012,707.000000,683.900024,703.500000,703.500000,700
2013-08-02,684.599976,714.000000,683.900024,706.299988,706.299988,1900
2013-08-05,710.500000,714.000000,693.700012,703.500000,703.500000,700
2013-08-06,690.200012,710.500000,690.200012,696.500000,696.500000,200
2013-08-07,688.799988,703.500000,688.799988,700.000000,700.000000,100
2013-08-08,696.500000,700.000000,684.599976,684.599976,684.599976,200
2013-08-09,684.599976,700.000000,684.599976,686.700012,686.700012,200
2013-08-12,700.000000,710.500000,700.000000,710.500000,710.500000,300
2013-08-13,700.000000,700.000000,685.299988,688.799988,688.799988,300
2013-08-14,700.000000,710.500000,649.599976,700.000000,700.000000,100
2013-08-15,699.299988,710.500000,690.900024,690.900024,690.900024,200
2013-08-16,710.500000,713.299988,703.500000,713.299988,713.299988,600
2013-08-19,786.099976,786.099976,690.200012,707.000000,707.000000,500
2013-08-20,709.799988,710.500000,672.700012,710.500000,710.500000,100
2013-08-21,707.000000,710.500000,703.500000,704.900024,704.900024,300
2013-08-22,721.700012,721.700012,705.599976,706.299988,706.299988,200
2013-08-23,707.000000,707.000000,701.400024,707.000000,707.000000,100
2013-08-26,700.000000,707.000000,700.000000,703.500000,703.500000,300
2013-08-27,686.000000,703.500000,686.000000,703.500000,703.500000,100
2013-08-28,700.000000,703.500000,693.000000,700.700012,700.700012,300
2013-08-29,700.000000,703.500000,696.500000,697.900024,697.900024,300
2013-08-30,694.400024,702.799988,683.900024,699.299988,699.299988,0
2013-09-03,702.099976,703.500000,693.700012,697.200012,697.200012,200
2013-09-04,696.500000,705.599976,683.200012,695.799988,695.799988,200
2013-09-05,679.700012,700.000000,679.000000,689.500000,689.500000,100
2013-09-06,675.500000,683.900024,672.000000,682.500000,682.500000,100
2013-09-09,682.500000,704.900024,682.500000,693.000000,693.000000,200
2013-09-10,689.500000,704.900024,689.500000,694.400024,694.400024,200
2013-09-11,687.400024,703.500000,686.700012,696.500000,696.500000,100
2013-09-12,696.500000,770.000000,696.500000,763.000000,763.000000,600
2013-09-13,766.500000,790.299988,756.000000,770.000000,770.000000,1100
2013-09-16,793.099976,889.000000,767.200012,874.299988,874.299988,4500
2013-09-17,877.799988,945.000000,840.700012,853.299988,853.299988,3400
2013-09-18,910.000000,945.000000,893.200012,937.299988,937.299988,4100
2013-09-19,945.000000,945.000000,864.500000,895.299988,895.299988,900
2013-09-20,909.299988,909.299988,861.700012,861.700012,861.700012,700
2013-09-23,875.700012,909.299988,861.700012,898.799988,898.799988,1300
2013-09-24,893.200012,908.599976,833.000000,842.099976,842.099976,800
2013-09-25,840.000000,847.000000,822.500000,826.000000,826.000000,1100
2013-09-26,870.099976,872.200012,824.599976,824.599976,824.599976,400
2013-09-27,823.900024,938.000000,823.900024,923.299988,923.299988,1500
2013-09-30,932.400024,942.900024,870.799988,870.799988,870.799988,1200
2013-10-01,891.799988,910.000000,848.400024,882.000000,882.000000,900
2013-10-02,885.500000,1049.300049,875.000000,1022.000000,1022.000000,2700
2013-10-03,1033.199951,1070.300049,949.900024,962.500000,962.500000,2200
2013-10-04,974.400024,1029.000000,970.200012,979.299988,979.299988,600
2013-10-07,979.299988,1003.099976,922.599976,933.099976,933.099976,500
2013-10-08,941.500000,979.299988,848.400024,908.599976,908.599976,600
2013-10-09,903.000000,903.000000,808.500000,837.900024,837.900024,400
2013-10-10,868.000000,892.500000,791.700012,824.599976,824.599976,800
2013-10-11,844.900024,844.900024,781.200012,793.799988,793.799988,300
2013-10-14,812.700012,819.700012,749.000000,763.700012,763.700012,400
2013-10-15,770.000000,791.700012,736.400024,757.400024,757.400024,600
2013-10-16,751.799988,778.400024,749.700012,778.400024,778.400024,300
2013-10-17,765.099976,779.099976,746.900024,758.099976,758.099976,300
2013-10-18,742.700012,784.000000,742.700012,779.099976,779.099976,300
2013-10-21,784.000000,784.000000,742.000000,746.200012,746.200012,500
2013-10-22,750.400024,750.400024,683.200012,739.900024,739.900024,1000
2013-10-23,727.299988,735.000000,700.000000,731.500000,731.500000,400
2013-10-24,711.900024,747.599976,708.400024,722.400024,722.400024,300
2013-10-25,725.900024,740.599976,704.200012,723.799988,723.799988,300
2013-10-28,731.500000,744.799988,707.000000,707.700012,707.700012,400
2013-10-29,715.400024,717.500000,660.799988,689.500000,689.500000,600
2013-10-30,686.000000,688.799988,644.000000,645.400024,645.400024,800
2013-10-31,639.099976,659.400024,609.000000,633.500000,633.500000,800
2013-11-01,661.500000,679.700012,648.200012,679.700012,679.700012,200
2013-11-04,671.299988,694.400024,668.500000,683.200012,683.200012,100
2013-11-05,649.599976,688.799988,649.599976,673.400024,673.400024,100
2013-11-06,665.000000,670.599976,623.000000,641.900024,641.900024,700
2013-11-07,626.500000,627.900024,525.000000,586.599976,586.599976,400
2013-11-08,626.500000,658.000000,626.500000,644.000000,644.000000,200
2013-11-11,583.099976,630.000000,583.099976,600.599976,600.599976,200
2013-11-12,605.500000,605.500000,560.700012,572.599976,572.599976,100
2013-11-13,611.799988,647.500000,595.000000,632.799988,632.799988,400
2013-11-14,640.500000,648.900024,588.000000,588.000000,588.000000,900
2013-11-15,588.000000,623.000000,588.000000,598.500000,598.500000,200
2013-11-18,597.799988,597.799988,560.000000,565.599976,565.599976,100
2013-11-19,570.500000,596.400024,545.299988,549.500000,549.500000,1000
2013-11-20,557.900024,579.599976,557.900024,560.000000,560.000000,100
2013-11-21,569.799988,583.799988,536.900024,536.900024,536.900024,600
2013-11-22,560.000000,601.299988,546.700012,563.500000,563.500000,400
2013-11-25,573.299988,625.799988,549.500000,610.400024,610.400024,800
2013-11-26,616.700012,662.900024,612.500000,641.900024,641.900024,500
2013-11-27,642.599976,651.000000,574.700012,586.599976,586.599976,700
2013-11-29,564.900024,601.299988,564.900024,575.400024,575.400024,100
2013-12-02,568.400024,602.700012,538.299988,538.299988,538.299988,700
2013-12-03,532.000000,559.299988,526.400024,541.099976,541.099976,100
2013-12-04,560.000000,607.599976,560.000000,584.500000,584.500000,100
2013-12-05,583.099976,619.500000,574.000000,574.000000,574.000000,600
2013-12-06,581.000000,602.700012,574.000000,574.700012,574.700012,100
2013-12-09,586.599976,615.299988,574.000000,576.799988,576.799988,200
2013-12-10,585.200012,585.200012,570.500000,571.200012,571.200012,100
2013-12-11,639.099976,639.099976,544.599976,563.500000,563.500000,100
2013-12-12,560.000000,569.099976,546.700012,560.700012,560.700012,0
2013-12-13,562.099976,574.700012,546.700012,546.700012,546.700012,100
2013-12-16,555.799988,567.700012,527.799988,530.599976,530.599976,200
2013-12-17,536.900024,536.900024,532.000000,532.000000,532.000000,0
2013-12-18,532.700012,567.700012,506.100006,539.700012,539.700012,200
2013-12-19,539.700012,565.599976,507.500000,516.599976,516.599976,200
2013-12-20,584.500000,584.500000,512.400024,513.799988,513.799988,200
2013-12-23,522.200012,539.700012,490.700012,497.000000,497.000000,500
2013-12-24,490.700012,595.000000,490.700012,560.000000,560.000000,300
2013-12-26,553.000000,560.000000,514.500000,518.700012,518.700012,400
2013-12-27,524.299988,524.299988,514.500000,518.700012,518.700012,0
2013-12-30,521.500000,542.500000,499.799988,520.799988,520.799988,300
2013-12-31,508.899994,528.500000,493.500000,497.000000,497.000000,600
2014-01-02,501.899994,523.599976,501.899994,511.000000,511.000000,200
2014-01-03,514.500000,525.000000,511.700012,514.500000,514.500000,100
2014-01-06,518.000000,543.200012,507.500000,507.500000,507.500000,0
2014-01-07,508.200012,520.099976,508.200012,512.400024,512.400024,0
2014-01-08,518.700012,525.000000,507.500000,515.200012,515.200012,200
2014-01-09,519.400024,561.400024,519.400024,558.599976,558.599976,200
2014-01-10,557.900024,627.200012,556.500000,623.000000,623.000000,800
2014-01-13,627.200012,671.299988,627.200012,650.299988,650.299988,200
2014-01-14,636.299988,636.299988,595.000000,595.000000,595.000000,400
2014-01-15,613.200012,613.200012,530.599976,570.500000,570.500000,600
2014-01-16,571.200012,571.200012,547.400024,558.599976,558.599976,200
2014-01-17,561.400024,622.299988,561.400024,603.400024,603.400024,300
2014-01-21,612.500000,641.900024,595.000000,641.900024,641.900024,200
2014-01-22,606.900024,630.000000,602.000000,630.000000,630.000000,200
2014-01-23,629.299988,636.299988,609.000000,614.599976,614.599976,100
2014-01-24,611.799988,611.799988,574.000000,578.900024,578.900024,200
2014-01-27,576.799988,576.799988,512.400024,529.900024,529.900024,700
2014-01-28,556.500000,560.000000,536.900024,536.900024,536.900024,100
2014-01-29,533.400024,533.400024,511.700012,518.700012,518.700012,200
2014-01-30,519.400024,539.000000,515.900024,525.700012,525.700012,200
2014-01-31,528.500000,528.500000,511.700012,511.700012,511.700012,100
2014-02-03,511.700012,514.500000,463.399994,505.399994,505.399994,300
2014-02-04,514.500000,514.500000,484.399994,494.200012,494.200012,100
2014-02-05,490.700012,502.600006,490.700012,502.600006,502.600006,0
2014-02-06,508.899994,518.000000,483.000000,510.299988,510.299988,200
2014-02-07,518.000000,525.000000,501.200012,511.000000,511.000000,0
2014-02-10,525.000000,525.000000,502.600006,515.200012,515.200012,300
2014-02-11,515.200012,522.900024,507.500000,522.200012,522.200012,300
2014-02-12,527.099976,558.599976,525.000000,548.799988,548.799988,100
2014-02-13,542.500000,595.000000,542.500000,595.000000,595.000000,400
2014-02-14,593.599976,594.299988,576.799988,588.700012,588.700012,100
2014-02-18,591.500000,591.500000,560.700012,581.700012,581.700012,0
2014-02-19,582.400024,582.400024,557.200012,577.500000,577.500000,800
2014-02-20,576.099976,576.799988,560.000000,567.000000,567.000000,100
2014-02-21,569.799988,591.500000,548.799988,564.900024,564.900024,100
2014-02-24,585.200012,585.200012,541.099976,569.799988,569.799988,0
2014-02-25,570.500000,570.500000,539.700012,541.799988,541.799988,0
2014-02-26,542.500000,553.000000,539.000000,551.599976,551.599976,200
2014-02-27,539.700012,550.900024,523.599976,549.500000,549.500000,300
2014-02-28,541.799988,548.799988,504.000000,504.000000,504.000000,300
2014-03-03,504.700012,523.599976,473.200012,496.299988,496.299988,500
2014-03-04,496.299988,500.500000,490.000000,497.700012,497.700012,100
2014-03-05,499.100006,499.100006,490.000000,490.000000,490.000000,100
2014-03-06,488.600006,498.399994,481.600006,481.600006,481.600006,200
2014-03-07,488.600006,488.600006,416.500000,426.299988,426.299988,1100
2014-03-10,435.399994,480.899994,420.000000,427.700012,427.700012,1200
2014-03-11,431.200012,465.500000,428.399994,430.500000,430.500000,400
2014-03-12,441.000000,469.700012,434.700012,469.700012,469.700012,200
2014-03-13,474.600006,500.500000,471.100006,484.399994,484.399994,200
2014-03-14,487.200012,487.200012,455.000000,461.299988,461.299988,200
2014-03-17,466.200012,466.200012,435.399994,443.799988,443.799988,700
