Date,Open,High,Low,Close,Adj Close,Volume
2005-06-09,13.020000,13.190000,12.800000,12.960000,2.872791,2883700
2005-06-10,13.000000,13.000000,12.520000,12.580000,2.788558,482000
2005-06-13,12.700000,12.700000,12.450000,12.530000,2.777475,67700
2005-06-14,12.520000,12.530000,12.500000,12.510000,2.773041,33000
2005-06-15,12.600000,12.800000,12.500000,12.750000,2.826241,99400
2005-06-16,12.840000,12.840000,12.710000,12.740000,2.824025,15300
2005-06-17,12.750000,13.000000,12.750000,12.950000,2.870575,40400
2005-06-20,13.110000,13.110000,12.900000,12.950000,2.870575,43600
2005-06-21,12.950000,13.100000,12.800000,12.900000,2.859491,33900
2005-06-22,12.950000,13.000000,12.900000,12.950000,2.870575,15200
2005-06-23,12.950000,12.950000,12.850000,12.850000,2.848409,4400
2005-06-24,12.850000,13.000000,12.850000,12.900000,2.859491,25900
2005-06-27,12.850000,12.980000,12.750000,12.980000,2.877224,3100
2005-06-28,12.990000,12.990000,12.900000,12.950000,2.870575,22400
2005-06-29,12.950000,13.100000,12.940000,12.960000,2.872791,47800
2005-06-30,12.960000,12.990000,12.450000,12.900000,2.859491,149100
2005-07-01,12.850000,12.900000,12.820000,12.850000,2.848409,49100
2005-07-05,13.000000,13.000000,12.900000,12.900000,2.859491,7800
2005-07-06,12.900000,12.900000,12.880000,12.900000,2.859491,2300
2005-07-07,12.850000,12.930000,12.800000,12.880000,2.855058,6100
2005-07-08,12.900000,12.950000,12.900000,12.950000,2.870575,8300
2005-07-11,12.950000,12.950000,12.700000,12.700000,2.815157,4600
2005-07-12,12.900000,12.900000,12.830000,12.850000,2.848409,16900
2005-07-13,12.850000,12.890000,12.750000,12.800000,2.837326,11000
2005-07-14,12.800000,12.900000,12.760000,12.800000,2.837326,52600
2005-07-15,12.800000,12.900000,12.780000,12.800000,2.837326,21400
2005-07-18,12.800000,12.800000,12.650000,12.650000,2.804075,7100
2005-07-19,12.800000,12.830000,12.600000,12.770000,2.830675,93600
2005-07-20,12.720000,12.750000,12.500000,12.750000,2.826241,33900
2005-07-21,12.760000,12.760000,12.650000,12.650000,2.804075,2000
2005-07-22,12.800000,12.800000,12.700000,12.700000,2.815157,3700
2005-07-25,13.170000,14.410000,12.900000,13.140000,2.912691,185200
2005-07-26,13.550000,13.550000,13.000000,13.100000,2.903824,76600
2005-07-27,13.250000,13.250000,13.010000,13.200000,2.925991,154000
2005-07-28,13.150000,13.200000,12.950000,12.990000,2.879441,58700
2005-07-29,13.050000,13.180000,13.000000,13.000000,2.881658,44900
2005-08-01,13.000000,13.800000,13.000000,13.100000,2.903824,123000
2005-08-02,13.250000,13.400000,13.100000,13.200000,2.925991,46600
2005-08-03,13.200000,13.500000,13.150000,13.290000,2.945941,90600
2005-08-04,13.450000,13.750000,13.410000,13.500000,2.992491,151400
2005-08-05,13.700000,13.770000,13.620000,13.750000,3.047908,98300
2005-08-08,13.800000,13.900000,13.610000,13.710000,3.039040,27300
2005-08-09,13.700000,13.890000,13.700000,13.800000,3.058991,9600
2005-08-10,13.800000,13.800000,13.200000,13.430000,2.976975,25600
2005-08-11,13.430000,13.850000,13.400000,13.850000,3.070073,11500
2005-08-12,14.080000,14.080000,13.550000,14.000000,3.103325,9900
2005-08-15,14.000000,14.000000,14.000000,14.000000,3.103325,200
2005-08-16,13.650000,13.780000,13.650000,13.780000,3.054558,2100
2005-08-17,13.800000,13.800000,13.210000,13.500000,2.992491,4000
2005-08-18,13.750000,13.850000,13.500000,13.510000,2.994707,144300
2005-08-19,13.500000,13.500000,13.500000,13.500000,2.992491,300
2005-08-22,13.950000,13.950000,13.400000,13.590000,3.012442,5300
2005-08-23,13.300000,13.780000,13.300000,13.780000,3.054558,6200
2005-08-24,13.860000,13.860000,13.730000,13.800000,3.058991,1900
2005-08-25,14.180000,14.180000,13.200000,13.650000,3.025741,107200
2005-08-26,13.380000,13.400000,12.950000,13.300000,2.948159,19900
2005-08-29,13.440000,13.580000,13.250000,13.390000,2.968109,7100
2005-08-30,13.320000,13.320000,12.950000,13.020000,2.886092,1400
2005-08-31,12.990000,13.580000,12.990000,13.290000,2.945941,232400
2005-09-01,13.190000,13.190000,13.190000,13.190000,2.923774,3200
2005-09-02,13.190000,13.190000,13.000000,13.110000,2.906043,12500
2005-09-06,13.050000,13.080000,12.650000,12.980000,2.877224,3700
2005-09-07,13.070000,13.070000,12.950000,12.960000,2.872791,2300
2005-09-08,12.760000,12.890000,12.560000,12.890000,2.857275,6800
2005-09-09,12.900000,13.000000,12.460000,12.590000,2.790776,11500
2005-09-12,12.660000,12.880000,12.600000,12.780000,2.832892,6600
2005-09-13,12.790000,12.950000,12.620000,12.620000,2.797424,12000
2005-09-14,12.600000,12.610000,12.520000,12.520000,2.775258,600
2005-09-15,12.600000,12.600000,12.520000,12.550000,2.781908,1700
2005-09-16,12.550000,12.800000,12.550000,12.800000,2.837326,1700
2005-09-19,12.930000,12.940000,12.600000,12.600000,2.792992,4000
2005-09-20,12.630000,12.630000,12.600000,12.600000,2.792992,3400
2005-09-21,12.700000,12.880000,12.600000,12.780000,2.832892,1900
2005-09-22,12.710000,12.710000,12.600000,12.600000,2.792992,2300
2005-09-23,12.600000,12.610000,12.550000,12.610000,2.795208,2000
2005-09-26,12.560000,12.560000,12.270000,12.370000,2.742009,12600
2005-09-27,12.270000,12.380000,12.120000,12.160000,2.695458,223600
2005-09-28,12.200000,12.200000,11.900000,12.070000,2.675509,6300
2005-09-29,12.250000,12.510000,12.090000,12.500000,2.770825,10800
2005-09-30,12.530000,12.900000,12.420000,12.750000,2.826241,27500
2005-10-03,12.500000,12.680000,12.120000,12.250000,2.715408,27900
2005-10-04,12.500000,12.500000,11.840000,12.170000,2.697676,6200
2005-10-05,12.010000,12.410000,12.000000,12.260000,2.717625,4800
