Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,25.090000,25.090000,24.629999,24.826000,24.826000,12900
2020-08-05,25.100000,25.120001,24.850000,24.860001,24.860001,8800
2020-08-06,25.170000,25.660000,24.870001,24.957001,24.957001,6100
2020-08-07,25.030001,25.209999,24.760000,24.898001,24.898001,3900
2020-08-10,25.219999,25.219999,24.920000,24.962999,24.962999,7100
2020-08-11,25.190001,25.190001,24.285000,24.285000,24.285000,8200
2020-08-12,24.350000,24.540001,24.350000,24.524000,24.524000,6200
2020-08-13,24.684999,24.879999,24.573000,24.850000,24.850000,31000
2020-08-14,24.870001,24.870001,24.490000,24.520000,24.520000,3100
2020-08-17,25.000000,25.230000,25.000000,25.195999,25.195999,5900
2020-08-18,25.209000,25.240000,24.889999,25.090000,25.090000,8800
2020-08-19,25.219999,25.469999,25.139999,25.240999,25.240999,29900
2020-08-20,25.010000,25.212999,25.010000,25.212999,25.212999,5500
2020-08-21,25.070000,25.070000,24.950001,24.950001,24.950001,1700
2020-08-24,25.110001,25.110001,24.575001,24.632000,24.632000,4700
2020-08-25,24.620001,25.040001,24.620001,24.989000,24.989000,4100
2020-08-26,25.100000,25.100000,24.629999,24.632000,24.632000,1900
2020-08-27,24.344999,24.490000,24.299999,24.490000,24.490000,1100
2020-08-28,24.600000,24.750000,24.600000,24.747000,24.747000,1000
2020-08-31,25.059999,25.500999,25.059999,25.374001,25.374001,4400
2020-09-01,25.280001,25.370001,24.934000,24.934000,24.934000,6700
2020-09-02,24.770000,24.879999,24.690001,24.879999,24.879999,2100
2020-09-03,24.930000,24.930000,24.010000,24.030001,24.030001,4500
2020-09-04,23.830000,23.850000,23.040001,23.823000,23.823000,4300
2020-09-08,23.459999,24.170000,23.459999,23.680000,23.680000,3300
2020-09-09,24.219999,24.400000,24.207001,24.316000,24.316000,5500
2020-09-10,24.510000,24.750000,23.914000,23.914000,23.914000,5400
2020-09-11,24.139999,24.280001,23.740000,23.856001,23.856001,2500
2020-09-14,25.240000,25.990000,25.240000,25.950001,25.950001,12900
2020-09-15,26.195999,26.490000,26.070000,26.261000,26.261000,21500
2020-09-16,26.530001,27.090000,26.530001,26.798000,26.798000,2900
2020-09-17,26.500000,26.799999,26.500000,26.780001,26.780001,4600
2020-09-18,26.959999,27.112000,26.650000,27.112000,27.112000,10600
2020-09-21,26.850000,26.850000,25.930000,26.153999,26.153999,13400
2020-09-22,26.090000,26.330000,25.799999,26.330000,26.330000,6200
