Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,4.472222,4.194445,4.222222,0.326974,634500
1980-03-18,0.000000,4.472222,4.152778,4.444445,0.344183,1112400
1980-03-19,0.000000,4.666667,4.500000,4.555555,0.352788,585900
1980-03-20,0.000000,4.569445,4.444445,4.444445,0.344183,283500
1980-03-21,0.000000,4.388889,4.222222,4.222222,0.326974,387900
1980-03-24,0.000000,4.222222,4.069445,4.083333,0.316218,262800
1980-03-25,0.000000,4.152778,3.958333,4.027778,0.311916,360900
1980-03-26,0.000000,4.111111,3.930556,3.930556,0.304387,491400
1980-03-27,0.000000,3.833333,3.347222,3.777778,0.292556,1010700
1980-03-28,0.000000,3.930556,3.763889,3.875000,0.300085,600300
1980-03-31,0.000000,3.930556,3.805556,3.861111,0.299009,286200
1980-04-01,0.000000,3.902778,3.847222,3.861111,0.299009,67500
1980-04-02,0.000000,3.875000,3.819444,3.833333,0.296858,362700
1980-04-03,0.000000,3.805556,3.722222,3.763889,0.291480,234900
1980-04-07,0.000000,3.736111,3.680556,3.694444,0.286102,322200
1980-04-08,0.000000,3.847222,3.708333,3.847222,0.297934,223200
1980-04-09,0.000000,4.180555,3.902778,4.180555,0.323747,539100
1980-04-10,0.000000,4.402778,4.263889,4.347222,0.336654,1183500
1980-04-11,0.000000,4.319445,4.263889,4.263889,0.330201,191700
1980-04-14,0.000000,4.222222,4.152778,4.166667,0.322672,181800
1980-04-15,0.000000,4.180555,3.986111,3.986111,0.308689,303300
1980-04-16,0.000000,4.013889,3.805556,3.847222,0.297934,434700
1980-04-17,0.000000,3.805556,3.694444,3.750000,0.290405,374400
1980-04-18,0.000000,3.819444,3.763889,3.763889,0.291480,372600
1980-04-21,0.000000,3.791667,3.722222,3.722222,0.288253,145800
1980-04-22,0.000000,4.041667,3.763889,4.000000,0.309765,471600
1980-04-23,0.000000,4.138889,4.041667,4.055555,0.314067,396900
1980-04-24,0.000000,4.069445,3.986111,4.027778,0.311916,238500
1980-04-25,0.000000,4.027778,3.833333,3.888889,0.301160,346500
1980-04-28,0.000000,3.916667,3.819444,3.819444,0.295782,315000
1980-04-29,0.000000,3.902778,3.833333,3.875000,0.300085,231300
1980-04-30,0.000000,3.930556,3.861111,3.875000,0.300085,264600
1980-05-01,0.000000,3.875000,3.819444,3.833333,0.296858,485100
1980-05-02,0.000000,3.819444,3.777778,3.777778,0.292556,171900
1980-05-05,0.000000,3.805556,3.736111,3.736111,0.289329,115200
1980-05-06,0.000000,3.847222,3.750000,3.791667,0.293631,369000
1980-05-07,0.000000,3.847222,3.763889,3.763889,0.291480,333000
1980-05-08,0.000000,3.750000,3.694444,3.694444,0.286102,107100
1980-05-09,0.000000,3.666667,3.458333,3.472222,0.268893,433800
1980-05-12,0.000000,3.444444,3.375000,3.402778,0.263515,243000
1980-05-13,0.000000,3.402778,3.333333,3.402778,0.263515,327600
1980-05-14,0.000000,3.472222,3.430556,3.458333,0.267817,1047600
1980-05-15,0.000000,3.513889,3.388889,3.416667,0.264591,973800
1980-05-16,0.000000,3.472222,3.388889,3.458333,0.267817,721800
1980-05-19,0.000000,3.486111,3.458333,3.486111,0.269969,252900
1980-05-20,0.000000,3.541667,3.472222,3.513889,0.272120,1034100
1980-05-21,0.000000,3.666667,3.583333,3.666667,0.283951,1241100
1980-05-22,0.000000,3.736111,3.680556,3.736111,0.289329,716400
1980-05-23,0.000000,3.833333,3.750000,3.805556,0.294707,937800
1980-05-27,0.000000,3.902778,3.777778,3.777778,0.292556,972000
1980-05-28,0.000000,3.819444,3.680556,3.750000,0.290405,807300
1980-05-29,0.000000,3.819444,3.625000,3.652778,0.282876,941400
1980-05-30,0.000000,3.708333,3.569444,3.694444,0.286102,860400
1980-06-02,0.000000,3.708333,3.652778,3.666667,0.283951,631800
1980-06-03,0.000000,3.722222,3.527778,3.527778,0.273195,682200
1980-06-04,0.000000,3.708333,3.541667,3.708333,0.287178,826200
1980-06-05,0.000000,3.805556,3.708333,3.722222,0.288253,1725300
1980-06-06,0.000000,3.833333,3.666667,3.805556,0.294707,2187000
1980-06-09,0.000000,3.875000,3.791667,3.819444,0.295782,2052900
1980-06-10,0.000000,4.000000,3.861111,3.986111,0.308689,2605500
1980-06-11,0.000000,4.222222,4.083333,4.194445,0.324823,2894400
1980-06-12,0.000000,4.222222,4.069445,4.111111,0.318369,1104300
1980-06-13,0.000000,4.263889,4.111111,4.194445,0.324823,1071000
1980-06-16,0.000000,4.152778,4.055555,4.097222,0.317294,1062000
1980-06-17,0.000000,4.138889,4.083333,4.138889,0.320521,543600
1980-06-18,0.000000,4.138889,4.055555,4.111111,0.318369,767700
1980-06-19,0.000000,4.166667,4.041667,4.041667,0.312992,2490300
1980-06-20,0.000000,4.097222,3.986111,4.069445,0.315143,432900
1980-06-23,0.000000,4.097222,4.055555,4.083333,0.316218,215100
1980-06-24,0.000000,4.166667,4.083333,4.152778,0.321596,723600
1980-06-25,0.000000,4.388889,4.152778,4.361111,0.337730,1422000
1980-06-26,0.000000,4.472222,4.333333,4.347222,0.336654,1566000
1980-06-27,0.000000,4.500000,4.319445,4.458333,0.345259,1803600
1980-06-30,0.000000,4.486111,4.250000,4.305555,0.333428,551700
1980-07-01,0.000000,4.319445,4.208333,4.319445,0.334503,338400
1980-07-02,0.000000,4.430555,4.305555,4.430555,0.343108,804600
1980-07-03,0.000000,4.611111,4.458333,4.597222,0.356015,2825100
1980-07-07,0.000000,4.638889,4.513889,4.625000,0.358166,610200
1980-07-08,0.000000,4.625000,4.472222,4.513889,0.349561,526500
1980-07-09,0.000000,4.569445,4.500000,4.513889,0.349561,668700
1980-07-10,0.000000,4.513889,4.375000,4.388889,0.339881,390600
1980-07-11,0.000000,4.388889,4.291667,4.388889,0.339881,419400
1980-07-14,0.000000,4.444445,4.375000,4.430555,0.343108,250200
1980-07-15,0.000000,4.430555,4.236111,4.305555,0.333428,379800
1980-07-16,0.000000,4.375000,4.291667,4.319445,0.334503,184500
1980-07-17,0.000000,4.416667,4.333333,4.361111,0.337730,415800
1980-07-18,0.000000,4.402778,4.291667,4.333333,0.335579,264600
1980-07-21,0.000000,4.375000,4.291667,4.375000,0.338805,265500
1980-07-22,0.000000,4.416667,4.305555,4.305555,0.333428,370800
1980-07-23,0.000000,4.361111,4.291667,4.361111,0.337730,1672200
1980-07-24,0.000000,4.430555,4.361111,4.388889,0.339881,761400
1980-07-25,0.000000,4.375000,4.305555,4.319445,0.334503,199800
1980-07-28,0.000000,4.333333,4.250000,4.305555,0.333428,209700
1980-07-29,0.000000,4.291667,4.250000,4.263889,0.330201,329400
1980-07-30,0.000000,4.375000,4.250000,4.263889,0.330201,545400
1980-07-31,0.000000,4.222222,4.111111,4.222222,0.326974,1192500
1980-08-01,0.000000,4.222222,4.055555,4.097222,0.317294,1359000
1980-08-04,0.000000,4.083333,4.013889,4.041667,0.312992,440100
1980-08-05,0.000000,4.055555,3.972222,3.986111,0.308689,558000
1980-08-06,0.000000,4.013889,3.944444,4.000000,0.309765,779400
1980-08-07,0.000000,4.055555,4.000000,4.027778,0.311916,983700
1980-08-08,0.000000,4.180555,4.027778,4.055555,0.314067,1377000
1980-08-11,0.000000,4.111111,4.013889,4.111111,0.318369,370800
1980-08-12,0.000000,4.125000,4.069445,4.069445,0.315143,569700
1980-08-13,0.000000,4.097222,4.055555,4.083333,0.316218,499500
1980-08-14,0.000000,4.097222,4.041667,4.041667,0.312992,284400
1980-08-15,0.000000,4.083333,4.000000,4.013889,0.310840,519300
1980-08-18,0.000000,4.041667,3.944444,3.958333,0.306538,394200
1980-08-19,0.000000,3.972222,3.916667,3.930556,0.304387,534600
1980-08-20,0.000000,4.069445,3.930556,4.069445,0.315143,387000
1980-08-21,0.000000,4.097222,3.986111,4.027778,0.311916,814500
1980-08-22,0.000000,4.208333,4.083333,4.138889,0.320521,693900
1980-08-25,0.000000,4.194445,4.138889,4.166667,0.322672,234000
1980-08-26,0.000000,4.138889,4.069445,4.083333,0.316218,534600
1980-08-27,0.000000,4.097222,4.055555,4.083333,0.316218,307800
1980-08-28,0.000000,4.055555,3.930556,3.944444,0.305463,529200
1980-08-29,0.000000,3.958333,3.888889,3.930556,0.304387,315900
1980-09-02,0.000000,3.972222,3.930556,3.972222,0.307614,441000
1980-09-03,0.000000,4.027778,3.958333,4.000000,0.309765,303300
1980-09-04,0.000000,4.055555,3.888889,3.958333,0.306538,369900
1980-09-05,0.000000,3.958333,3.875000,3.888889,0.301160,199800
1980-09-08,0.000000,3.916667,3.847222,3.861111,0.299009,326700
1980-09-09,0.000000,3.861111,3.791667,3.861111,0.299009,569700
1980-09-10,0.000000,3.888889,3.819444,3.847222,0.297934,351000
1980-09-11,0.000000,3.930556,3.875000,3.916667,0.303311,151200
1980-09-12,0.000000,3.972222,3.916667,3.916667,0.303311,216000
1980-09-15,0.000000,3.958333,3.847222,3.861111,0.299009,306000
1980-09-16,0.000000,3.902778,3.833333,3.847222,0.297934,181800
