Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,25.680000,26.490000,25.601999,25.700001,19.686049,50100
2016-08-22,25.889999,27.049999,25.660000,26.020000,19.931183,22800
2016-08-23,26.250000,26.250000,26.030001,26.080000,19.977127,17900
2016-08-24,26.070000,26.139999,25.820000,26.000000,19.915857,18600
2016-08-25,26.250000,26.250000,25.920000,26.163000,20.040709,6300
2016-08-26,26.166000,26.166000,26.004999,26.080000,19.977127,3900
2016-08-29,26.000000,26.200001,26.000000,26.049999,19.954155,17900
2016-08-30,26.120001,26.450001,26.100000,26.450001,20.260555,50300
2016-08-31,26.200001,26.389999,26.100000,26.389999,20.214592,16100
2016-09-01,26.400000,26.400000,26.100000,26.400000,20.222252,19100
2016-09-02,26.400000,26.400000,26.350000,26.350000,20.183950,21500
2016-09-06,26.350000,26.400000,26.010000,26.049999,19.954155,22200
2016-09-07,26.389999,26.400000,26.010000,26.030001,19.938839,9400
2016-09-08,26.100000,26.139999,26.059999,26.070000,19.969477,6200
2016-09-09,26.049999,26.049999,25.850000,26.018000,19.929642,7400
2016-09-12,26.010000,26.384001,25.879999,25.879999,19.823935,2300
2016-09-13,25.910000,26.049000,25.889999,25.900000,19.839256,5300
2016-09-14,26.000000,26.260000,26.000000,26.250000,20.107349,2600
2016-09-15,26.194000,26.194000,26.194000,26.194000,20.064463,1100
2016-09-16,26.000000,26.003000,26.000000,26.003000,19.918152,2000
2016-09-19,26.240000,26.240000,25.620001,25.948999,20.023092,13800
2016-09-20,25.878000,25.950001,25.700001,25.858999,19.953650,2700
2016-09-21,25.799999,25.799999,25.750000,25.799999,19.908131,1600
2016-09-22,25.950001,25.950001,25.850000,25.915001,19.996864,2800
2016-09-23,26.150000,26.150000,25.930000,25.930000,20.008442,700
2016-09-26,25.920000,25.930000,25.920000,25.930000,20.008442,2100
2016-09-27,25.920000,25.948999,25.920000,25.920000,20.000717,1600
2016-09-28,25.920000,25.990000,25.700001,25.750000,19.869545,10900
2016-09-29,25.750000,25.985001,25.730000,25.985001,20.050871,5800
2016-09-30,25.700001,25.799999,25.660000,25.799999,19.908131,6100
2016-10-03,25.799999,25.799999,25.700001,25.770000,19.884975,3200
2016-10-04,25.700001,25.700001,25.700001,25.700001,19.830959,400
2016-10-05,26.240000,26.240000,25.730000,25.860001,19.954420,800
2016-10-06,25.799999,26.160000,25.709999,26.075001,20.120319,6300
2016-10-07,25.799999,25.799999,25.799999,25.799999,19.908131,500
2016-10-10,25.870001,25.870001,25.799999,25.799999,19.908131,800
2016-10-11,25.799999,25.920000,25.750000,25.920000,20.000717,1200
2016-10-12,25.920000,25.920000,25.920000,25.920000,20.000717,200
2016-10-13,25.770000,26.240000,25.750000,25.764999,19.881117,1700
2016-10-14,26.240000,26.240000,25.770000,25.770000,19.884975,1800
2016-10-17,25.860001,26.240000,25.860001,26.124001,20.158131,5500
2016-10-18,26.250000,26.250000,25.895000,25.940001,20.016151,6600
2016-10-19,26.000000,26.000000,25.750000,25.990000,20.158083,3600
2016-10-20,25.770000,26.150000,25.770000,25.900000,20.088287,8200
2016-10-21,25.900000,25.962000,25.700001,25.889999,20.080523,5800
2016-10-24,25.920000,25.920000,25.920000,25.920000,20.103798,500
2016-10-25,25.990999,26.000000,25.990999,26.000000,20.165836,1600
2016-10-26,25.799999,25.940001,25.650000,25.721001,19.949450,21100
2016-10-27,25.730000,25.860001,25.719999,25.816999,20.023907,3000
2016-10-28,25.799999,26.039000,25.799999,26.039000,20.196095,800
2016-10-31,25.700001,25.750000,25.700001,25.750000,19.971943,4600
2016-11-01,25.760000,25.770000,25.700001,25.750000,19.971943,4700
2016-11-02,25.879999,25.889000,25.750000,25.850000,20.049503,4800
2016-11-03,25.750000,25.889000,25.740000,25.740000,19.964190,4400
2016-11-04,25.809999,25.809999,25.809999,25.809999,20.018473,200
2016-11-07,25.750000,26.129999,25.740000,26.129999,20.266670,8900
2016-11-08,25.799999,25.799999,25.754999,25.790001,20.002960,3700
2016-11-09,25.750000,25.900000,25.750000,25.760000,19.979700,9300
2016-11-10,25.750000,25.760000,25.459999,25.510000,19.785795,17100
2016-11-11,25.580000,26.150000,25.580000,26.150000,20.282183,1700
2016-11-14,25.700001,25.700001,25.549999,25.600000,19.855598,2500
2016-11-15,25.500000,26.150000,25.500000,26.150000,20.388100,2300
2016-11-16,25.777000,25.777000,25.500000,25.590000,19.951500,20000
2016-11-17,25.572001,25.572001,25.570000,25.570000,19.935909,2100
2016-11-18,25.500000,25.587999,25.500000,25.580000,19.943699,6600
2016-11-21,25.726999,25.726999,25.400000,25.500000,19.881327,15100
2016-11-22,25.655001,25.655001,25.655001,25.655001,20.002184,400
2016-11-23,25.674999,25.770000,25.600000,25.600000,19.959297,5600
2016-11-25,25.629999,25.639999,25.600000,25.600000,19.959297,2200
2016-11-28,25.500000,25.510000,25.448999,25.450001,19.842348,18700
2016-11-29,25.476000,25.476000,25.476000,25.476000,19.862614,200
2016-11-30,25.570000,25.570000,25.450001,25.450001,19.842348,7800
2016-12-01,25.374001,25.590000,25.243999,25.250000,19.686415,8100
2016-12-02,25.520000,25.549999,25.260000,25.549999,19.920315,2000
2016-12-05,25.549999,25.549999,25.549999,25.549999,19.920315,0
2016-12-06,25.650000,25.650000,25.537001,25.537001,19.910175,400
2016-12-07,25.500000,25.600000,25.350000,25.600000,19.959297,3000
2016-12-08,25.500000,25.530001,25.445000,25.500000,19.881327,12800
2016-12-09,25.500000,25.510000,25.450001,25.450001,19.842348,8700
2016-12-12,25.430000,25.500000,25.430000,25.500000,19.881327,500
2016-12-13,25.496000,25.500000,24.620001,25.400000,19.803364,10100
2016-12-14,25.420000,25.500000,25.382000,25.490000,19.873528,900
2016-12-15,25.392000,25.490000,25.370001,25.490000,19.873528,6300
2016-12-16,25.400000,25.400000,25.250000,25.260000,19.797503,11300
2016-12-19,25.350000,25.416000,25.329000,25.416000,19.919769,4800
2016-12-20,25.400000,25.480000,25.200001,25.250000,19.789677,10300
2016-12-21,25.320000,25.400000,25.209999,25.379999,19.891560,11000
2016-12-22,25.350000,25.430000,25.350000,25.430000,19.930748,2300
2016-12-23,25.410000,25.430000,25.410000,25.430000,19.930748,300
2016-12-27,25.299999,25.299999,25.299999,25.299999,19.828857,3100
2016-12-28,25.500000,25.500000,25.500000,25.500000,19.985609,400
2016-12-29,25.400000,25.500000,25.400000,25.485001,19.973852,2900
2016-12-30,25.440001,25.440001,25.440001,25.440001,19.938581,300
2017-01-03,25.500000,25.510000,25.450001,25.490000,19.977768,13900
2017-01-04,25.500000,25.500000,25.480000,25.500000,19.985609,6600
2017-01-05,25.500000,25.510000,25.451000,25.469999,19.962097,8100
2017-01-06,25.510000,25.510000,25.510000,25.510000,19.993446,200
2017-01-09,25.500000,25.510000,25.490000,25.490000,19.977768,6300
2017-01-10,25.497999,25.995001,25.459999,25.995001,20.373566,15900
2017-01-11,25.531000,25.750000,25.531000,25.559999,20.032639,4700
2017-01-12,25.719999,25.738001,25.559999,25.700001,20.142361,3200
2017-01-13,25.750000,25.750000,25.600000,25.740000,20.173702,4300
2017-01-17,25.559999,26.090000,25.549999,26.090000,20.448019,4500
2017-01-18,26.014999,26.049999,25.799999,26.020000,20.497650,7300
2017-01-19,25.884001,25.933001,25.834999,25.834999,20.351908,1100
2017-01-20,25.700001,26.139999,25.700001,25.791000,20.317253,1300
2017-01-23,25.875000,26.047001,25.787001,25.969999,20.458260,4100
2017-01-24,25.670000,25.959999,25.670000,25.837999,20.354275,500
2017-01-25,25.837999,25.837999,25.837999,25.837999,20.354275,0
2017-01-26,25.837999,25.837999,25.837999,25.837999,20.354275,0
2017-01-27,25.879999,25.927999,25.600000,25.850000,20.363733,5800
2017-01-30,25.850000,25.850000,25.650000,25.650000,20.206175,2500
2017-01-31,25.677000,25.750000,25.600000,25.600000,20.166792,5400
2017-02-01,25.549999,25.610001,25.530001,25.610001,20.174665,4900
2017-02-02,25.610001,25.610001,25.600000,25.600000,20.166792,1800
2017-02-03,25.700001,25.700001,25.650000,25.650000,20.206175,400
2017-02-06,25.697001,25.730000,25.684999,25.709999,20.253437,2000
2017-02-07,25.680000,25.700001,25.680000,25.695000,20.241627,900
2017-02-08,25.680000,25.860001,25.680000,25.702999,20.247929,1100
2017-02-09,25.750000,25.840000,25.670000,25.670000,20.221931,1800
2017-02-10,25.969999,25.969999,25.969999,25.969999,20.458260,200
2017-02-13,25.759001,25.799999,25.759001,25.799999,20.324343,900
2017-02-14,25.690001,25.690001,25.549999,25.549999,20.231699,6700
2017-02-15,25.600000,25.750000,25.600000,25.650000,20.310883,3300
2017-02-16,25.680000,25.698999,25.650000,25.698999,20.349680,1200
2017-02-17,25.778999,25.969999,25.680000,25.680000,20.334635,2400
2017-02-21,25.750000,25.750000,25.750000,25.750000,20.390066,500
2017-02-22,25.870001,26.000000,25.790001,25.910000,20.516760,10000
2017-02-23,26.000000,26.200001,25.850000,26.200001,20.746397,8500
2017-02-24,25.910000,26.170000,25.910000,26.170000,20.722641,400
2017-02-27,26.170000,26.170000,26.170000,26.170000,20.722641,0
2017-02-28,26.170000,26.170000,25.750000,25.750000,20.390066,900
2017-03-01,26.250999,26.250999,26.250000,26.250000,20.785992,900
2017-03-02,25.813000,26.132999,25.813000,26.132999,20.693336,2900
2017-03-03,26.132999,26.132999,26.132999,26.132999,20.693336,0
2017-03-06,26.129999,26.129999,26.070000,26.129999,20.690962,1900
2017-03-07,26.003000,26.139999,25.900000,26.049999,20.627617,17600
2017-03-08,26.000000,26.150000,25.811001,26.000000,20.588026,15700
2017-03-09,25.600000,25.862000,25.400000,25.450001,20.152510,20600
2017-03-10,25.480000,26.490999,25.400000,25.790001,20.421740,58500
2017-03-13,25.790001,25.790001,25.790001,25.790001,20.421740,0
2017-03-14,25.799999,25.799999,25.799999,25.799999,20.429659,200
