Date,Open,High,Low,Close,Adj Close,Volume
2014-09-24,169.899994,174.399994,160.800003,164.000000,101.399055,473900
2014-09-25,162.500000,163.399994,160.000000,162.500000,100.471611,44700
2014-09-26,162.500000,168.800003,162.000000,167.699997,103.686707,29200
2014-09-29,168.899994,168.899994,165.000000,167.100006,103.315727,17400
2014-09-30,166.100006,170.300003,165.000000,168.699997,104.304993,11600
2014-10-01,167.899994,169.100006,161.100006,163.500000,101.089890,21700
2014-10-02,164.399994,165.699997,162.000000,162.500000,100.471611,9000
2014-10-03,162.600006,165.500000,161.100006,162.500000,100.471611,10100
2014-10-06,162.199997,164.399994,162.199997,163.500000,101.089890,10300
2014-10-07,163.500000,164.800003,162.100006,163.500000,101.089890,10700
2014-10-08,164.100006,164.699997,163.000000,164.300003,101.584526,10800
2014-10-09,164.000000,164.750000,152.500000,157.300003,97.256516,28500
2014-10-10,157.000000,157.490005,148.029999,149.000000,92.124748,13700
2014-10-13,148.100006,154.800003,148.100006,151.300003,93.546791,4700
2014-10-14,150.800003,153.500000,150.000000,151.199997,93.484970,3100
2014-10-15,150.000000,151.600006,144.000000,144.100006,89.095123,17300
2014-10-16,142.000000,149.000000,141.800003,149.000000,92.124748,2800
2014-10-17,150.000000,156.000000,150.000000,155.000000,95.834450,7000
2014-10-20,153.500000,160.500000,153.000000,158.800003,98.183960,15800
2014-10-21,160.000000,174.199997,160.000000,165.000000,102.017319,26200
2014-10-22,167.000000,170.199997,164.699997,166.800003,103.130249,13200
2014-10-23,168.000000,168.000000,162.899994,165.399994,102.264656,6000
2014-10-24,165.000000,170.000000,165.000000,169.000000,104.490486,6100
2014-10-27,167.100006,169.199997,164.199997,168.300003,104.057678,11000
2014-10-28,167.399994,169.399994,167.000000,169.199997,104.614143,1700
2014-10-29,168.500000,168.500000,165.500000,166.600006,103.006622,3100
2014-10-30,165.600006,167.070007,157.500000,158.800003,98.183960,4400
2014-10-31,159.199997,162.699997,155.699997,162.600006,100.533447,3600
2014-11-03,162.500000,164.199997,161.600006,164.000000,101.399055,3900
2014-11-04,163.399994,164.000000,153.000000,161.000000,99.544189,13800
2014-11-05,160.600006,160.600006,158.100006,159.399994,98.554924,2800
2014-11-06,164.100006,164.100006,152.600006,153.800003,95.092522,13300
2014-11-07,152.100006,154.399994,152.000000,153.000000,94.597900,2800
2014-11-10,153.100006,161.199997,153.100006,161.100006,99.606033,6800
2014-11-11,158.199997,163.270004,156.300003,162.100006,100.224312,4500
2014-11-12,159.199997,164.699997,155.000000,164.000000,101.399055,5700
2014-11-13,162.800003,167.199997,159.000000,164.399994,101.646355,3300
2014-11-14,164.399994,165.000000,158.800003,160.470001,99.216492,15200
