Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,3.000000,3.000000,2.830000,2.850000,2.850000,6900
2017-11-14,2.830000,2.830000,2.550000,2.600000,2.600000,24280
2017-11-15,2.560000,2.560000,2.550000,2.550000,2.550000,11400
2017-11-16,2.550000,2.560000,2.550000,2.550000,2.550000,4280
2017-11-17,2.570000,2.570000,2.550000,2.550000,2.550000,1310
2017-11-20,2.550000,2.550000,2.500000,2.500000,2.500000,6000
2017-11-21,2.410000,2.460000,2.310000,2.350000,2.350000,7690
2017-11-22,2.350000,2.350000,2.300000,2.300000,2.300000,4000
2017-11-24,2.250000,2.280000,2.250000,2.250000,2.250000,3600
2017-11-27,2.580000,2.580000,2.250000,2.250000,2.250000,4700
2017-11-28,2.250000,2.250000,2.250000,2.250000,2.250000,0
2017-11-29,2.320000,2.470000,2.260000,2.470000,2.470000,5090
2017-11-30,2.440000,2.440000,2.150000,2.260000,2.260000,9113
2017-12-01,2.290000,2.320000,2.290000,2.290000,2.290000,3850
2017-12-04,2.290000,2.290000,2.290000,2.290000,2.290000,0
2017-12-05,2.400000,2.410000,2.400000,2.400000,2.400000,5144
2017-12-06,2.350000,2.440000,2.170000,2.410000,2.410000,2425
2017-12-07,2.370000,2.520000,2.370000,2.480000,2.480000,2400
2017-12-08,2.460000,2.460000,2.250000,2.250000,2.250000,850
2017-12-11,2.250000,2.250000,2.230000,2.230000,2.230000,1500
2017-12-12,2.130000,2.130000,2.000000,2.030000,2.030000,4700
2017-12-13,2.060000,2.060000,2.000000,2.000000,2.000000,3250
2017-12-14,2.000000,2.000000,2.000000,2.000000,2.000000,0
2017-12-15,1.920000,2.140000,1.880000,2.140000,2.140000,1340
2017-12-18,2.050000,2.050000,1.870000,1.870000,1.870000,2824
2017-12-19,1.880000,2.000000,1.880000,2.000000,2.000000,600
2017-12-20,1.990000,2.060000,1.990000,2.060000,2.060000,2914
2017-12-21,2.090000,2.100000,2.090000,2.100000,2.100000,800
2017-12-22,2.080000,2.080000,2.080000,2.080000,2.080000,200
2017-12-26,2.080000,2.080000,2.080000,2.080000,2.080000,0
2017-12-27,2.090000,2.090000,2.090000,2.090000,2.090000,1650
2017-12-28,2.090000,2.090000,2.090000,2.090000,2.090000,1000
2017-12-29,2.000000,2.000000,2.000000,2.000000,2.000000,6200
2018-01-02,2.040000,2.040000,2.040000,2.040000,2.040000,700
2018-01-03,2.010000,2.080000,2.010000,2.080000,2.080000,1614
2018-01-04,2.070000,2.070000,2.070000,2.070000,2.070000,100
2018-01-05,2.070000,2.070000,2.070000,2.070000,2.070000,0
2018-01-08,2.070000,2.070000,2.070000,2.070000,2.070000,875
2018-01-09,2.060000,2.060000,1.900000,1.900000,1.900000,3715
2018-01-10,2.050000,2.070000,1.900000,1.900000,1.900000,2064
2018-01-11,1.900000,1.900000,1.900000,1.900000,1.900000,1100
2018-01-12,1.900000,1.900000,1.900000,1.900000,1.900000,0
2018-01-16,1.900000,1.940000,1.900000,1.940000,1.940000,900
2018-01-17,1.940000,1.940000,1.940000,1.940000,1.940000,1000
2018-01-18,1.940000,1.940000,1.940000,1.940000,1.940000,0
2018-01-19,1.950000,1.950000,1.900000,1.900000,1.900000,4700
2018-01-22,1.900000,1.900000,1.900000,1.900000,1.900000,3000
2018-01-23,1.900000,1.900000,1.900000,1.900000,1.900000,0
2018-01-24,2.200000,2.700000,2.200000,2.700000,2.700000,13488
