Date,Open,High,Low,Close,Adj Close,Volume
1988-10-21,4.916667,4.958333,4.916667,4.916667,3.250930,346800
1988-10-24,5.041667,5.125000,5.041667,5.041667,3.333581,132800
1988-10-25,5.083333,5.125000,5.083333,5.083333,3.361130,206000
1988-10-26,5.083333,5.166667,5.083333,5.083333,3.361130,203400
1988-10-27,5.083333,5.083333,5.041667,5.041667,3.333581,74400
1988-10-28,5.041667,5.041667,5.000000,5.000000,3.306029,87800
1988-10-31,5.000000,5.041667,5.000000,5.000000,3.306029,34400
1988-11-01,5.000000,5.041667,5.000000,5.041667,3.333581,33600
1988-11-02,5.041667,5.041667,5.000000,5.000000,3.306029,16200
1988-11-03,5.041667,5.166667,5.041667,5.166667,3.416230,81000
1988-11-04,5.166667,5.166667,5.041667,5.041667,3.333581,98000
1988-11-07,5.041667,5.083333,5.000000,5.041667,3.333581,42000
1988-11-08,5.041667,5.041667,4.958333,5.000000,3.306029,56000
1988-11-09,5.000000,5.041667,5.000000,5.041667,3.333581,76800
1988-11-10,5.041667,5.333333,5.041667,5.250000,3.471332,110000
1988-11-11,5.250000,5.333333,5.208333,5.208333,3.443781,60000
1988-11-14,5.250000,5.375000,5.250000,5.250000,3.471332,78600
1988-11-15,5.250000,5.541667,5.250000,5.458333,3.609084,104000
1988-11-16,5.458333,5.541667,5.333333,5.416667,3.581532,160400
1988-11-17,5.416667,5.541667,5.333333,5.416667,3.581532,62600
1988-11-18,5.416667,5.625000,5.416667,5.500000,3.636634,156800
1988-11-21,5.500000,5.666667,5.500000,5.625000,3.719285,40400
1988-11-22,5.625000,5.875000,5.625000,5.791667,3.829481,300200
1988-11-23,5.791667,5.958333,5.791667,5.958333,3.939687,144600
1988-11-25,5.916667,5.916667,5.791667,5.916667,3.912134,37800
1988-11-28,5.916667,5.958333,5.833333,5.916667,3.912134,61800
1988-11-29,5.916667,5.958333,5.833333,5.916667,3.912134,124200
1988-11-30,5.916667,5.916667,5.833333,5.833333,3.857035,25200
1988-12-01,5.833333,5.916667,5.833333,5.833333,3.857035,9000
1988-12-02,5.833333,6.041667,5.833333,6.000000,3.967237,203600
1988-12-05,6.041667,6.250000,6.041667,6.125000,4.049888,161000
1988-12-06,6.125000,6.291667,6.125000,6.291667,4.160085,62400
1988-12-07,6.291667,6.291667,6.208333,6.250000,4.132538,53000
1988-12-08,6.250000,6.291667,6.166667,6.166667,4.077436,15600
1988-12-09,6.166667,6.250000,6.166667,6.208333,4.104989,9800
1988-12-12,6.208333,6.333333,6.166667,6.250000,4.132538,188600
1988-12-13,6.291667,6.458333,6.291667,6.458333,4.270288,31400
1988-12-14,6.458333,6.583333,6.375000,6.583333,4.352939,70400
1988-12-15,6.583333,6.583333,6.541667,6.583333,4.352939,19200
1988-12-16,6.583333,6.583333,6.541667,6.583333,4.375088,34400
1988-12-19,6.583333,6.583333,6.375000,6.375000,4.236638,52400
1988-12-20,6.375000,6.458333,6.375000,6.416667,4.264328,12200
1988-12-21,6.416667,6.458333,6.375000,6.375000,4.236638,55400
1988-12-22,6.375000,6.458333,6.208333,6.291667,4.181257,49200
1988-12-23,6.291667,6.333333,6.208333,6.333333,4.208947,53000
1988-12-27,6.333333,6.333333,6.250000,6.291667,4.181257,18200
1988-12-28,6.291667,6.500000,6.250000,6.500000,4.319708,135200
1988-12-29,6.500000,6.666667,6.416667,6.666667,4.430470,46800
1988-12-30,6.666667,6.791667,6.625000,6.708333,4.458160,35400
1989-01-03,6.708333,6.833333,6.583333,6.666667,4.430470,37800
1989-01-04,6.666667,6.708333,6.583333,6.625000,4.402779,30200
1989-01-05,6.666667,6.958333,6.666667,6.958333,4.624303,228000
1989-01-06,6.958333,7.083333,6.875000,7.083333,4.707374,88800
1989-01-09,7.083333,7.083333,7.000000,7.000000,4.685065,58200
1989-01-10,7.000000,7.041667,6.958333,6.958333,4.657176,60200
1989-01-11,6.958333,7.000000,6.916667,6.916667,4.629290,14000
1989-01-12,6.916667,7.000000,6.916667,7.000000,4.685065,14600
1989-01-13,7.000000,7.000000,6.875000,6.958333,4.657176,29000
1989-01-16,6.958333,7.041667,6.958333,7.041667,4.712954,21800
1989-01-17,7.041667,7.041667,6.958333,6.958333,4.657176,2600
1989-01-18,6.958333,7.041667,6.958333,7.041667,4.712954,40800
1989-01-19,7.041667,7.041667,6.958333,7.000000,4.685065,42000
1989-01-20,7.000000,7.166667,7.000000,7.125000,4.768727,99000
1989-01-23,7.125000,7.416667,7.083333,7.333333,4.908164,117200
1989-01-24,7.416667,7.750000,7.416667,7.666667,5.131261,139200
1989-01-25,7.666667,7.791667,7.625000,7.791667,5.214921,40200
1989-01-26,7.791667,7.833333,7.750000,7.791667,5.214921,51600
1989-01-27,7.791667,7.875000,7.791667,7.791667,5.214921,43200
1989-01-30,7.791667,7.958333,7.791667,7.958333,5.326472,55200
1989-01-31,7.958333,8.125000,7.958333,8.125000,5.438023,36000
1989-02-01,8.125000,8.208333,8.041667,8.208333,5.493795,70400
1989-02-02,8.208333,8.208333,8.125000,8.208333,5.493795,8600
1989-02-03,8.125000,8.125000,7.875000,7.875000,5.270698,258000
1989-02-06,7.875000,7.958333,7.875000,7.875000,5.270698,98400
