Date,Open,High,Low,Close,Adj Close,Volume
1993-07-16,15.000000,15.000000,15.000000,15.000000,1.202416,591900
1993-07-19,15.000000,15.000000,15.000000,15.000000,1.202416,74500
1993-07-20,15.000000,15.000000,15.000000,15.000000,1.202416,112800
1993-07-21,15.000000,15.000000,15.000000,15.000000,1.202416,303200
1993-07-22,15.000000,15.000000,15.000000,15.000000,1.202416,92300
1993-07-23,15.000000,15.000000,15.000000,15.000000,1.202416,19300
1993-07-26,15.000000,15.000000,15.000000,15.000000,1.202416,50600
1993-07-27,15.000000,15.000000,15.000000,15.000000,1.202416,168400
1993-07-28,15.000000,15.000000,15.000000,15.000000,1.202416,89600
1993-07-29,15.000000,15.000000,15.000000,15.000000,1.202416,92300
1993-07-30,15.000000,15.000000,15.000000,15.000000,1.202416,42600
1993-08-02,15.000000,15.000000,15.000000,15.000000,1.202416,119000
1993-08-03,15.000000,15.000000,15.000000,15.000000,1.202416,95800
1993-08-04,15.000000,15.125000,15.000000,15.125000,1.212437,51400
1993-08-05,15.000000,15.125000,15.000000,15.125000,1.212437,56800
1993-08-06,15.125000,15.250000,15.125000,15.250000,1.222457,100700
1993-08-09,15.250000,15.250000,15.125000,15.250000,1.222457,81800
1993-08-10,15.250000,15.375000,15.125000,15.125000,1.212437,97300
1993-08-11,15.250000,15.250000,15.125000,15.250000,1.222457,22000
1993-08-12,15.250000,15.250000,15.125000,15.250000,1.222457,30000
1993-08-13,15.125000,15.250000,15.125000,15.125000,1.212437,45600
1993-08-16,15.125000,15.250000,15.125000,15.125000,1.212437,26000
1993-08-17,15.250000,15.250000,15.125000,15.250000,1.222457,51300
1993-08-18,15.250000,15.250000,15.125000,15.250000,1.222457,56500
1993-08-19,15.250000,15.250000,15.125000,15.125000,1.212437,58700
1993-08-20,15.250000,15.250000,15.000000,15.125000,1.212437,64700
1993-08-23,15.250000,15.375000,15.125000,15.375000,1.232477,52300
1993-08-24,15.250000,15.250000,15.125000,15.250000,1.222457,55600
1993-08-25,15.250000,15.375000,15.125000,15.375000,1.232477,37700
1993-08-26,15.375000,15.375000,15.250000,15.375000,1.232477,16800
1993-08-27,15.375000,15.625000,15.250000,15.625000,1.252518,111700
1993-08-30,15.625000,15.625000,15.500000,15.625000,1.252518,72200
1993-08-31,15.500000,15.625000,15.375000,15.375000,1.232477,23700
1993-09-01,15.500000,15.875000,15.375000,15.375000,1.232477,152600
1993-09-02,15.250000,15.375000,15.000000,15.375000,1.232477,54200
1993-09-03,15.375000,15.500000,15.250000,15.375000,1.232477,27700
1993-09-07,15.375000,15.500000,15.250000,15.250000,1.222457,26700
1993-09-08,15.375000,15.375000,15.250000,15.375000,1.232477,74000
1993-09-09,15.500000,15.500000,15.375000,15.500000,1.242497,50200
1993-09-10,15.375000,15.625000,15.375000,15.625000,1.252518,66200
1993-09-13,15.625000,15.625000,15.375000,15.625000,1.252518,39500
1993-09-14,15.500000,15.500000,15.375000,15.500000,1.242497,22500
1993-09-15,15.375000,15.500000,15.250000,15.375000,1.232477,52300
1993-09-16,15.500000,15.500000,15.250000,15.375000,1.232477,35800
