Date,Open,High,Low,Close,Adj Close,Volume
1998-11-12,6.250000,6.500000,6.093750,6.218750,4.125629,2264600
1998-11-13,6.218750,6.281250,6.156250,6.156250,4.084166,126200
1998-11-16,6.156250,6.187500,6.031250,6.125000,4.063436,123000
1998-11-17,6.125000,6.125000,6.062500,6.062500,4.021972,19200
1998-11-18,6.062500,6.062500,6.031250,6.062500,4.021972,34200
1998-11-19,6.031250,6.062500,6.031250,6.031250,4.001243,57400
1998-11-20,6.062500,6.062500,6.031250,6.062500,4.021972,63600
1998-11-23,6.062500,6.218750,6.062500,6.218750,4.125629,6200
1998-11-24,6.218750,6.218750,6.062500,6.125000,4.063436,21200
1998-11-25,6.187500,6.187500,6.125000,6.125000,4.063436,19200
1998-11-27,6.125000,6.125000,6.125000,6.125000,4.063436,0
1998-11-30,6.125000,6.218750,6.125000,6.125000,4.063436,21800
1998-12-01,6.125000,6.187500,6.031250,6.093750,4.042703,239200
1998-12-02,6.062500,6.125000,6.000000,6.125000,4.063436,37600
1998-12-03,6.125000,6.125000,6.000000,6.000000,3.980509,31600
1998-12-04,6.000000,6.062500,6.000000,6.000000,3.980509,60000
1998-12-07,6.000000,6.125000,6.000000,6.062500,4.021972,4200
1998-12-08,6.000000,6.062500,6.000000,6.000000,3.980509,41600
1998-12-09,6.062500,6.093750,6.062500,6.093750,4.042703,20800
1998-12-10,6.125000,6.250000,6.093750,6.187500,4.104901,41200
1998-12-11,6.250000,6.250000,6.187500,6.187500,4.104901,50000
1998-12-14,6.187500,6.187500,6.125000,6.125000,4.063436,5000
1998-12-15,6.093750,6.125000,6.093750,6.125000,4.063436,9400
1998-12-16,6.093750,6.093750,6.093750,6.093750,4.042703,16200
1998-12-17,6.093750,6.093750,6.093750,6.093750,4.042703,0
1998-12-18,6.093750,6.250000,6.093750,6.250000,4.146362,10600
1998-12-21,6.250000,6.250000,6.250000,6.250000,4.146362,3400
1998-12-22,6.187500,6.312500,6.000000,6.000000,3.980509,109000
1998-12-23,6.000000,6.000000,6.000000,6.000000,3.980509,0
1998-12-24,6.000000,6.000000,6.000000,6.000000,3.980509,0
1998-12-28,6.312500,6.312500,6.312500,6.312500,4.187827,1200
1998-12-29,6.187500,6.312500,6.187500,6.312500,4.187827,30200
1998-12-30,6.312500,6.312500,6.312500,6.312500,4.187827,1200
1998-12-31,6.250000,6.250000,6.187500,6.187500,4.104901,12000
1999-01-04,6.187500,6.187500,6.187500,6.187500,4.138341,200
1999-01-05,6.312500,6.312500,6.250000,6.312500,4.221942,2000
1999-01-06,6.312500,6.500000,6.187500,6.500000,4.347345,307800
1999-01-07,6.500000,6.562500,6.500000,6.562500,4.389150,24400
1999-01-08,6.500000,6.500000,6.500000,6.500000,4.347345,7400
1999-01-11,6.625000,6.625000,6.562500,6.562500,4.389150,1400
1999-01-12,6.562500,6.562500,6.437500,6.437500,4.305546,11200
1999-01-13,6.312500,6.312500,6.312500,6.312500,4.221942,15800
1999-01-14,6.312500,6.312500,6.312500,6.312500,4.221942,0
1999-01-15,6.312500,6.312500,6.312500,6.312500,4.221942,800
1999-01-19,6.312500,6.375000,6.312500,6.312500,4.221942,28000
1999-01-20,6.312500,6.312500,6.250000,6.250000,4.180140,4400
1999-01-21,6.250000,6.250000,6.187500,6.187500,4.138341,9400
1999-01-22,6.250000,6.250000,6.187500,6.187500,4.138341,3000
1999-01-25,6.187500,6.250000,6.187500,6.187500,4.138341,3800
1999-01-26,6.187500,6.218750,6.187500,6.218750,4.159239,8200
1999-01-27,6.218750,6.218750,6.218750,6.218750,4.159239,0
1999-01-28,6.312500,6.312500,6.312500,6.312500,4.221942,200
1999-01-29,6.312500,6.312500,6.312500,6.312500,4.221942,400
1999-02-01,6.250000,6.312500,6.187500,6.187500,4.138341,6800
1999-02-02,6.187500,6.187500,6.062500,6.062500,4.054738,6400
1999-02-03,6.125000,6.125000,6.125000,6.125000,4.096538,4000
1999-02-04,6.187500,6.187500,6.125000,6.125000,4.096538,40000
1999-02-05,6.125000,6.250000,6.125000,6.250000,4.180140,125000
1999-02-08,6.250000,6.250000,6.250000,6.250000,4.180140,1400
1999-02-09,6.250000,6.250000,6.250000,6.250000,4.180140,0
1999-02-10,6.187500,6.187500,6.187500,6.187500,4.138341,2000
1999-02-11,6.187500,6.187500,6.187500,6.187500,4.138341,1200
1999-02-12,6.250000,6.250000,6.250000,6.250000,4.180140,1400
1999-02-16,6.125000,6.125000,6.062500,6.062500,4.054738,4000
1999-02-17,6.250000,6.250000,6.250000,6.250000,4.180140,200
1999-02-18,6.062500,6.218750,6.000000,6.218750,4.159239,13200
1999-02-19,6.125000,6.125000,6.000000,6.062500,4.054738,43400
1999-02-22,6.093750,6.187500,6.093750,6.187500,4.138341,1600
1999-02-23,6.187500,6.187500,6.062500,6.062500,4.054738,25600
1999-02-24,6.062500,6.140625,6.062500,6.140625,4.106988,11400
1999-02-25,6.187500,6.187500,6.187500,6.187500,4.138341,4000
1999-02-26,6.187500,6.187500,6.187500,6.187500,4.138341,800
1999-03-01,6.140625,6.156250,6.140625,6.156250,4.117438,1400
1999-03-02,6.093750,6.093750,6.093750,6.093750,4.075637,6200
1999-03-03,6.093750,6.125000,6.093750,6.125000,4.096538,2000
1999-03-04,6.125000,6.125000,6.125000,6.125000,4.096538,0
1999-03-05,6.062500,6.062500,6.062500,6.062500,4.054738,12400
1999-03-08,6.062500,6.062500,6.062500,6.062500,4.054738,0
1999-03-09,6.250000,6.312500,6.250000,6.312500,4.221942,13400
1999-03-10,6.375000,6.375000,6.375000,6.375000,4.263743,200
1999-03-11,6.375000,6.375000,6.375000,6.375000,4.263743,0
1999-03-12,6.375000,6.406250,6.343750,6.343750,4.242843,20200
1999-03-15,6.187500,6.187500,6.031250,6.031250,4.033839,6600
1999-03-16,6.218750,6.218750,6.062500,6.125000,4.096538,45200
1999-03-17,6.125000,6.125000,6.125000,6.125000,4.130254,0
1999-03-18,6.125000,6.125000,6.125000,6.125000,4.130254,0
1999-03-19,6.062500,6.187500,6.062500,6.187500,4.172402,37200
1999-03-22,6.187500,6.187500,6.031250,6.125000,4.130254,9000
1999-03-23,6.125000,6.125000,6.125000,6.125000,4.130254,0
1999-03-24,6.125000,6.125000,6.125000,6.125000,4.130254,0
1999-03-25,6.125000,6.125000,6.125000,6.125000,4.130254,0
1999-03-26,6.125000,6.187500,6.125000,6.187500,4.172402,8400
1999-03-29,6.187500,6.250000,6.187500,6.187500,4.172402,5000
1999-03-30,6.281250,6.281250,6.187500,6.250000,4.214546,19000
1999-03-31,6.250000,6.250000,6.250000,6.250000,4.214546,0
1999-04-01,6.250000,6.375000,6.250000,6.375000,4.298837,5800
1999-04-05,6.375000,6.375000,6.375000,6.375000,4.298837,0
1999-04-06,6.281250,6.281250,6.156250,6.156250,4.151329,800
1999-04-07,6.156250,6.156250,6.156250,6.156250,4.151329,4800
1999-04-08,6.187500,6.187500,6.187500,6.187500,4.172402,2000
1999-04-09,6.250000,6.312500,6.250000,6.312500,4.256693,1800
1999-04-12,6.250000,6.250000,6.250000,6.250000,4.214546,2800
1999-04-13,6.312500,6.375000,6.312500,6.375000,4.298837,37400
1999-04-14,6.375000,6.375000,6.375000,6.375000,4.298837,0
1999-04-15,6.375000,6.375000,6.375000,6.375000,4.298837,0
1999-04-16,6.375000,6.375000,6.375000,6.375000,4.298837,6200
1999-04-19,6.375000,6.500000,6.375000,6.375000,4.298837,35200
1999-04-20,6.375000,6.375000,6.375000,6.375000,4.298837,0
1999-04-21,6.406250,6.625000,6.406250,6.625000,4.467420,800
1999-04-22,6.562500,6.562500,6.562500,6.562500,4.425273,200
1999-04-23,6.562500,6.562500,6.468750,6.468750,4.362055,20000
1999-04-26,6.375000,6.437500,6.375000,6.437500,4.340983,2400
1999-04-27,6.562500,6.562500,6.437500,6.562500,4.425273,2400
1999-04-28,6.562500,6.562500,6.562500,6.562500,4.425273,0
1999-04-29,6.500000,6.562500,6.500000,6.500000,4.383129,38200
1999-04-30,6.562500,6.562500,6.562500,6.562500,4.425273,6200
1999-05-03,6.531250,6.531250,6.375000,6.375000,4.298837,4600
