Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,35.000000,40.970001,31.500000,37.509998,37.509998,3174900
2020-09-28,35.049999,38.000000,35.049999,36.189999,36.189999,744900
2020-09-29,36.189999,38.455002,33.500000,38.000000,38.000000,377100
2020-09-30,38.047001,42.931999,34.904999,35.500000,35.500000,488800
2020-10-01,36.430000,37.250000,32.000000,34.490002,34.490002,1703400
2020-10-02,32.750000,34.029999,32.000000,33.000000,33.000000,298800
2020-10-05,33.099998,34.261002,32.000000,32.950001,32.950001,301300
2020-10-06,32.939999,34.000000,31.850000,33.189999,33.189999,135200
2020-10-07,33.000000,35.820000,32.509998,34.799999,34.799999,213200
2020-10-08,34.549999,35.645000,34.000000,34.860001,34.860001,125500
2020-10-09,34.630001,35.919998,34.022999,34.509998,34.509998,89100
2020-10-12,35.169998,35.990002,34.209999,34.810001,34.810001,118500
2020-10-13,36.029999,37.573002,35.005001,35.889999,35.889999,360600
2020-10-14,35.820000,36.849998,35.009998,36.389999,36.389999,249000
2020-10-15,35.790001,36.994999,35.509998,35.880001,35.880001,168600
2020-10-16,35.650002,36.945000,35.500000,35.990002,35.990002,77600
2020-10-19,35.919998,39.040001,35.660000,37.459999,37.459999,211300
2020-10-20,36.849998,37.880001,34.320000,35.299999,35.299999,239200
2020-10-21,35.349998,36.450001,34.439999,35.660000,35.660000,38100
2020-10-22,35.799999,37.430000,34.049999,35.119999,35.119999,98600
2020-10-23,35.360001,36.060001,33.935001,34.910000,34.910000,81300
2020-10-26,34.770000,35.939999,34.105000,34.740002,34.740002,152300
2020-10-27,35.040001,37.080002,33.793999,35.340000,35.340000,127200
2020-10-28,34.450001,35.740002,33.903000,35.240002,35.240002,118900
2020-10-29,34.790001,35.744999,34.000000,35.040001,35.040001,111200
2020-10-30,35.490002,36.000000,34.320000,35.049999,35.049999,95600
2020-11-02,35.000000,35.805000,34.680000,35.000000,35.000000,144500
2020-11-03,35.000000,36.200001,34.615002,36.040001,36.040001,118500
2020-11-04,36.480000,37.400002,35.375000,37.070000,37.070000,236600
2020-11-05,37.480000,38.080002,35.990002,36.509998,36.509998,229600
2020-11-06,36.709999,37.250000,36.150002,37.000000,37.000000,116900
2020-11-09,37.500000,37.500000,36.264999,36.500000,36.500000,103800
2020-11-10,36.560001,36.560001,35.340000,35.599998,35.599998,117100
2020-11-11,35.500000,35.680000,33.009998,34.299999,34.299999,224200
2020-11-12,34.750000,35.165001,33.639999,33.970001,33.970001,22000
2020-11-13,34.279999,35.000000,32.099998,32.099998,32.099998,270600
2020-11-16,32.259998,33.860001,31.049999,32.240002,32.240002,148200
2020-11-17,32.240002,33.380001,31.660000,32.000000,32.000000,177900
2020-11-18,32.000000,33.025002,31.690001,32.200001,32.200001,58400
2020-11-19,32.680000,33.490002,31.760000,31.860001,31.860001,60300
2020-11-20,31.930000,33.174999,31.930000,32.500000,32.500000,90100
2020-11-23,32.500000,32.799999,31.160000,32.189999,32.189999,120800
2020-11-24,32.099998,36.490002,31.905001,34.980000,34.980000,185200
2020-11-25,34.619999,35.639999,33.439999,34.480000,34.480000,133800
2020-11-27,34.430000,35.419998,34.000000,35.209999,35.209999,44500
2020-11-30,35.840000,35.860001,34.279999,35.240002,35.240002,421200
2020-12-01,35.779999,37.334999,35.400002,36.849998,36.849998,211200
2020-12-02,36.860001,38.759998,36.279999,36.860001,36.860001,291700
2020-12-03,37.029999,41.750000,37.029999,41.169998,41.169998,83100
2020-12-04,41.610001,47.730000,41.020000,47.320000,47.320000,59400
2020-12-07,48.480000,53.924999,45.759998,46.889999,46.889999,149900
2020-12-08,47.080002,48.509998,45.360001,45.880001,45.880001,125800
2020-12-09,45.570000,47.230000,43.860001,44.240002,44.240002,91900
2020-12-10,43.930000,47.110001,43.897999,44.810001,44.810001,88900
2020-12-11,44.770000,50.990002,44.770000,47.669998,47.669998,335300
