Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,7.750000,7.850000,6.100000,6.740000,6.740000,826400
2020-09-02,6.670000,6.670000,6.100000,6.500000,6.500000,147900
2020-09-03,6.500000,6.580000,6.250000,6.500000,6.500000,105600
2020-09-04,6.550000,6.750000,6.260000,6.730000,6.730000,56600
2020-09-08,6.750000,6.990000,6.500000,6.510000,6.510000,64200
2020-09-09,6.790000,6.790000,6.450000,6.580000,6.580000,21600
2020-09-10,6.580000,6.700000,6.350000,6.550000,6.550000,25600
2020-09-11,6.400000,6.650000,6.100000,6.100000,6.100000,9700
2020-09-14,6.300000,6.350000,5.655000,6.082000,6.082000,20000
2020-09-15,5.850000,6.150000,5.650000,5.700000,5.700000,19400
2020-09-16,5.700000,5.780000,5.250000,5.600000,5.600000,52000
2020-09-17,5.356000,5.700000,5.265000,5.700000,5.700000,19600
2020-09-18,5.432000,5.520000,5.230000,5.520000,5.520000,22000
2020-09-21,5.370000,5.500000,5.300000,5.419000,5.419000,32600
2020-09-22,5.500000,5.500000,5.228000,5.230000,5.230000,18200
2020-09-23,5.220000,5.500000,5.220000,5.280000,5.280000,12400
2020-09-24,5.329000,5.450000,5.120000,5.120000,5.120000,11400
2020-09-25,5.010000,5.240000,5.010000,5.133000,5.133000,15200
2020-09-28,5.200000,5.200000,4.580000,4.600000,4.600000,32000
2020-09-29,4.700000,4.980000,4.500000,4.600000,4.600000,11400
2020-09-30,4.740000,4.840000,4.500000,4.600000,4.600000,14700
2020-10-01,4.720000,5.030000,4.470000,4.500000,4.500000,27700
2020-10-02,4.760000,5.010000,4.180000,4.410000,4.410000,14200
2020-10-05,5.080000,5.580000,4.750000,4.940000,4.940000,41800
2020-10-06,4.760000,5.080000,4.760000,4.900000,4.900000,5400
2020-10-07,4.990000,4.990000,4.990000,4.990000,4.990000,300
2020-10-08,4.840000,4.850000,4.580000,4.600000,4.600000,21100
2020-10-09,4.600000,4.675000,4.600000,4.675000,4.675000,2100
2020-10-12,4.800000,4.800000,4.600000,4.600000,4.600000,9400
2020-10-13,4.662000,4.709000,4.662000,4.675000,4.675000,1500
2020-10-14,4.630000,4.650000,4.500000,4.550000,4.550000,14400
2020-10-15,4.493000,5.295000,4.450000,5.190000,5.190000,213100
2020-10-16,5.350000,5.400000,4.850000,4.880000,4.880000,9700
2020-10-19,5.070000,5.135000,4.855000,4.910000,4.910000,4100
2020-10-20,5.190000,5.190000,4.650000,4.745000,4.745000,8900
2020-10-21,4.980000,4.980000,4.906000,4.906000,4.906000,200
2020-10-22,5.207000,5.210000,4.920000,4.920000,4.920000,1400
2020-10-23,4.920000,4.920000,4.920000,4.920000,4.920000,100
2020-10-26,4.700000,4.700000,4.500000,4.593000,4.593000,3000
2020-10-27,4.610000,4.820000,4.550000,4.600000,4.600000,9700
2020-10-28,4.500000,4.500000,4.500000,4.500000,4.500000,400
2020-10-29,4.559000,4.700000,4.559000,4.590000,4.590000,8700
2020-10-30,4.510000,4.593000,4.510000,4.593000,4.593000,400
2020-11-02,4.590000,4.765000,4.560000,4.560000,4.560000,11800
2020-11-03,4.600000,5.430000,4.600000,5.070000,5.070000,1513000
2020-11-04,5.000000,5.000000,4.400000,4.610000,4.610000,747000
2020-11-05,4.620000,4.690000,4.410000,4.485000,4.485000,236600
2020-11-06,4.445000,4.445000,4.050000,4.310000,4.310000,99800
2020-11-09,4.400000,4.400000,4.100000,4.200000,4.200000,89600
2020-11-10,4.200000,4.350000,4.030000,4.190000,4.190000,96500
2020-11-11,4.120000,4.350000,4.100000,4.270000,4.270000,87200
2020-11-12,4.291000,4.400000,4.259000,4.273000,4.273000,52900
2020-11-13,4.280000,4.380000,4.181000,4.305000,4.305000,36200
2020-11-16,4.292000,4.360000,4.200000,4.330000,4.330000,24800
2020-11-17,4.210000,4.380000,4.200000,4.300000,4.300000,22600
2020-11-18,4.340000,4.340000,4.151000,4.180000,4.180000,21700
2020-11-19,4.120000,4.300000,4.120000,4.180000,4.180000,14900
2020-11-20,4.150000,4.325000,4.150000,4.160000,4.160000,18600
2020-11-23,4.284000,4.720000,4.227000,4.590000,4.590000,214200
2020-11-24,4.600000,4.640000,4.410000,4.501000,4.501000,67500
2020-11-25,4.550000,4.640000,4.430000,4.570000,4.570000,55200
2020-11-27,4.610000,4.663000,4.510000,4.630000,4.630000,39800
2020-11-30,4.640000,4.880000,4.500000,4.830000,4.830000,161400
2020-12-01,4.800000,4.810000,4.460000,4.580000,4.580000,52700
2020-12-02,4.500000,4.500000,4.310000,4.400000,4.400000,38900
2020-12-03,4.400000,4.400000,4.170000,4.210000,4.210000,46700
2020-12-04,4.280000,4.292000,4.060000,4.232000,4.232000,27600
2020-12-07,4.230000,4.400000,4.180000,4.340000,4.340000,54700
2020-12-08,4.289000,4.390000,4.230000,4.270000,4.270000,29300
2020-12-09,4.230000,4.610000,4.230000,4.495000,4.495000,105100
2020-12-10,4.440000,4.600000,4.400000,4.490000,4.490000,46100
2020-12-11,4.443000,4.590000,4.300000,4.390000,4.390000,33300
