Date,Open,High,Low,Close,Adj Close,Volume
1990-08-31,14.739229,14.739229,14.739229,14.739229,4.435773,800
1990-09-04,14.739229,14.739229,14.739229,14.739229,4.435773,800
1990-09-05,15.646258,15.873015,15.646258,15.873015,4.776984,1200
1990-09-06,14.512471,14.512471,14.512471,14.512471,4.367529,800
1990-09-07,14.512471,14.512471,14.512471,14.512471,4.367529,0
1990-09-10,14.285714,14.285714,14.285714,14.285714,4.299286,400
1990-09-11,14.285714,14.285714,14.285714,14.285714,4.299286,0
1990-09-12,14.285714,14.285714,14.285714,14.285714,4.299286,0
1990-09-13,14.285714,14.739229,14.058957,14.739229,4.435773,5200
1990-09-14,14.200681,14.200681,14.058957,14.058957,4.231047,7000
1990-09-17,14.058957,14.512471,14.058957,14.172336,4.265166,1600
1990-09-18,14.172336,14.172336,14.172336,14.172336,4.265166,0
1990-09-19,14.172336,14.172336,14.172336,14.172336,4.265166,0
1990-09-20,14.172336,14.285714,14.058957,14.058957,4.231047,3400
1990-09-21,14.285714,14.739229,14.285714,14.285714,4.299286,4800
1990-09-24,14.285714,14.625851,14.058957,14.200681,4.273695,3400
1990-09-25,14.200681,14.200681,14.200681,14.200681,4.273695,0
1990-09-26,14.512471,14.512471,14.512471,14.512471,4.367529,400
1990-09-27,14.172336,14.172336,14.172336,14.172336,4.265166,2200
1990-09-28,14.172336,14.172336,14.172336,14.172336,4.265166,0
1990-10-01,14.172336,14.172336,14.172336,14.172336,4.265166,0
1990-10-02,14.172336,14.172336,14.172336,14.172336,4.265166,0
1990-10-03,14.172336,14.512471,14.058957,14.058957,4.231047,4400
1990-10-04,14.058957,14.058957,14.058957,14.058957,4.231047,0
1990-10-05,14.058957,14.200681,14.058957,14.200681,4.273695,12200
1990-10-08,14.200681,14.200681,14.058957,14.200681,4.273695,8800
1990-10-09,14.058957,14.058957,13.832199,14.058957,4.231047,1200
1990-10-10,14.058957,14.058957,14.058957,14.058957,4.231047,0
1990-10-11,14.058957,14.058957,14.058957,14.058957,4.231047,0
1990-10-12,14.058957,14.058957,14.058957,14.058957,4.231047,0
1990-10-15,12.471655,12.471655,12.471655,12.471655,3.753346,400
1990-10-16,12.471655,12.471655,12.471655,12.471655,3.753346,0
1990-10-17,12.471655,13.605442,12.471655,13.605442,4.094558,1200
1990-10-18,13.605442,13.605442,13.605442,13.605442,4.094558,0
1990-10-19,13.605442,13.605442,13.605442,13.605442,4.094558,0
1990-10-22,13.605442,13.605442,13.605442,13.605442,4.094558,0
1990-10-23,13.605442,13.605442,13.605442,13.605442,4.094558,0
1990-10-24,13.605442,13.605442,13.605442,13.605442,4.094558,0
1990-10-25,13.605442,13.605442,13.605442,13.605442,4.094558,0
