Date,Open,High,Low,Close,Adj Close,Volume
2017-02-10,4.900000,5.100000,4.750000,5.040000,3.463092,430700
2017-02-13,5.040000,5.093000,4.810000,4.980000,3.421865,43300
2017-02-14,5.040000,5.043000,4.950000,5.020000,3.449350,35500
2017-02-15,4.900000,5.010000,4.900000,5.002000,3.436982,21900
2017-02-16,4.860000,5.010000,4.860000,5.000000,3.435607,20300
2017-02-17,4.920000,5.004000,4.920000,5.000000,3.435607,1800
2017-02-21,5.000000,5.010000,4.980000,5.010000,3.442479,14700
2017-02-22,4.990000,5.210000,4.990000,5.150000,3.538675,54900
2017-02-23,5.180000,5.180000,5.031000,5.120000,3.518062,19300
2017-02-24,5.250000,5.250000,4.945000,5.130000,3.524933,37800
2017-02-27,5.130000,5.140000,4.980000,5.020000,3.449350,12400
2017-02-28,5.024000,5.050000,5.000000,5.050000,3.469964,24100
2017-03-01,5.130000,5.130000,5.000000,5.080000,3.490578,8000
2017-03-02,5.000000,5.060000,5.000000,5.020000,3.449350,5900
2017-03-03,5.000000,5.070000,5.000000,5.070000,3.483706,6000
2017-03-06,5.010000,5.020000,5.000000,5.000000,3.435607,7800
2017-03-07,5.020000,5.020000,5.000000,5.000000,3.435607,10200
2017-03-08,5.020000,5.020000,4.980000,5.008000,3.441103,9600
2017-03-09,5.010000,5.010000,4.980000,5.000000,3.435607,4500
2017-03-10,4.980000,5.010000,4.980000,5.000000,3.435607,2600
2017-03-13,4.980000,5.070000,4.790000,5.070000,3.483706,39300
2017-03-14,5.070000,5.070000,4.980000,5.060000,3.476835,10600
2017-03-15,5.070000,5.070000,5.000000,5.070000,3.483706,5300
2017-03-16,5.000000,5.200000,5.000000,5.190000,3.566160,19200
2017-03-17,5.140000,5.290000,4.940000,4.940000,3.394380,53000
2017-03-20,5.000000,5.290000,4.980000,5.270000,3.621130,59900
2017-03-21,5.270000,5.290000,5.150000,5.160000,3.545547,24400
2017-03-22,5.100000,5.290000,5.087000,5.222000,3.588148,15200
2017-03-23,5.290000,5.290000,5.200000,5.220000,3.586774,6000
2017-03-24,5.240000,5.290000,5.060000,5.070000,3.483706,86300
2017-03-27,5.250000,5.250000,5.200000,5.240000,3.600516,5400
2017-03-28,5.214000,5.300000,5.150000,5.280000,3.628002,12500
2017-03-29,5.280000,5.290000,5.130000,5.170000,3.552418,21700
2017-03-30,5.130000,5.270000,5.130000,5.270000,3.621130,800
2017-03-31,5.320000,5.320000,5.140000,5.140000,3.531804,8800
2017-04-03,5.130000,5.230000,5.050000,5.190000,3.566160,7500
2017-04-04,5.250000,5.250000,5.060000,5.190000,3.566160,4700
2017-04-05,5.211000,5.350000,5.100000,5.280000,3.628002,36700
2017-04-06,5.300000,5.310000,5.250000,5.250000,3.607387,6400
2017-04-07,5.298000,5.298000,5.258000,5.258000,3.612885,400
2017-04-10,5.040000,5.300000,5.040000,5.210000,3.579903,22200
2017-04-11,5.214000,5.300000,5.150000,5.150000,3.538675,5200
2017-04-12,5.200000,5.297000,5.200000,5.280000,3.663571,5300
2017-04-13,5.070000,5.300000,5.070000,5.287000,3.668427,2100
2017-04-17,5.280000,5.350000,5.279000,5.327000,3.696181,20200
2017-04-18,5.340000,5.342000,5.233000,5.315000,3.687855,8900
2017-04-19,5.326000,5.350000,5.250000,5.280000,3.663571,16100
2017-04-20,5.330000,5.350000,5.070000,5.300000,3.677448,6300
2017-04-21,5.195000,5.195000,5.195000,5.195000,3.604592,300
2017-04-24,5.144000,5.299000,5.144000,5.190000,3.601123,11900
2017-04-25,5.128000,5.270000,5.128000,5.150000,3.573369,5900
2017-04-26,5.110000,5.270000,5.110000,5.121000,3.553246,6200
2017-04-27,5.200000,5.330000,5.130000,5.150000,3.573369,6700
2017-04-28,5.101000,5.219000,5.100000,5.180000,3.594184,7900
2017-05-01,5.020000,5.120000,5.020000,5.070000,3.517860,1400
2017-05-02,5.030000,5.080000,4.960000,5.000000,3.469290,13600
2017-05-03,4.950000,5.050000,4.900000,4.940000,3.427658,6000
2017-05-04,4.940000,4.940000,4.940000,4.940000,3.427658,0
2017-05-05,4.966000,4.990000,4.966000,4.990000,3.462351,400
2017-05-08,5.000000,5.000000,4.800000,4.850000,3.365211,9400
2017-05-09,4.810000,4.940000,4.695000,4.910000,3.406843,18400
2017-05-10,4.987000,4.989000,4.810000,4.810000,3.337457,3200
2017-05-11,4.780000,4.817000,4.760000,4.790000,3.323580,7900
2017-05-12,4.760000,4.990000,4.730000,4.990000,3.462351,11500
2017-05-15,4.701000,4.980000,4.701000,4.924000,3.416557,2600
2017-05-16,4.900000,4.900000,4.820000,4.860000,3.372150,600
2017-05-17,4.650000,4.990000,4.650000,4.940000,3.427658,12000
2017-05-18,5.000000,5.000000,4.950000,4.950000,3.434597,600
2017-05-19,4.907000,4.907000,4.907000,4.907000,3.404761,500
2017-05-22,4.900000,4.900000,4.900000,4.900000,3.399904,100
2017-05-23,4.750000,5.010000,4.750000,4.950000,3.434597,13000
2017-05-24,4.850000,5.000000,4.790000,4.800000,3.330518,3200
2017-05-25,4.750000,5.000000,4.750000,4.940000,3.427658,27500
2017-05-26,5.000000,5.000000,5.000000,5.000000,3.469290,300
2017-05-30,4.950000,4.950000,4.900000,4.900000,3.399904,1800
2017-05-31,4.850000,5.050000,4.850000,5.000000,3.469290,1500
2017-06-01,5.045000,5.050000,4.890000,4.890000,3.392966,700
2017-06-02,4.800000,5.050000,4.800000,5.000000,3.469290,5800
2017-06-05,5.000000,5.040000,4.900000,5.000000,3.469290,16500
2017-06-06,4.978000,5.050000,4.944000,5.040000,3.497044,2900
2017-06-07,4.900000,5.100000,4.890000,4.890000,3.392966,11500
2017-06-08,4.960000,5.100000,4.960000,5.100000,3.538675,1300
2017-06-09,5.017000,5.030000,4.850000,4.990000,3.462351,3600
2017-06-12,4.884000,5.050000,4.860000,4.860000,3.372150,8900
2017-06-13,4.900000,5.050000,4.899000,5.000000,3.469290,21900
2017-06-14,4.950000,4.980000,4.750000,4.750000,3.295825,15100
2017-06-15,4.710000,5.000000,4.710000,4.910000,3.406843,10100
2017-06-16,4.900000,5.000000,4.700000,4.700000,3.261132,19100
2017-06-19,4.750000,4.830000,4.420000,4.540000,3.150115,51500
2017-06-20,4.460000,4.730000,4.460000,4.730000,3.281948,1400
2017-06-21,4.560000,4.850000,4.560000,4.690000,3.254194,8800
2017-06-22,4.610000,4.789000,4.610000,4.789000,3.322886,1900
2017-06-23,4.660000,4.900000,4.650000,4.880000,3.386027,2700
2017-06-26,4.860000,4.870000,4.860000,4.860000,3.372150,500
2017-06-27,4.800000,4.913000,4.800000,4.800000,3.330518,1700
2017-06-28,4.700000,4.800000,4.700000,4.800000,3.330518,1700
2017-06-29,4.750000,4.830000,4.740000,4.740000,3.288887,300
2017-06-30,4.670000,4.893000,4.660000,4.720000,3.275009,6000
2017-07-03,4.750000,4.880000,4.750000,4.850000,3.365211,500
2017-07-05,4.750000,4.840000,4.730000,4.730000,3.281948,1000
2017-07-06,4.710000,4.840000,4.660000,4.770000,3.309704,47800
2017-07-07,4.880000,4.890000,4.720000,4.800000,3.330518,43100
2017-07-10,4.960000,5.000000,4.871000,4.940000,3.427658,2000
2017-07-11,4.850000,4.850000,4.720000,4.720000,3.275009,1300
2017-07-12,4.720000,4.730000,4.650000,4.650000,3.226440,13100
2017-07-13,4.550000,4.624000,4.450000,4.550000,3.229989,8500
2017-07-14,4.650000,4.650000,4.650000,4.650000,3.300978,200
2017-07-17,4.690000,4.690000,4.250000,4.300000,3.052517,8100
2017-07-18,4.460000,4.500000,4.180000,4.180000,2.967330,17100
2017-07-19,4.190000,4.294000,4.190000,4.200000,2.981528,2200
2017-07-20,4.210000,4.290000,3.720000,4.050000,2.875046,15400
2017-07-21,3.960000,4.255000,3.960000,4.255000,3.020572,9300
2017-07-24,4.380000,4.380000,4.005000,4.260000,3.024122,6000
2017-07-25,4.200000,4.220000,4.050000,4.150000,2.946034,30300
2017-07-26,4.200000,5.020000,4.165000,5.000000,3.549438,104500
2017-07-27,5.020000,5.020000,4.558000,4.990000,3.542339,23100
2017-07-28,5.000000,5.000000,4.850000,5.000000,3.549438,9300
2017-07-31,5.000000,5.000000,4.350000,4.900000,3.478450,33800
2017-08-01,4.950000,4.950000,4.508000,4.900000,3.478450,7900
2017-08-02,4.920000,5.000000,4.650000,4.940000,3.506846,6900
2017-08-03,4.960000,4.960000,4.812000,4.960000,3.521043,2500
2017-08-04,4.940000,4.940000,4.940000,4.940000,3.506846,800
2017-08-07,4.550000,4.850000,4.250000,4.850000,3.442955,13800
2017-08-08,4.750000,4.750000,4.750000,4.750000,3.371967,400
2017-08-09,4.750000,4.750000,4.750000,4.750000,3.371967,0
2017-08-10,4.548000,4.900000,4.400000,4.900000,3.478450,9700
2017-08-11,4.779000,4.849000,4.779000,4.779000,3.392553,3400
2017-08-14,4.640000,4.850000,4.630000,4.850000,3.442955,3600
2017-08-15,4.600000,4.840000,4.500000,4.600000,3.265483,28900
2017-08-16,4.722000,4.850000,4.540000,4.850000,3.442955,13200
2017-08-17,4.726000,4.850000,4.726000,4.850000,3.442955,4300
2017-08-18,4.850000,4.990000,4.600000,4.950000,3.513944,16000
2017-08-21,4.780000,5.000000,4.780000,5.000000,3.549438,1700
2017-08-22,4.930000,5.000000,4.920000,5.000000,3.549438,800
2017-08-23,4.530000,5.000000,4.530000,5.000000,3.549438,4100
2017-08-24,4.710000,5.000000,4.710000,5.000000,3.549438,36600
2017-08-25,4.800000,4.980000,4.650000,4.650000,3.300978,1300
2017-08-28,4.600000,4.940000,4.600000,4.790000,3.400362,2200
2017-08-29,4.767000,4.940000,4.767000,4.940000,3.506846,500
2017-08-30,4.780000,5.000000,4.780000,5.000000,3.549438,3500
2017-08-31,4.800000,4.920000,4.650000,4.650000,3.300978,6800
2017-09-01,4.670000,4.950000,4.650000,4.950000,3.513944,2300
2017-09-05,4.930000,4.940000,4.800000,4.940000,3.506846,2300
2017-09-06,4.860000,5.000000,4.810000,5.000000,3.549438,4300
2017-09-07,4.850000,5.000000,4.820000,5.000000,3.549438,10600
2017-09-08,4.860000,5.000000,4.770000,5.000000,3.549438,9300
2017-09-11,4.940000,4.950000,4.710000,4.900000,3.478450,3700
2017-09-12,4.900000,4.900000,4.770000,4.890000,3.471351,8600
2017-09-13,4.900000,4.900000,4.610000,4.610000,3.272582,11100
2017-09-14,4.699000,4.850000,4.490000,4.490000,3.187396,24500
2017-09-15,4.550000,4.740000,4.400000,4.400000,3.123506,15800
2017-09-18,4.680000,4.680000,4.420000,4.420000,3.137704,10900
2017-09-19,4.550000,4.630000,4.410000,4.410000,3.130605,11800
2017-09-20,4.550000,4.652000,4.510000,4.510000,3.201594,3200
2017-09-21,4.540000,4.600000,4.520000,4.520000,3.208693,4000
2017-09-22,4.590000,4.680000,4.450000,4.680000,3.322274,8600
2017-09-25,4.679000,4.679000,4.500000,4.620000,3.279681,6300
2017-09-26,4.409000,4.550000,4.409000,4.550000,3.229989,3500
2017-09-27,4.430000,4.530000,4.400000,4.520000,3.208693,12900
2017-09-28,4.520000,4.570000,4.468000,4.570000,3.244187,5300
2017-09-29,4.600000,4.790000,4.460000,4.600000,3.265483,12000
2017-10-02,4.550000,4.720000,4.480000,4.720000,3.350670,31000
2017-10-03,4.640000,4.670000,4.510000,4.550000,3.229989,32800
2017-10-04,4.580000,4.650000,4.580000,4.650000,3.300978,2100
2017-10-05,4.572000,4.640000,4.572000,4.640000,3.293879,1800
2017-10-06,4.550000,5.000000,4.500000,5.000000,3.549438,7900
2017-10-09,4.775000,4.775000,4.470000,4.517000,3.206563,10600
2017-10-10,4.550000,4.550000,4.520000,4.549000,3.229279,9400
2017-10-11,4.632000,4.632000,4.520000,4.580000,3.251286,2600
2017-10-12,4.570000,4.850000,4.560000,4.560000,3.237088,14500
2017-10-13,4.620000,4.620000,4.617000,4.617000,3.277552,2400
2017-10-16,4.550000,4.639000,4.550000,4.639000,3.293169,2700
2017-10-17,4.550000,4.551000,4.450000,4.490000,3.187396,18600
2017-10-18,4.500000,4.529000,4.480000,4.480000,3.180297,3000
2017-10-19,4.470000,4.540000,4.350000,4.370000,3.102209,25300
2017-10-20,4.350000,4.350000,4.120000,4.180000,2.967330,55000
2017-10-23,4.160000,4.160000,3.970000,4.000000,2.839550,53100
2017-10-24,3.990000,4.362000,3.952000,4.020000,2.853748,85300
2017-10-25,3.980000,4.050000,3.830000,4.040000,2.867946,1537700
2017-10-26,4.050000,4.050000,3.999000,4.000000,2.839550,231500
2017-10-27,4.050000,4.180000,4.000000,4.120000,2.924737,156800
2017-10-30,4.050000,4.170000,4.050000,4.170000,2.960232,94300
2017-10-31,4.170000,4.300000,4.150000,4.290000,3.045418,116800
2017-11-01,4.300000,4.370000,4.200000,4.300000,3.052517,104900
2017-11-02,4.330000,4.400000,4.230000,4.400000,3.123506,78100
2017-11-03,4.370000,4.490000,4.000000,4.000000,2.839550,81700
2017-11-06,4.060000,4.180000,4.060000,4.130000,3.010872,26500
2017-11-07,4.140000,4.140000,4.040000,4.040000,2.945259,31500
2017-11-08,4.020000,4.182000,3.980000,4.000000,2.916098,56900
2017-11-09,3.990000,4.000000,3.920000,3.930000,2.865067,14800
2017-11-10,4.000000,4.000000,3.910000,3.910000,2.850486,24900
2017-11-13,3.960000,3.960000,3.900000,3.920000,2.857776,23100
2017-11-14,3.900000,3.936000,3.860000,3.910000,2.850486,21900
2017-11-15,3.930000,4.060000,3.910000,3.980000,2.901518,17200
2017-11-16,4.010000,4.114000,3.910000,4.040000,2.945259,10000
2017-11-17,4.190000,4.190000,4.000000,4.180000,3.047323,29900
2017-11-20,4.002000,4.131000,3.980000,4.000000,2.916098,5600
2017-11-21,4.120000,4.120000,3.930000,3.950000,2.879647,25000
2017-11-22,3.950000,4.060000,3.930000,4.020000,2.930679,14700
2017-11-24,4.020000,4.080000,3.980000,4.080000,2.974421,6000
2017-11-27,4.000000,4.070000,4.000000,4.040000,2.945259,5800
2017-11-28,4.070000,4.070000,3.920000,3.938000,2.870899,28800
2017-11-29,3.980000,4.010000,3.960000,3.970000,2.894228,25900
2017-11-30,3.991000,4.030000,3.920000,3.920000,2.857776,31000
2017-12-01,3.930000,3.950000,3.900000,3.950000,2.879647,28700
2017-12-04,3.900000,3.950000,3.900000,3.950000,2.879647,11400
2017-12-05,3.920000,3.960000,3.900000,3.960000,2.886937,15300
2017-12-06,3.910000,3.950000,3.910000,3.930000,2.865067,8300
2017-12-07,3.940000,3.940000,3.920000,3.930000,2.865067,5100
2017-12-08,3.900000,3.980000,3.900000,3.980000,2.901518,13000
2017-12-11,3.960000,3.990000,3.910000,3.920000,2.857776,10900
2017-12-12,3.910000,3.935000,3.910000,3.910000,2.850486,15500
2017-12-13,3.940000,3.940000,3.900000,3.900000,2.843195,9600
2017-12-14,3.910000,3.920000,3.900000,3.900000,2.843195,14100
2017-12-15,3.920000,3.930000,3.910000,3.930000,2.865067,14200
2017-12-18,3.900000,3.970000,3.900000,3.970000,2.894228,63700
2017-12-19,3.970000,3.970000,3.900000,3.900000,2.843195,25800
2017-12-20,3.910000,3.931000,3.910000,3.910000,2.850486,15600
2017-12-21,3.940000,3.940000,3.910000,3.910000,2.850486,19000
2017-12-22,3.911000,3.940000,3.905000,3.930000,2.865067,29400
2017-12-26,3.940000,3.940000,3.910000,3.920000,2.857776,21500
2017-12-27,3.940000,3.940000,3.910000,3.910000,2.850486,28600
2017-12-28,3.910000,3.920000,3.910000,3.910000,2.850486,48200
2017-12-29,3.940000,3.940000,3.910000,3.940000,2.872357,4400
2018-01-02,3.910000,3.930000,3.900000,3.900000,2.843195,23200
2018-01-03,3.910000,3.930000,3.910000,3.910000,2.850486,11500
2018-01-04,3.980000,4.140000,3.910000,3.950000,2.879647,51300
2018-01-05,3.930000,4.030000,3.930000,3.940000,2.872357,21900
2018-01-08,3.930000,3.980000,3.920000,3.960000,2.886937,12000
2018-01-09,3.990000,4.010000,3.950000,3.980000,2.901518,21600
2018-01-10,3.968000,3.977000,3.950000,3.960000,2.886937,8200
2018-01-11,3.973000,4.010000,3.960000,4.010000,2.923388,7500
2018-01-12,4.030000,4.030000,3.980000,3.980000,2.901518,18100
2018-01-16,3.930000,4.010000,3.930000,3.980000,2.901518,30900
2018-01-17,3.970000,3.975000,3.910000,3.910000,2.850486,18100
2018-01-18,3.900000,3.960000,3.900000,3.930000,2.865067,8800
2018-01-19,3.950000,3.970000,3.930000,3.970000,2.894228,13100
2018-01-22,3.950000,3.960000,3.950000,3.950000,2.879647,5000
