Date,Open,High,Low,Close,Adj Close,Volume
1998-08-25,21.250000,21.750000,21.250000,21.750000,9.851007,400
1998-08-26,21.750000,21.750000,21.750000,21.750000,9.851007,0
1998-08-27,21.500000,21.500000,20.875000,20.875000,9.454700,1000
1998-08-28,20.625000,20.625000,20.375000,20.375000,9.228241,500
1998-08-31,20.250000,20.250000,20.000000,20.000000,9.058395,700
1998-09-01,20.000000,20.000000,20.000000,20.000000,9.058395,0
1998-09-02,19.750000,19.750000,19.625000,19.625000,8.888555,400
1998-09-03,19.625000,19.625000,19.375000,19.375000,8.775322,500
1998-09-04,19.250000,19.250000,19.000000,19.000000,8.605476,400
1998-09-08,19.250000,19.250000,19.250000,19.250000,8.718703,200
1998-09-09,19.000000,19.000000,19.000000,19.000000,8.605476,200
1998-09-10,19.000000,19.000000,19.000000,19.000000,8.605476,0
1998-09-11,19.125000,19.375000,19.125000,19.375000,8.775322,700
1998-09-14,19.500000,19.500000,19.500000,19.500000,8.831935,100
1998-09-15,19.500000,19.500000,19.500000,19.500000,8.831935,0
1998-09-16,19.500000,19.500000,19.500000,19.500000,8.831935,0
1998-09-17,19.250000,19.250000,19.000000,19.250000,8.718703,700
1998-09-18,19.250000,19.250000,19.250000,19.250000,8.718703,0
1998-09-21,19.250000,19.250000,19.250000,19.250000,8.718703,0
1998-09-22,19.000000,19.000000,19.000000,19.000000,8.605476,300
1998-09-23,19.000000,19.000000,19.000000,19.000000,8.605476,0
1998-09-24,19.250000,19.250000,19.000000,19.000000,8.605476,300
1998-09-25,19.000000,19.000000,19.000000,19.000000,8.605476,0
1998-09-28,18.875000,18.875000,18.875000,18.875000,8.598644,0
1998-09-29,19.000000,19.250000,19.000000,19.250000,8.769473,500
1998-09-30,19.000000,19.000000,19.000000,19.000000,8.655588,200
1998-10-01,19.000000,19.000000,19.000000,19.000000,8.655588,0
1998-10-02,19.000000,19.000000,19.000000,19.000000,8.655588,0
1998-10-05,18.750000,18.750000,18.750000,18.750000,8.541698,200
1998-10-06,18.750000,18.750000,18.750000,18.750000,8.541698,0
1998-10-07,18.500000,18.500000,18.500000,18.500000,8.427812,400
1998-10-08,18.250000,18.250000,18.000000,18.000000,8.200027,700
1998-10-09,18.000000,18.000000,17.750000,17.750000,8.086142,800
1998-10-12,17.750000,17.750000,17.750000,17.750000,8.086142,0
1998-10-13,18.000000,18.000000,17.750000,17.750000,8.086142,1200
1998-10-14,17.750000,17.750000,17.750000,17.750000,8.086142,0
1998-10-15,17.937500,17.937500,17.500000,17.500000,7.972247,900
1998-10-16,17.750000,17.750000,17.750000,17.750000,8.086142,500
1998-10-19,17.750000,17.750000,17.750000,17.750000,8.086142,500
1998-10-20,17.750000,18.000000,17.750000,18.000000,8.200027,900
1998-10-21,17.750000,17.875000,17.500000,17.500000,7.972247,2300
1998-10-22,17.500000,17.500000,17.500000,17.500000,7.972247,0
1998-10-23,17.750000,18.000000,17.750000,18.000000,8.200027,700
1998-10-26,18.000000,18.000000,18.000000,18.000000,8.200027,900
1998-10-27,18.000000,18.000000,18.000000,18.000000,8.200027,0
1998-10-28,17.875000,18.125000,17.875000,18.125000,8.256971,500
1998-10-29,18.125000,18.125000,18.125000,18.125000,8.256971,0
1998-10-30,18.125000,18.125000,18.125000,18.125000,8.256971,0
1998-11-02,18.125000,18.125000,18.125000,18.125000,8.256971,0
1998-11-03,17.875000,17.875000,17.875000,17.875000,8.143087,300
1998-11-04,17.875000,17.875000,17.875000,17.875000,8.143087,0
1998-11-05,18.125000,18.125000,18.125000,18.125000,8.256971,200
1998-11-06,18.125000,18.125000,18.125000,18.125000,8.256971,0
1998-11-09,18.375000,18.750000,18.375000,18.750000,8.541698,1500
1998-11-10,19.000000,19.000000,19.000000,19.000000,8.655588,200
1998-11-11,18.875000,18.875000,18.750000,18.750000,8.541698,1000
1998-11-12,19.000000,19.000000,19.000000,19.000000,8.655588,500
1998-11-13,19.250000,19.250000,19.250000,19.250000,8.769473,500
1998-11-16,19.000000,19.000000,18.750000,18.750000,8.541698,1500
1998-11-17,18.750000,18.750000,18.750000,18.750000,8.541698,0
1998-11-18,19.000000,19.250000,19.000000,19.250000,8.769473,2000
1998-11-19,19.250000,19.250000,19.250000,19.250000,8.769473,0
1998-11-20,19.500000,19.500000,19.500000,19.500000,8.883366,300
1998-11-23,19.625000,19.625000,19.625000,19.625000,8.940310,100
1998-11-24,19.750000,19.750000,19.750000,19.750000,8.997251,200
1998-11-25,19.750000,19.750000,19.750000,19.750000,8.997251,0
1998-11-27,20.250000,21.250000,20.250000,21.250000,9.680597,1900
1998-11-30,21.250000,23.000000,21.250000,22.750000,10.363927,2600
1998-12-01,22.750000,22.750000,22.750000,22.750000,10.363927,0
1998-12-02,22.500000,22.500000,22.500000,22.500000,10.250034,300
1998-12-03,22.500000,22.500000,22.500000,22.500000,10.250034,0
1998-12-04,22.500000,22.875000,22.500000,22.750000,10.363927,600
1998-12-07,23.000000,23.000000,22.625000,22.625000,10.306982,1100
1998-12-08,22.375000,22.375000,22.375000,22.375000,10.193094,500
1998-12-09,22.250000,22.250000,22.000000,22.000000,10.022268,900
1998-12-10,21.875000,21.875000,21.750000,21.750000,9.908375,800
1998-12-11,21.625000,21.625000,21.625000,21.625000,9.851423,100
1998-12-14,21.625000,21.625000,21.625000,21.625000,9.851423,0
1998-12-15,21.625000,21.625000,21.625000,21.625000,9.851423,0
1998-12-16,21.500000,21.500000,21.500000,21.500000,9.794479,200
1998-12-17,21.250000,21.500000,21.250000,21.500000,9.794479,700
1998-12-18,21.375000,21.375000,21.000000,21.250000,9.680597,1200
1998-12-21,21.250000,21.250000,21.250000,21.250000,9.680597,0
1998-12-22,21.250000,21.250000,21.250000,21.250000,9.680597,0
1998-12-23,21.250000,21.250000,21.250000,21.250000,9.680597,0
1998-12-24,21.250000,21.250000,21.250000,21.250000,9.680597,0
1998-12-28,21.250000,21.250000,21.250000,21.250000,9.680597,0
1998-12-29,20.937500,20.937500,20.937500,20.937500,9.660981,0
1998-12-30,20.937500,20.937500,20.937500,20.937500,9.660981,0
1998-12-31,21.000000,21.000000,21.000000,21.000000,9.689819,100
1999-01-04,20.750000,20.750000,20.750000,20.750000,9.574466,600
1999-01-05,20.750000,20.750000,20.750000,20.750000,9.574466,0
1999-01-06,20.750000,20.750000,20.750000,20.750000,9.574466,0
1999-01-07,20.750000,20.750000,20.750000,20.750000,9.574466,0
1999-01-08,20.687500,21.250000,20.687500,20.750000,9.574466,1800
1999-01-11,20.750000,20.750000,20.750000,20.750000,9.574466,0
1999-01-12,21.000000,21.000000,21.000000,21.000000,9.689819,100
1999-01-13,21.125000,21.375000,21.125000,21.375000,9.862849,500
1999-01-14,21.375000,21.375000,21.375000,21.375000,9.862849,200
1999-01-15,21.125000,21.125000,21.125000,21.125000,9.747497,200
1999-01-19,21.000000,21.000000,21.000000,21.000000,9.689819,300
1999-01-20,21.000000,21.000000,21.000000,21.000000,9.689819,0
1999-01-21,21.000000,21.000000,21.000000,21.000000,9.689819,0
1999-01-22,21.000000,21.000000,19.500000,19.750000,9.113041,14200
1999-01-25,20.125000,20.625000,20.125000,20.625000,9.516788,4900
1999-01-26,20.625000,20.625000,20.625000,20.625000,9.516788,0
1999-01-27,21.000000,21.125000,21.000000,21.125000,9.747497,700
1999-01-28,21.375000,21.375000,21.375000,21.375000,9.862849,200
1999-01-29,21.250000,21.250000,21.250000,21.250000,9.805178,1000
1999-02-01,21.125000,21.125000,20.875000,20.875000,9.632142,1100
1999-02-02,20.875000,21.250000,20.875000,21.250000,9.805178,1500
1999-02-03,21.375000,21.375000,21.000000,21.375000,9.862849,1900
1999-02-04,21.125000,21.500000,21.000000,21.500000,9.920533,1300
1999-02-05,21.500000,21.500000,21.500000,21.500000,9.920533,200
1999-02-08,21.500000,21.500000,21.500000,21.500000,9.920533,0
1999-02-09,21.500000,21.750000,21.500000,21.750000,10.035888,700
1999-02-10,21.750000,21.750000,21.750000,21.750000,10.035888,0
1999-02-11,21.750000,21.750000,21.750000,21.750000,10.035888,0
1999-02-12,21.750000,21.750000,21.750000,21.750000,10.035888,0
1999-02-16,21.750000,21.750000,21.750000,21.750000,10.035888,0
1999-02-17,21.750000,21.750000,21.750000,21.750000,10.035888,0
1999-02-18,21.625000,21.625000,21.625000,21.625000,9.978207,200
1999-02-19,21.625000,21.625000,21.625000,21.625000,9.978207,0
1999-02-22,21.625000,21.625000,21.625000,21.625000,9.978207,100
1999-02-23,21.875000,22.250000,21.625000,21.625000,9.978207,7000
1999-02-24,21.875000,22.125000,21.875000,22.125000,10.208917,8500
1999-02-25,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-02-26,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-03-01,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-03-02,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-03-03,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-03-04,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-03-05,22.125000,22.125000,22.125000,22.125000,10.208917,0
1999-03-08,22.000000,22.000000,22.000000,22.000000,10.151245,100
1999-03-09,22.000000,22.000000,22.000000,22.000000,10.151245,0
1999-03-10,21.937500,21.937500,21.937500,21.937500,10.122399,300
1999-03-11,21.937500,21.937500,21.937500,21.937500,10.122399,0
1999-03-12,21.875000,21.875000,21.875000,21.875000,10.093565,2000
1999-03-15,21.875000,21.875000,21.875000,21.875000,10.093565,0
1999-03-16,21.875000,21.875000,21.875000,21.875000,10.093565,0
1999-03-17,21.875000,21.875000,21.875000,21.875000,10.093565,0
1999-03-18,21.875000,21.875000,21.875000,21.875000,10.093565,0
1999-03-19,21.875000,21.875000,21.875000,21.875000,10.093565,1000
1999-03-22,21.625000,21.625000,21.125000,21.125000,9.747497,3000
1999-03-23,21.125000,21.125000,21.125000,21.125000,9.747497,0
1999-03-24,21.125000,21.125000,21.125000,21.125000,9.747497,0
1999-03-25,21.125000,21.125000,21.125000,21.125000,9.747497,0
1999-03-26,21.125000,21.125000,21.125000,21.125000,9.747497,0
1999-03-29,20.750000,20.750000,20.500000,20.500000,9.513153,1500
1999-03-30,20.750000,21.000000,20.750000,21.000000,9.745176,1000
1999-03-31,20.750000,20.750000,20.750000,20.750000,9.629163,900
1999-04-01,20.500000,20.500000,20.250000,20.500000,9.513153,1200
1999-04-05,20.750000,21.000000,20.500000,20.500000,9.513153,1200
1999-04-06,20.250000,20.250000,20.250000,20.250000,9.397134,600
1999-04-07,20.250000,20.250000,20.250000,20.250000,9.397134,0
1999-04-08,20.250000,20.250000,20.250000,20.250000,9.397134,0
1999-04-09,20.000000,20.000000,20.000000,20.000000,9.281119,200
1999-04-12,20.000000,20.000000,20.000000,20.000000,9.281119,0
1999-04-13,20.000000,20.000000,20.000000,20.000000,9.281119,400
1999-04-14,19.750000,19.750000,19.750000,19.750000,9.165103,500
1999-04-15,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-16,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-19,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-20,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-21,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-22,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-23,19.750000,19.750000,19.750000,19.750000,9.165103,0
1999-04-26,20.000000,20.000000,20.000000,20.000000,9.281119,200
1999-04-27,19.750000,20.250000,19.500000,20.250000,9.397134,1600
1999-04-28,20.750000,20.750000,20.750000,20.750000,9.629163,900
1999-04-29,20.750000,20.750000,20.750000,20.750000,9.629163,0
1999-04-30,20.500000,20.500000,20.250000,20.250000,9.397134,700
1999-05-03,20.250000,20.250000,20.250000,20.250000,9.397134,0
1999-05-04,20.500000,20.750000,20.500000,20.750000,9.629163,1000
1999-05-05,20.500000,20.500000,20.500000,20.500000,9.513153,100
1999-05-06,20.750000,20.875000,20.750000,20.875000,9.687169,500
1999-05-07,20.875000,20.875000,20.875000,20.875000,9.687169,0
1999-05-10,20.875000,20.875000,20.875000,20.875000,9.687169,0
1999-05-11,20.875000,20.875000,20.875000,20.875000,9.687169,0
1999-05-12,21.000000,21.000000,21.000000,21.000000,9.745176,1000
1999-05-13,21.125000,21.125000,21.125000,21.125000,9.803184,1000
1999-05-14,21.125000,21.125000,21.125000,21.125000,9.803184,0
1999-05-17,21.125000,21.125000,21.125000,21.125000,9.803184,0
1999-05-18,21.250000,21.375000,21.250000,21.375000,9.919195,400
1999-05-19,21.375000,21.375000,21.375000,21.375000,9.919195,0
1999-05-20,21.375000,21.375000,21.375000,21.375000,9.919195,0
1999-05-21,21.375000,21.375000,21.375000,21.375000,9.919195,0
1999-05-24,21.000000,21.000000,21.000000,21.000000,9.745176,200
1999-05-25,21.000000,21.000000,21.000000,21.000000,9.745176,100
1999-05-26,21.000000,21.000000,21.000000,21.000000,9.745176,0
1999-05-27,20.750000,20.750000,20.500000,20.500000,9.513153,500
1999-05-28,20.500000,20.500000,20.500000,20.500000,9.513153,0
1999-06-01,20.250000,20.250000,20.250000,20.250000,9.397134,200
1999-06-02,20.250000,20.250000,20.250000,20.250000,9.397134,0
1999-06-03,20.500000,20.500000,20.500000,20.500000,9.513153,200
1999-06-04,20.500000,20.500000,20.500000,20.500000,9.513153,0
1999-06-07,20.500000,20.500000,20.500000,20.500000,9.513153,0
1999-06-08,20.500000,20.500000,20.500000,20.500000,9.513153,0
1999-06-09,20.750000,20.750000,20.750000,20.750000,9.629163,300
1999-06-10,20.625000,20.625000,20.125000,20.125000,9.339127,1300
1999-06-11,20.125000,20.125000,20.125000,20.125000,9.339127,500
1999-06-14,20.375000,20.375000,20.375000,20.375000,9.455143,200
1999-06-15,20.625000,20.625000,20.625000,20.625000,9.571157,500
1999-06-16,20.875000,20.875000,20.875000,20.875000,9.687169,300
1999-06-17,20.875000,20.875000,20.875000,20.875000,9.687169,0
1999-06-18,20.875000,20.875000,20.875000,20.875000,9.687169,0
1999-06-21,20.875000,20.875000,20.875000,20.875000,9.687169,0
1999-06-22,20.625000,20.625000,20.625000,20.625000,9.571157,200
1999-06-23,20.625000,20.625000,20.625000,20.625000,9.571157,0
1999-06-24,20.375000,20.375000,20.125000,20.125000,9.339127,1000
1999-06-25,20.000000,20.000000,20.000000,20.000000,9.281119,1000
1999-06-28,20.125000,20.125000,20.125000,20.125000,9.395499,500
1999-06-29,20.125000,20.125000,20.125000,20.125000,9.395499,0
1999-06-30,20.000000,20.000000,20.000000,20.000000,9.337143,500
1999-07-01,20.000000,20.000000,20.000000,20.000000,9.337143,0
1999-07-02,20.000000,20.000000,20.000000,20.000000,9.337143,0
1999-07-06,20.000000,20.000000,20.000000,20.000000,9.337143,0
1999-07-07,19.625000,19.750000,19.625000,19.750000,9.220427,200
1999-07-08,19.750000,19.750000,19.750000,19.750000,9.220427,0
1999-07-09,19.750000,19.750000,19.750000,19.750000,9.220427,0
1999-07-12,19.625000,19.625000,19.375000,19.375000,9.045357,1400
1999-07-13,19.625000,19.625000,19.625000,19.625000,9.162073,100
1999-07-14,19.625000,19.625000,19.625000,19.625000,9.162073,0
1999-07-15,19.500000,19.500000,19.500000,19.500000,9.103716,300
1999-07-16,19.500000,19.500000,19.500000,19.500000,9.103716,0
1999-07-19,19.500000,19.500000,19.500000,19.500000,9.103716,0
1999-07-20,19.500000,19.500000,19.500000,19.500000,9.103716,0
1999-07-21,19.500000,19.500000,19.500000,19.500000,9.103716,0
1999-07-22,19.375000,19.375000,19.375000,19.375000,9.045357,400
1999-07-23,19.375000,19.375000,19.375000,19.375000,9.045357,0
1999-07-26,19.375000,19.375000,19.375000,19.375000,9.045357,100
1999-07-27,19.250000,19.312500,19.250000,19.312500,9.016177,1400
1999-07-28,19.250000,19.250000,19.125000,19.125000,8.928642,500
1999-07-29,19.125000,19.125000,19.125000,19.125000,8.928642,0
1999-07-30,19.125000,19.125000,19.125000,19.125000,8.928642,0
