Date,Open,High,Low,Close,Adj Close,Volume
1998-07-01,5.031250,5.156250,5.031250,5.156250,2.526653,180000
1998-07-02,5.156250,5.156250,5.046875,5.093750,2.496027,153600
1998-07-06,5.140625,5.734375,5.140625,5.734375,2.809945,276000
1998-07-07,5.843750,6.140625,5.656250,5.656250,2.771663,498000
1998-07-08,5.703125,5.703125,5.421875,5.453125,2.672125,414400
1998-07-09,5.437500,5.437500,5.390625,5.437500,2.664471,82400
1998-07-10,5.484375,5.484375,5.406250,5.406250,2.649158,196800
1998-07-13,5.421875,5.421875,5.296875,5.375000,2.633845,130800
1998-07-14,5.375000,5.390625,5.343750,5.390625,2.641500,248800
1998-07-15,5.406250,5.406250,5.328125,5.343750,2.618531,154000
1998-07-16,5.375000,5.375000,5.312500,5.328125,2.610875,181200
1998-07-17,5.328125,5.343750,5.250000,5.265625,2.580252,189600
1998-07-20,5.234375,5.250000,5.187500,5.250000,2.572594,121600
1998-07-21,5.218750,5.218750,5.125000,5.140625,2.518996,285200
1998-07-22,5.156250,5.171875,4.937500,4.968750,2.434776,144000
1998-07-23,4.937500,4.937500,4.812500,4.875000,2.388835,1820400
1998-07-24,5.031250,5.171875,5.031250,5.109375,2.503684,179600
1998-07-27,5.093750,5.140625,5.093750,5.140625,2.518996,25200
1998-07-28,5.140625,5.171875,5.109375,5.156250,2.526653,485600
1998-07-29,5.218750,5.218750,5.140625,5.140625,2.518996,66400
1998-07-30,5.156250,5.156250,5.109375,5.125000,2.511338,541200
1998-07-31,5.140625,5.171875,5.125000,5.156250,2.526653,89200
1998-08-03,5.171875,5.250000,5.171875,5.218750,2.557280,36800
1998-08-04,5.187500,5.187500,5.093750,5.140625,2.518996,126800
1998-08-05,5.156250,5.156250,5.109375,5.109375,2.503684,47600
1998-08-06,5.109375,5.109375,5.046875,5.078125,2.488370,13200
1998-08-07,5.140625,5.140625,5.062500,5.062500,2.480714,37600
1998-08-10,5.078125,5.125000,5.062500,5.125000,2.511338,23600
1998-08-11,5.062500,5.062500,4.968750,4.984375,2.442431,549600
1998-08-12,5.000000,5.015625,4.906250,5.000000,2.450088,136800
1998-08-13,4.984375,5.015625,4.937500,4.937500,2.419460,17600
1998-08-14,4.890625,4.890625,4.640625,4.671875,2.289302,42400
1998-08-17,4.640625,4.703125,4.562500,4.687500,2.296957,275200
1998-08-18,4.718750,4.953125,4.718750,4.906250,2.404149,100000
1998-08-19,4.937500,4.937500,4.875000,4.890625,2.396492,222400
1998-08-20,4.890625,4.906250,4.843750,4.843750,2.373523,510800
1998-08-21,4.812500,4.812500,4.546875,4.640625,2.273988,244800
1998-08-24,4.656250,4.734375,4.656250,4.734375,2.319927,379200
1998-08-25,4.750000,4.812500,4.750000,4.812500,2.358210,22800
1998-08-26,4.750000,4.765625,4.687500,4.750000,2.327583,109600
1998-08-27,4.718750,4.734375,4.312500,4.500000,2.205081,172800
1998-08-28,4.500000,4.546875,4.437500,4.531250,2.220393,175600
1998-08-31,4.546875,4.546875,4.187500,4.234375,2.074918,513600
1998-09-01,4.312500,4.343750,4.171875,4.218750,2.067262,305600
1998-09-02,4.250000,4.312500,4.187500,4.234375,2.074918,144800
1998-09-03,4.265625,4.343750,4.265625,4.343750,2.128514,8800
1998-09-04,4.343750,4.500000,4.343750,4.484375,2.197423,34400
1998-09-08,4.515625,4.515625,4.375000,4.375000,2.143825,10400
1998-09-09,4.406250,4.406250,4.218750,4.218750,2.067262,17600
1998-09-10,4.187500,4.187500,3.906250,4.000000,1.960070,184400
1998-09-11,4.125000,4.125000,4.000000,4.062500,1.990696,73600
1998-09-14,4.062500,4.156250,4.062500,4.156250,2.036636,102800
1998-09-15,4.218750,4.468750,4.218750,4.359375,2.136171,146000
1998-09-16,4.375000,4.437500,4.359375,4.375000,2.143825,137200
1998-09-17,4.484375,4.484375,4.234375,4.234375,2.074918,323200
1998-09-18,4.343750,4.343750,4.187500,4.281250,2.097886,541200
1998-09-21,4.250000,4.281250,4.250000,4.281250,2.097886,12000
1998-09-22,4.281250,4.296875,4.250000,4.296875,2.105545,189200
1998-09-23,4.312500,4.328125,4.296875,4.328125,2.120856,50800
1998-09-24,4.328125,4.328125,4.281250,4.281250,2.097886,223200
1998-09-25,4.281250,4.281250,4.203125,4.203125,2.059605,26400
1998-09-28,4.234375,4.250000,4.218750,4.250000,2.082574,62000
1998-09-29,4.265625,4.343750,4.265625,4.296875,2.105545,6000
1998-09-30,4.265625,4.265625,4.187500,4.187500,2.051950,34800
1998-10-01,4.156250,4.156250,4.046875,4.046875,1.983039,4800
1998-10-02,4.046875,4.109375,3.937500,4.078125,1.998352,250000
1998-10-05,4.046875,4.046875,3.890625,3.890625,1.906475,27600
1998-10-06,3.859375,3.937500,3.859375,3.937500,1.929445,32400
1998-10-07,3.921875,4.000000,3.921875,3.968750,1.944759,12000
1998-10-08,3.937500,3.937500,3.750000,3.765625,1.845224,79200
1998-10-09,3.750000,3.859375,3.750000,3.859375,1.891162,15200
1998-10-12,3.859375,3.859375,3.843750,3.843750,1.883506,11200
1998-10-13,3.843750,3.937500,3.843750,3.937500,1.929445,64400
1998-10-14,3.921875,3.937500,3.921875,3.937500,1.929445,3600
1998-10-15,3.937500,4.109375,3.937500,4.109375,2.013665,372800
1998-10-16,4.125000,4.281250,4.109375,4.265625,2.090232,193600
1998-10-19,4.265625,4.281250,4.250000,4.250000,2.082574,57200
1998-10-20,4.281250,4.562500,4.281250,4.500000,2.205081,149600
1998-10-21,4.500000,4.640625,4.468750,4.625000,2.266331,30400
1998-10-22,4.625000,4.828125,4.625000,4.812500,2.358210,87200
1998-10-23,4.843750,5.218750,4.843750,5.062500,2.480714,200000
1998-10-26,5.093750,5.125000,5.062500,5.125000,2.511338,124000
