Date,Open,High,Low,Close,Adj Close,Volume
2016-09-22,25.110001,25.139999,25.059999,25.080000,20.783318,1956000
2016-09-23,25.100000,25.139999,25.070000,25.139999,20.833036,745400
2016-09-26,25.120001,25.150000,25.059999,25.120001,20.816467,670900
2016-09-27,25.100000,25.250000,25.100000,25.250000,20.924191,801300
2016-09-28,25.280001,25.320000,25.200001,25.230000,20.907619,739700
2016-09-29,25.290001,25.290001,25.090000,25.110001,20.808178,655400
2016-09-30,25.209999,25.320000,25.139999,25.290001,20.957340,1034600
2016-10-03,25.260000,25.287001,25.180000,25.180000,20.866188,374400
2016-10-04,25.209999,25.209999,25.059999,25.120001,20.816467,535800
2016-10-05,25.139999,25.150000,25.080000,25.100000,20.799892,465800
2016-10-06,25.129999,25.129999,25.040001,25.059999,20.766747,533100
2016-10-07,25.100000,25.129999,25.020000,25.049999,20.758455,435600
2016-10-10,25.049999,25.049999,24.900000,24.920000,20.650726,477200
2016-10-11,24.930000,24.950001,24.719999,24.790001,20.543003,471800
2016-10-12,24.750000,25.000000,24.719999,24.930000,20.659016,518500
2016-10-13,24.910000,25.000000,24.860001,24.950001,20.675591,338600
2016-10-14,24.799999,25.000000,24.799999,24.969999,20.692163,297100
2016-10-17,24.980000,25.180000,24.950001,25.129999,20.824755,478200
2016-10-18,25.110001,25.180000,25.020000,25.170000,20.857895,463900
2016-10-19,25.190001,25.219999,25.120001,25.200001,20.882761,244200
2016-10-20,25.180000,25.200001,25.129999,25.170000,20.857895,184700
2016-10-21,25.230000,25.230000,25.129999,25.129999,20.824755,187400
2016-10-24,25.200001,25.200001,25.110001,25.110001,20.808178,201700
2016-10-25,25.110001,25.180000,25.100000,25.100000,20.799892,202700
2016-10-26,25.139999,25.180000,25.105000,25.160000,20.849613,460000
2016-10-27,25.150000,25.150000,24.955000,25.000000,20.717026,265300
2016-10-28,25.000000,25.000000,24.959999,24.969999,20.692163,160500
2016-10-31,25.059999,25.059999,24.860001,24.879999,20.617577,275000
2016-11-01,24.930000,24.950001,24.799999,24.860001,20.601007,240000
