Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,75.260002,75.260002,75.260002,75.260002,45.904545,100
2009-11-24,75.260002,75.260002,75.260002,75.260002,45.904545,0
2009-11-25,75.529999,75.739998,75.519997,75.739998,46.197289,4000
2009-11-27,75.849998,75.849998,75.849998,75.849998,46.264404,300
2009-11-30,75.730003,76.000000,75.730003,76.000000,46.355892,1100
2009-12-01,75.699997,75.750000,75.620003,75.690002,46.166805,68600
2009-12-02,75.940002,75.940002,75.889999,75.889999,46.288780,15700
2009-12-03,75.169998,75.260002,75.169998,75.260002,45.904545,9100
2009-12-04,75.089996,75.089996,75.089996,75.089996,45.800854,100
2009-12-07,75.089996,75.089996,74.900002,75.070000,45.788639,900
2009-12-08,75.400002,75.400002,75.199997,75.269997,45.910637,7000
2009-12-09,75.400002,75.400002,75.000000,75.110001,45.813004,9800
2009-12-10,74.769997,74.980003,74.720001,74.980003,45.733765,8000
2009-12-11,74.610001,74.690002,74.580002,74.690002,45.556850,2200
2009-12-14,74.830002,74.849998,74.830002,74.849998,45.654465,14600
2009-12-15,74.849998,74.849998,74.849998,74.849998,45.654465,0
2009-12-16,75.059998,75.129997,74.860001,74.860001,45.660549,400
2009-12-17,75.059998,75.059998,74.860001,74.860001,45.660549,1000
2009-12-18,74.860001,74.860001,74.860001,74.860001,45.660549,0
2009-12-21,74.580002,74.580002,74.580002,74.580002,45.489761,100
2009-12-22,74.379997,74.419998,74.339996,74.419998,45.392155,1500
2009-12-23,74.660004,74.660004,74.650002,74.650002,45.532471,900
2009-12-24,73.879997,73.879997,73.519997,73.519997,45.143150,400
2009-12-28,73.440002,73.449997,73.250000,73.379997,45.057178,1800
2009-12-29,73.680000,73.900002,73.550003,73.900002,45.376495,1000
2009-12-30,74.150002,74.150002,73.949997,74.110001,45.505474,6100
2009-12-31,73.930000,74.220001,73.930000,74.220001,45.572983,900
2010-01-04,74.209999,74.209999,73.940002,74.080002,45.487019,6100
2010-01-05,74.879997,75.089996,74.709999,75.000000,46.051899,15200
2010-01-06,75.010002,75.010002,74.489998,74.529999,45.763325,9800
2010-01-07,74.500000,74.529999,74.500000,74.529999,45.763325,300
2010-01-08,74.400002,74.580002,74.260002,74.580002,45.794022,2600
2010-01-11,74.599998,74.610001,74.500000,74.570000,45.787884,1200
2010-01-12,75.760002,75.760002,74.870003,74.919998,46.002792,1100
2010-01-13,75.300003,75.300003,74.459999,74.459999,45.720371,2300
2010-01-14,74.889999,74.970001,74.599998,74.970001,46.033501,1100
2010-01-15,75.269997,75.330002,75.150002,75.150002,46.144028,5900
2010-01-19,75.150002,75.269997,74.230003,74.800003,45.929115,102800
2010-01-20,74.900002,75.199997,74.900002,75.010002,46.058052,1600
2010-01-21,75.160004,76.089996,75.139999,75.730003,46.500160,5200
2010-01-22,75.489998,75.510002,74.980003,75.059998,46.088768,3400
2010-01-25,75.089996,75.279999,75.089996,75.160004,46.150169,4300
2010-01-26,75.040001,75.089996,74.800003,74.800003,45.929115,6400
2010-01-27,74.879997,75.019997,74.500000,74.680000,45.855427,13800
2010-01-28,74.849998,74.849998,74.610001,74.610001,45.812462,1000
2010-01-29,74.400002,74.410004,74.400002,74.410004,45.889549,2700
2010-02-01,74.400002,74.589996,74.400002,74.589996,46.000553,2500
2010-02-02,74.599998,74.680000,74.599998,74.680000,46.056049,900
2010-02-03,74.580002,74.610001,74.260002,74.260002,45.797035,1600
2010-02-04,74.000000,74.589996,73.889999,74.510002,45.951218,7200
2010-02-05,74.169998,74.330002,74.169998,74.330002,45.840206,1200
2010-02-08,74.660004,74.660004,74.190002,74.470001,45.926529,1200
2010-02-09,74.010002,74.019997,73.940002,73.940002,45.599686,1700
2010-02-10,74.019997,74.070000,73.400002,73.500000,45.328327,7500
2010-02-11,73.500000,73.550003,73.379997,73.379997,45.254299,900
2010-02-12,73.449997,73.459999,73.320000,73.389999,45.260494,3900
2010-02-16,73.220001,73.330002,73.070000,73.330002,45.223503,700
2010-02-17,73.570000,73.570000,73.000000,73.320000,45.217316,1000
2010-02-18,73.580002,73.580002,72.669998,73.160004,45.118633,3900
2010-02-19,73.019997,73.239998,73.019997,73.129997,45.100151,45500
2010-02-22,73.129997,73.769997,73.129997,73.540001,45.353012,2200
2010-02-23,73.879997,73.930000,73.519997,73.919998,45.587357,7200
2010-02-24,74.449997,74.449997,74.250000,74.250000,45.790840,500
2010-02-25,74.849998,74.849998,74.160004,74.639999,46.031353,7200
2010-02-26,74.699997,74.940002,74.699997,74.940002,46.419147,700
2010-03-01,74.910004,74.910004,74.790001,74.820000,46.344818,900
2010-03-02,74.750000,74.870003,74.709999,74.830002,46.351021,4400
2010-03-03,74.699997,74.809998,74.250000,74.720001,46.282871,3300
2010-03-04,74.820000,74.820000,74.820000,74.820000,46.344818,400
2010-03-05,74.680000,74.680000,74.089996,74.570000,46.189945,2500
2010-03-08,74.089996,74.739998,74.089996,74.739998,46.295250,800
2010-03-09,74.160004,74.589996,74.160004,74.580002,46.196156,2400
2010-03-10,74.629997,74.629997,74.419998,74.449997,46.115612,4200
2010-03-11,74.339996,74.610001,73.989998,74.610001,46.214729,2200
2010-03-12,74.720001,75.000000,74.599998,75.000000,46.456287,1800
2010-03-15,75.089996,75.089996,74.860001,74.930000,46.412941,1900
2010-03-16,75.169998,75.169998,75.169998,75.169998,46.561604,600
2010-03-17,75.900002,75.900002,75.250000,75.599998,46.827953,6700
2010-03-18,76.019997,76.019997,76.019997,76.019997,47.088120,400
2010-03-19,75.790001,75.790001,75.720001,75.790001,46.945629,500
2010-03-22,75.879997,75.879997,75.800003,75.800003,46.951851,900
2010-03-23,75.910004,75.910004,75.760002,75.760002,46.927044,400
2010-03-24,75.019997,75.279999,74.800003,74.800003,46.332424,1400
2010-03-25,74.610001,74.610001,73.989998,73.989998,45.830681,1400
2010-03-26,74.580002,74.739998,74.300003,74.389999,46.078472,12700
2010-03-29,74.620003,74.620003,74.059998,74.580002,46.196156,3400
2010-03-30,74.410004,74.580002,74.370003,74.419998,46.097031,3100
2010-03-31,74.500000,74.660004,74.480003,74.589996,46.448250,1700
2010-04-01,74.410004,74.699997,74.379997,74.629997,46.473190,2200
2010-04-05,73.900002,74.180000,73.449997,73.849998,45.987453,5500
2010-04-06,74.000000,74.070000,74.000000,74.070000,46.124454,2100
2010-04-07,73.989998,74.820000,73.989998,74.820000,46.591480,1000
2010-04-08,74.730003,74.790001,74.309998,74.660004,46.491863,2100
2010-04-09,74.699997,74.919998,74.629997,74.860001,46.616379,3000
2010-04-12,74.900002,75.160004,74.900002,75.160004,46.803219,3300
2010-04-13,75.839996,75.839996,75.010002,75.489998,47.008690,5300
2010-04-14,75.050003,75.489998,75.050003,75.320000,46.902847,11600
2010-04-15,75.279999,75.639999,74.910004,75.639999,47.102108,7800
2010-04-16,76.050003,76.050003,75.459999,75.610001,47.083416,3600
2010-04-19,75.769997,75.769997,75.709999,75.709999,47.145679,300
2010-04-20,75.500000,76.029999,75.500000,75.959999,47.301334,3600
2010-04-21,76.160004,76.349998,76.160004,76.349998,47.544235,2700
2010-04-22,76.419998,76.489998,75.739998,76.129997,47.407242,13000
2010-04-23,76.050003,76.070000,75.669998,75.989998,47.320049,2700
2010-04-26,76.349998,76.349998,75.589996,75.589996,47.070938,3400
2010-04-27,75.989998,76.330002,75.989998,76.330002,47.531773,1000
2010-04-28,76.169998,76.309998,76.169998,76.209999,47.457020,600
2010-04-29,76.000000,76.300003,76.000000,76.089996,47.382324,800
2010-04-30,76.059998,76.559998,76.059998,76.559998,47.893429,1100
2010-05-03,76.559998,76.559998,76.150002,76.150002,47.636936,2200
2010-05-04,77.269997,77.269997,76.470001,76.949997,48.137390,12300
2010-05-05,77.379997,77.480003,76.889999,76.949997,48.137390,4900
2010-05-06,77.139999,77.610001,75.940002,76.830002,48.062325,11100
2010-05-07,76.570000,76.800003,75.730003,75.730003,47.374191,13300
2010-05-10,75.309998,76.779999,75.309998,76.589996,47.912193,4900
2010-05-11,76.919998,76.919998,75.459999,76.019997,47.555607,10500
2010-05-12,76.389999,76.389999,75.650002,75.650002,47.324165,15500
2010-05-13,75.879997,75.949997,75.550003,75.559998,47.267845,1900
2010-05-14,76.059998,76.699997,76.059998,76.300003,47.730770,5300
2010-05-17,76.099998,76.400002,75.779999,76.000000,47.543091,3500
2010-05-18,76.339996,76.610001,76.080002,76.500000,47.855877,2400
2010-05-19,76.629997,76.959999,76.570000,76.760002,48.018536,15100
2010-05-20,78.000000,78.000000,76.180000,76.379997,47.780819,8500
2010-05-21,77.750000,77.750000,77.000000,77.169998,48.274994,2700
2010-05-24,76.949997,77.360001,76.910004,76.959999,48.143627,4500
2010-05-25,77.160004,77.160004,76.580002,76.580002,47.905918,13200
2010-05-26,76.220001,76.419998,75.930000,76.389999,47.787056,11000
2010-05-27,75.550003,75.550003,74.599998,75.180000,47.030125,27800
2010-05-28,74.830002,74.970001,74.589996,74.970001,47.121891,3200
2010-06-01,76.000000,76.000000,74.500000,74.800003,47.015060,15300
2010-06-02,74.800003,74.800003,74.610001,74.750000,46.983627,7600
2010-06-03,74.400002,74.900002,74.400002,74.540001,46.851635,9900
2010-06-04,75.769997,75.769997,74.709999,75.160004,47.241322,2800
2010-06-07,75.639999,75.769997,75.570000,75.680000,47.568184,4500
2010-06-08,76.129997,76.129997,75.070000,75.529999,47.473900,1600
