Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,10.687500,9.500000,9.500000,5.705040,158600
1973-02-22,0.000000,9.875000,9.562500,9.562500,5.742575,130400
1973-02-23,0.000000,9.625000,8.500000,8.562500,5.142044,430800
1973-02-26,0.000000,8.812500,8.562500,8.625000,5.179575,134000
1973-02-27,0.000000,8.687500,7.687500,8.000000,4.804245,137800
1973-02-28,0.000000,8.562500,8.000000,8.437500,5.066976,124600
1973-03-01,0.000000,8.500000,7.937500,8.000000,4.804245,207400
1973-03-02,0.000000,8.187500,7.937500,8.125000,4.879311,156200
1973-03-05,0.000000,8.312500,8.125000,8.125000,4.879311,79000
1973-03-06,0.000000,9.125000,8.125000,9.000000,5.404777,137800
1973-03-07,0.000000,9.312500,8.687500,9.000000,5.404777,126000
1973-03-08,0.000000,9.062500,8.750000,8.750000,5.254641,39000
1973-03-09,0.000000,8.750000,8.750000,8.750000,5.254641,21400
1973-03-12,0.000000,8.750000,8.625000,8.687500,5.217110,23200
1973-03-13,0.000000,8.625000,8.500000,8.562500,5.142044,54000
1973-03-14,0.000000,8.625000,8.125000,8.375000,5.029442,35200
1973-03-15,0.000000,8.312500,8.062500,8.187500,4.916844,17800
1973-03-16,0.000000,8.250000,8.000000,8.000000,4.804245,75600
1973-03-19,0.000000,8.062500,7.687500,7.750000,4.654112,40800
1973-03-20,0.000000,7.937500,7.687500,7.937500,4.766712,50400
1973-03-21,0.000000,8.187500,7.062500,7.187500,4.316316,106200
1973-03-22,0.000000,7.187500,6.875000,6.937500,4.166183,105600
1973-03-23,0.000000,7.375000,6.812500,7.125000,4.278780,113800
1973-03-26,0.000000,8.140625,7.250000,8.125000,4.879311,64600
1973-03-27,0.000000,8.562500,8.000000,8.312500,4.991911,64800
1973-03-28,0.000000,8.312500,7.812500,7.875000,4.729180,31400
1973-03-29,0.000000,7.875000,7.000000,7.312500,4.391381,453200
1973-03-30,0.000000,7.312500,7.000000,7.125000,4.278780,56600
1973-04-02,0.000000,7.312500,7.125000,7.125000,4.278780,26200
1973-04-03,0.000000,7.250000,7.125000,7.125000,4.278780,22200
1973-04-04,0.000000,7.187500,7.062500,7.062500,4.241247,79800
1973-04-05,0.000000,7.125000,7.062500,7.062500,4.241247,15600
1973-04-06,0.000000,7.187500,7.062500,7.062500,4.241247,27800
1973-04-09,0.000000,7.187500,6.812500,7.125000,4.278780,106200
1973-04-10,0.000000,7.187500,6.625000,6.625000,3.978516,51600
1973-04-11,0.000000,6.687500,6.250000,6.437500,3.865917,91600
1973-04-12,0.000000,6.687500,6.250000,6.250000,3.753316,75400
1973-04-13,0.000000,6.375000,6.125000,6.312500,3.790850,58400
1973-04-16,0.000000,6.625000,6.375000,6.437500,3.865917,33200
1973-04-17,0.000000,6.562500,6.375000,6.437500,3.865917,35000
1973-04-18,0.000000,6.750000,6.375000,6.750000,4.053581,25000
1973-04-19,0.000000,6.687500,6.437500,6.500000,3.903449,25000
1973-04-23,0.000000,6.437500,6.250000,6.250000,3.753316,26800
1973-04-24,0.000000,6.312500,6.000000,6.062500,3.640716,24600
1973-04-25,0.000000,6.062500,5.500000,5.500000,3.302917,87400
1973-04-26,0.000000,6.062500,5.125000,6.062500,3.640716,143400
1973-04-27,0.000000,6.062500,5.437500,5.625000,3.377983,38800
1973-04-30,0.000000,6.375000,5.937500,6.187500,3.715783,88400
1973-05-01,0.000000,6.250000,5.937500,6.187500,3.715783,54400
1973-05-02,0.000000,6.312500,6.125000,6.187500,3.715783,35000
1973-05-03,0.000000,6.937500,5.750000,6.937500,4.166183,89800
1973-05-04,0.000000,6.875000,6.437500,6.500000,3.903449,46200
1973-05-07,0.000000,4.875000,4.687500,4.812500,2.890054,433800
1973-05-08,0.000000,4.812500,4.312500,4.750000,2.852520,215600
1973-05-09,0.000000,4.750000,4.500000,4.687500,2.814986,97200
1973-05-10,0.000000,4.625000,4.375000,4.375000,2.627321,124000
1973-05-11,0.000000,4.437500,4.000000,4.000000,2.402122,152400
1973-05-14,0.000000,3.937500,3.687500,3.812500,2.289523,228400
1973-05-15,0.000000,4.187500,3.750000,4.125000,2.477189,107400
1973-05-16,0.000000,4.312500,3.937500,4.187500,2.514721,80000
1973-05-17,0.000000,4.187500,3.875000,3.937500,2.364590,65400
1973-05-18,0.000000,3.875000,3.750000,3.750000,2.251990,150400
1973-05-21,0.000000,3.625000,3.187500,3.625000,2.176924,196200
1973-05-22,0.000000,3.375000,2.500000,2.500000,1.501327,389000
1973-05-23,0.000000,3.187500,2.625000,2.812500,1.688992,400800
1973-05-24,0.000000,3.625000,3.000000,3.562500,2.139390,257400
1973-05-25,0.000000,3.812500,3.437500,3.687500,2.214457,362200
1973-05-29,0.000000,4.062500,3.750000,3.812500,2.289523,172800
1973-05-30,0.000000,3.687500,3.375000,3.500000,2.101857,154800
1973-05-31,0.000000,3.437500,3.250000,3.375000,2.026791,118600
1973-06-01,0.000000,3.375000,3.250000,3.375000,2.026791,45400
1973-06-04,0.000000,3.312500,3.187500,3.312500,1.989258,149000
1973-06-05,0.000000,3.437500,3.000000,3.062500,1.839125,156600
1973-06-06,0.000000,3.187500,3.062500,3.062500,1.839125,34200
1973-06-07,0.000000,2.625000,2.500000,2.625000,1.576393,1118600
1973-06-08,0.000000,2.812500,2.562500,2.812500,1.688992,388000
